,#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,Formalism
0,1,0,2.75,1.20485,0.571359,-0.537906,8,0.314307279304948,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
1,1,1,2.75,1.20485,0.571359,-0.537906,16,0.28760184992852444,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
2,1,2,2.75,1.20485,0.571359,-0.537906,24,0.2523210764604724,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
3,1,3,2.75,1.20485,0.571359,-0.537906,32,0.21623492617436624,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
4,1,4,2.75,1.20485,0.571359,-0.537906,40,0.18415655476582882,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
5,1,5,2.75,1.20485,0.571359,-0.537906,48,0.15795819512818182,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
6,1,6,2.75,1.20485,0.571359,-0.537906,56,0.13767725422068366,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
7,1,7,2.75,1.20485,0.571359,-0.537906,64,0.12252718873627821,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
8,1,8,2.75,1.20485,0.571359,-0.537906,72,0.11150105061666903,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
9,1,9,2.75,1.20485,0.571359,-0.537906,80,0.10365087928777422,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
10,1,10,2.75,1.20485,0.571359,-0.537906,88,0.09818405728726474,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
11,1,11,2.75,1.20485,0.571359,-0.537906,96,0.0944747327022663,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
12,1,12,2.75,1.20485,0.571359,-0.537906,104,0.09204297305877127,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
13,1,13,2.75,1.20485,0.571359,-0.537906,112,0.09052599994878738,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
14,1,14,2.75,1.20485,0.571359,-0.537906,120,0.08965125654595764,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
15,1,15,2.75,1.20485,0.571359,-0.537906,128,0.08921434068387245,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
16,1,16,2.75,1.20485,0.571359,-0.537906,136,0.08906205691723212,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
17,1,17,2.75,1.20485,0.571359,-0.537906,144,0.08907987085444359,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
18,1,18,2.75,1.20485,0.571359,-0.537906,152,0.08918284557065699,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
19,1,19,2.75,1.20485,0.571359,-0.537906,160,0.08930922564970319,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
20,1,20,2.75,1.20485,0.571359,-0.537906,168,0.08941600426028551,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
21,1,21,2.75,1.20485,0.571359,-0.537906,176,0.08947598248503065,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
22,1,22,2.75,1.20485,0.571359,-0.537906,184,0.08947598248503065,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
23,1,23,2.75,1.20485,0.571359,-0.537906,192,0.08941600426028551,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
24,1,24,2.75,1.20485,0.571359,-0.537906,200,0.08930922564970319,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
25,1,25,2.75,1.20485,0.571359,-0.537906,208,0.08918284557065699,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
26,1,26,2.75,1.20485,0.571359,-0.537906,216,0.08907987085444359,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
27,1,27,2.75,1.20485,0.571359,-0.537906,224,0.08906205691723212,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
28,1,28,2.75,1.20485,0.571359,-0.537906,232,0.08921434068387245,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
29,1,29,2.75,1.20485,0.571359,-0.537906,240,0.08965125654595764,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
30,1,30,2.75,1.20485,0.571359,-0.537906,248,0.09052599994878738,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
31,1,31,2.75,1.20485,0.571359,-0.537906,256,0.09204297305877127,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
32,1,32,2.75,1.20485,0.571359,-0.537906,264,0.09447473270226632,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
33,1,33,2.75,1.20485,0.571359,-0.537906,272,0.09818405728726473,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
34,1,34,2.75,1.20485,0.571359,-0.537906,280,0.10365087928777424,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
35,1,35,2.75,1.20485,0.571359,-0.537906,288,0.11150105061666898,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
36,1,36,2.75,1.20485,0.571359,-0.537906,296,0.12252718873627821,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
37,1,37,2.75,1.20485,0.571359,-0.537906,304,0.13767725422068366,0.0,0.3936324807279896,0.5123697438205204,2.09962,-2.91025,5.5296,0.0906293,BKM10
