,ReH,ReE,ReHtilde,SetNum
0,1.630263209,-1.134779692,0.656062543,3
1,1.318103552,0.006642729,4.68112278,3
2,0.264421314,8.450474739,0.497209638,3
3,0.526669025,7.782780647,1.853718042,3
4,0.526517153,7.93803215,2.922864676,3
5,0.926157832,6.056683064,4.00536871,3
6,0.673502624,4.212026596,3.054284096,3
7,-3.349053383,50.56334305,-11.88488102,3
8,-0.95540607,28.57109261,-6.106538773,3
9,-1.062943578,22.30752754,-2.217196941,3
10,0.833822489,13.54563999,-0.088201404,3
11,-0.390894711,20.10790253,0.16332826,3
12,-1.628650188,31.18767357,-5.204576492,3
13,-2.054720402,37.85356522,-4.91629982,3
14,-6.204620361,80.01372528,-22.35355377,3
15,-4.068166256,62.90215683,-14.41062832,3
16,-4.392802715,61.37212372,-17.01739693,3
17,1.007082462,3.551087618,4.334708214,3
18,-0.603390932,20.17037773,-1.687632084,3
19,-2.98917675,47.36344147,-12.5452137,3
20,-8.5674963,102.8106689,-26.67005157,3
21,-6.88899374,95.03668976,-24.45920181,3
22,-0.740730047,26.6829052,-4.822971821,3
23,0.317863524,10.75067616,1.371914268,3
24,-2.385399342,44.40593719,-8.967179298,3
25,-4.307117462,69.92017365,-17.89690971,3
26,-0.301551878,23.92631721,-2.521647453,3
27,-5.24051857,76.32923126,-17.55347061,3
28,-3.633337498,52.89278412,-9.414610863,3
29,-3.103254318,44.35980225,-8.35631752,3
30,-4.376005173,63.71600723,-14.64458466,3
31,-4.50470686,70.94361877,-17.3419323,3
32,-2.886306763,51.54072189,-11.66889668,3
33,-5.535579681,73.22790527,-18.70791817,3
34,3.659236193,-15.34752655,11.37694836,3
35,2.37100172,-20.1346817,10.43036747,3
36,4.612318039,-22.54521179,13.78139591,3
37,2.938600302,-11.00964737,8.547283173,3
38,0.694112241,9.064025879,1.418010116,3
39,-3.752387285,53.74712372,-12.55220509,3
40,-4.802231789,65.89631653,-15.69526386,3
41,-1.336396575,32.24833679,-4.997144222,3
42,-2.474772453,41.98855591,-9.629313469,3
43,-7.630230904,93.83599854,-22.53843498,3
44,-2.838821173,47.51300049,-11.92394161,3
45,-8.711252213,121.2288208,-33.29581451,3
46,-6.502387524,91.81887817,-22.47275543,3
47,-2.8571527,53.67245483,-11.72059822,3
48,0.67781055,7.08203125,2.653278351,3
49,-4.759352207,70.61297607,-17.96891785,3
50,-7.177521706,87.14574432,-20.82442856,3
51,0.280752599,8.074083328,3.189121485,3
52,-10.88344193,129.5410919,-34.72626877,3
53,-0.98333025,28.49614906,-3.095210791,3
54,-0.783713341,31.96730232,-4.733444214,3
55,4.088922501,-27.67508698,15.26782894,3
56,-4.418308258,67.98744202,-16.57472801,3
57,-2.151067257,39.37262726,-7.606711864,3
58,8.796515465,-76.5488739,29.15729332,3
59,-0.81852293,25.31867218,-2.271621227,3
60,-5.987977505,79.57107544,-21.48883629,3
61,-7.415032387,100.9468307,-26.08477592,3
62,-3.174424887,50.62651062,-10.04603004,3
63,-10.21955681,123.6328659,-34.44800949,3
64,-3.203519583,48.05563736,-10.6009016,3
65,-0.268489838,21.4728756,1.672402263,3
66,-5.546798229,79.43764496,-19.79182053,3
67,-0.810435653,16.85769463,0.540760756,3
68,-0.605082989,19.79123688,-0.424697995,3
69,5.164075375,-38.10317612,14.56728935,3
70,-3.75795722,56.74223328,-12.64711666,3
71,-7.358853817,94.79859924,-24.69644737,3
72,-8.769259453,111.4568634,-28.53281212,3
73,2.915815592,-15.56904793,9.221009254,3
74,-2.035546064,43.13795471,-6.589221001,3
75,1.343788385,3.117367268,4.336147308,3
76,-2.882107019,49.01401901,-10.32221222,3
77,3.180652142,-15.9847908,9.478907585,3
78,6.441309452,-48.74729156,19.18725967,3
79,-3.285976648,59.52070999,-11.89885998,3
80,-9.203629494,117.7236786,-32.39001083,3
81,0.561892569,4.283368111,5.089308262,3
82,-14.69714451,174.3623199,-48.67150497,3
83,-5.185305595,77.81931305,-18.19850159,3
84,1.936042547,-1.802384377,7.14331913,3
85,-5.494513035,74.8084259,-17.54831314,3
86,-4.946777344,71.53794098,-17.95804977,3
87,-9.218594551,125.5360794,-34.26254272,3
88,-3.157963753,49.77033234,-10.173419,3
89,-9.552373886,119.4661255,-31.05797768,3
90,-4.268924713,61.14369965,-13.13745594,3
91,0.194690585,12.52924347,-0.250712633,3
92,-10.39820862,137.0061798,-35.94481277,3
93,-3.810763121,56.55945206,-11.07901573,3
94,-4.461569786,55.99389648,-11.57074165,3
95,-0.113748968,17.06126785,-1.726674438,3
96,-8.976646423,111.0797424,-30.75474548,3
97,4.109364033,-28.49468994,12.87955475,3
98,1.312815189,1.887723923,4.81595993,3
99,-1.1486485,33.95625305,-3.823440075,3
100,5.107539177,-46.26300049,19.88563347,3
101,6.471371174,-53.22990036,20.91411018,3
102,-2.613090992,48.88999557,-11.13863277,3
103,-1.606319189,33.71015167,-5.383577824,3
104,-4.413415909,70.39128876,-18.08659363,3
105,-0.159805715,16.50395203,-2.529722691,3
106,-13.78167343,167.0179138,-45.96171188,3
107,-7.044054508,91.54171753,-24.35658455,3
108,6.389179707,-48.95863342,18.44817352,3
109,-8.921966553,112.9171906,-29.36747551,3
110,4.356062412,-36.75724411,16.45879745,3
111,-3.075221062,56.14920044,-12.63362408,3
112,1.567903757,-4.870326996,3.745589256,3
113,7.380060673,-60.66028976,23.94625664,3
114,-5.676690578,79.96060944,-18.96458626,3
115,1.222947955,3.905187607,2.773872375,3
116,-4.128982544,56.68647766,-11.91275883,3
117,0.835853577,5.982649803,2.673885345,3
118,-5.304472446,70.74889374,-15.54018021,3
119,3.133260012,-18.05636978,9.302277565,3
120,-1.390516043,34.70868683,-7.083197117,3
121,8.484390259,-66.35309601,25.0964756,3
122,2.664043427,-13.34965897,7.721084595,3
123,-9.670174599,122.6290359,-32.02738571,3
124,-10.7199564,132.0812988,-35.49140167,3
125,-1.139661551,30.9681282,-5.883278847,3
126,4.599416256,-37.69009018,16.60289192,3
127,-6.572508335,84.58836365,-22.80034065,3
128,-3.946736336,66.93716431,-15.82139397,3
129,-7.430952549,100.3101044,-26.14165878,3
130,-7.001292229,93.54417419,-25.40895653,3
131,-1.710832596,36.79850769,-6.772798538,3
132,1.597781539,5.118234634,0.378415823,3
133,-15.83179188,184.2269592,-51.23532486,3
134,-4.462291718,62.55938339,-15.72559929,3
135,-2.532252073,45.17848969,-9.814188004,3
136,-14.35379028,171.3681488,-46.33293915,3
137,-11.79527092,143.0600128,-39.4380455,3
138,-5.373962402,75.51068115,-17.29014778,3
139,1.642065287,-2.114302635,4.835656166,3
140,-1.392415404,29.95827866,-4.151716232,3
141,2.012924671,-2.09446907,4.932736397,3
142,2.695824623,-11.37400341,7.827612877,3
143,0.108023405,16.00836945,-0.159075022,3
144,-0.019212306,12.61108875,0.637704611,3
145,-10.54211712,134.867157,-38.01214218,3
146,0.312124431,12.48081303,-0.183339238,3
147,-6.40534687,83.07620239,-20.62768745,3
148,-7.362324238,92.29969788,-22.04169655,3
149,2.971939564,-12.06422901,9.052874565,3
150,2.92048049,-16.01151276,8.918504715,3
151,-10.44756985,130.3401184,-36.28073883,3
152,-2.992228031,45.97108841,-11.62412262,3
153,-10.32275009,127.0877609,-34.68479919,3
154,-4.868175983,70.98955536,-18.80773735,3
155,1.082178354,8.396553993,1.456101418,3
156,4.222744942,-27.76706696,13.084589,3
157,-3.143852711,49.92686844,-10.78840637,3
158,4.142241478,-23.8345108,12.69574261,3
159,0.303373814,11.39377975,0.199906826,3
160,-6.90568018,94.65390778,-23.96885872,3
161,-1.69214952,36.97522736,-6.144857407,3
162,-6.026091099,78.96607971,-19.43761063,3
163,-2.795790434,48.37131882,-9.619924545,3
164,-12.14159012,150.2626801,-41.18765259,3
165,-10.73484325,132.7804871,-33.55483246,3
166,-11.47839832,144.1346283,-39.58057404,3
167,-0.923012674,30.09523773,-4.418680191,3
168,0.871847928,2.743771553,4.232344627,3
169,-8.922174454,116.4412918,-32.02951431,3
170,-4.42717123,67.90330505,-14.95503807,3
171,-12.15390015,148.2865906,-38.83705902,3
172,4.366330147,-27.2460022,13.7273283,3
173,-3.417475224,61.47472382,-12.61192703,3
174,-7.626416683,97.95767212,-24.10276985,3
175,0.254592776,14.18665123,1.25618732,3
176,-1.181885839,28.45696259,-4.935256958,3
177,0.063592911,12.53429794,3.05118084,3
178,4.042992115,-29.12886047,13.22797298,3
179,-1.213286161,30.4983902,-4.741752148,3
180,-0.449570417,25.97415161,-4.443953514,3
181,-7.374566555,95.59265137,-26.31689262,3
182,-4.085656643,61.43947601,-13.4454298,3
183,-7.961772442,99.00244904,-23.7187252,3
184,4.096386909,-23.2780838,10.76094818,3
185,-0.417961299,26.81756973,-3.845114231,3
186,-8.648723602,112.5240631,-28.24615097,3
187,3.565987349,-20.45241547,11.27311897,3
188,-9.12339592,111.9751434,-29.16358948,3
189,-7.881882668,102.8241425,-24.15561295,3
190,-10.42149353,124.7603607,-32.42380905,3
191,-0.852205873,29.18289948,-3.888980865,3
192,2.566930771,-10.66228485,8.813308716,3
193,-8.554990768,109.3730392,-27.6714077,3
194,-17.52589607,210.2641907,-58.51847839,3
195,5.130027294,-44.53742599,16.03266716,3
196,-2.625554085,42.50061798,-8.869771957,3
197,5.862807751,-43.81378174,17.3001442,3
198,0.047963142,21.10971451,-1.528696775,3
199,-9.97504425,117.3391495,-30.58585739,3
200,-8.683321953,109.0259171,-27.14142036,3
201,3.346941233,-22.43511581,13.43188,3
202,-3.095469475,46.40036011,-8.694604874,3
203,-3.806552172,61.23045731,-13.62442017,3
204,-2.53243804,49.0367775,-8.685316086,3
205,-8.648293495,108.2937927,-28.74664307,3
206,-8.694365501,116.5748978,-31.0854187,3
207,-7.710530281,104.2338715,-26.96560287,3
208,-9.769851685,120.8045273,-33.08444977,3
209,-13.37556076,165.1242676,-45.7215538,3
210,7.550451279,-71.05840302,26.38790894,3
211,-8.681158066,113.6064453,-28.84776878,3
212,11.44661331,-105.4501801,37.60311508,3
213,-0.369411647,23.82274246,-3.024939775,3
214,-7.582714081,89.1178894,-20.21693039,3
215,-4.162296295,61.1714859,-14.6673317,3
216,-5.149128914,70.50946045,-18.08683968,3
217,7.911727428,-61.89194489,23.05655289,3
218,-5.055960178,67.69593811,-17.35479355,3
219,-0.3078233,19.09017372,-1.073701501,3
220,-9.536236763,121.5338058,-30.54165649,3
221,-0.561473608,27.80202675,-3.935253143,3
222,-6.538249969,92.55830383,-22.40812111,3
223,-1.154387236,25.01855278,-1.207145333,3
224,-0.316632271,25.17242622,-1.166638494,3
225,-9.91071701,127.2521515,-33.29613876,3
226,2.412834406,-9.836139679,6.463978767,3
227,1.046784043,2.914326668,3.121765137,3
228,-4.932785034,63.66270447,-13.96443844,3
229,-6.315078259,83.14383698,-19.79256439,3
230,-6.179593563,80.89096832,-18.92804909,3
231,-5.924114704,73.92201233,-16.74334908,3
232,-0.067257643,13.90057659,0.668427944,3
233,7.493582249,-63.87235641,24.09062958,3
234,-2.157287359,42.02378082,-9.189223289,3
235,-0.511654675,25.103405,-4.552678108,3
236,2.510611534,-11.2830658,9.308504105,3
237,2.674429178,-13.40012074,9.067008972,3
238,-12.88923359,151.9623566,-41.20806122,3
239,1.934536815,-4.819983482,5.318250656,3
240,-3.613188267,56.99571228,-11.96560478,3
241,1.080758929,3.367432594,3.92488122,3
242,-0.390595376,23.71346855,-2.094848156,3
243,-1.120477438,30.43119431,-5.701013565,3
244,1.414406419,2.590028763,4.652723312,3
245,-4.644704819,70.22169495,-16.50889587,3
246,-5.677824974,79.77981567,-20.84234428,3
247,-1.171209335,32.10306549,-4.792793751,3
248,-3.25139761,53.1176033,-12.79530334,3
249,-2.854178905,45.14459991,-8.758774757,3
250,2.671039104,-9.401042938,7.837852478,3
251,-6.442218781,84.57176971,-22.61710548,3
252,-2.71740675,50.2481842,-11.6814127,3
253,-11.44840717,148.9711914,-42.17554855,3
254,-10.29659843,131.2048035,-34.20125961,3
255,1.312361717,7.549994469,1.34004426,3
256,0.780739903,8.982449532,0.157519341,3
257,-8.255407333,110.2995834,-28.67068863,3
258,9.841014862,-86.43321991,30.63490868,3
259,-8.255371094,107.7560883,-26.38643265,3
260,-1.149693608,30.81404877,-2.171402454,3
261,-4.903199196,62.96492386,-14.461586,3
262,2.833502293,-6.533964157,6.613902569,3
263,-3.498981953,56.2345047,-10.61138535,3
264,-6.227359772,87.37522888,-20.38637161,3
265,-7.067285538,94.64112854,-23.93481827,3
266,-7.03474474,99.22935486,-27.2563591,3
267,-3.522945881,54.48262405,-11.87594986,3
268,-0.733696818,26.39123535,-3.410195351,3
269,4.153283596,-31.20347977,14.03730583,3
270,-4.393636227,70.00344086,-18.59661102,3
271,-2.869391441,55.71588898,-13.67165565,3
272,-1.548633456,32.82643509,-5.097504616,3
273,-2.682499409,49.45940399,-9.9565382,3
274,4.137910843,-28.20260429,15.02866745,3
275,1.455381036,-0.840997696,6.665320396,3
276,-3.084705114,52.83951187,-11.13022041,3
277,-7.959197044,98.24111938,-25.1762352,3
278,-4.69482708,63.61700439,-13.2231741,3
279,-10.65281391,135.297287,-33.19448471,3
280,-5.903354645,79.0635376,-18.94338036,3
281,-7.101212502,93.96424103,-22.57160187,3
282,-0.668199003,18.77282143,-1.755790949,3
283,-9.502352715,113.9973145,-29.79957581,3
284,3.160450697,-14.93057442,6.882310867,3
285,-6.655681133,86.48236847,-19.92367554,3
286,-11.12434006,141.4039307,-37.36307907,3
287,0.247694731,17.19842529,-1.51916039,3
288,-10.94677925,128.842453,-35.09415054,3
289,-1.053865552,25.54192352,-2.764938354,3
290,-7.45863533,103.1873322,-26.59572411,3
291,-3.44605875,51.82859421,-10.60281563,3
292,1.449031234,6.142637253,2.716626406,3
293,-3.175337315,53.15972137,-10.89657497,3
294,-2.774375439,41.08557892,-6.708620071,3
295,-11.0546484,135.8880463,-38.89726257,3
296,-0.298366845,16.71957207,0.181242943,3
297,-12.17647934,145.414566,-40.48553467,3
298,-4.56148243,66.53555298,-16.23807716,3
299,-2.032249928,38.8481369,-7.661677361,3
300,3.88265276,-30.67375946,11.88656902,3
301,-0.97363323,34.10879898,-5.305093765,3
302,-4.69128561,63.86553574,-14.57551193,3
303,-5.964351654,89.25650024,-20.73117828,3
304,-0.725061893,23.54745102,-1.466840267,3
305,-4.53620863,66.96899414,-14.51125717,3
306,-3.394382,48.35262299,-10.37243748,3
307,-12.47146225,151.0738831,-41.88593674,3
308,5.694956779,-46.16656494,18.00176048,3
309,-3.428714275,58.49036407,-13.7927227,3
310,2.62398839,-11.38198948,6.636156082,3
311,-14.35737133,173.9557343,-49.29993057,3
312,-9.42681694,116.5882416,-30.97930717,3
313,6.163158894,-47.57451248,19.34824944,3
314,-17.30997849,198.2427368,-54.92190552,3
315,-17.45064926,210.9734192,-60.56619644,3
316,-17.33730888,210.9476471,-58.73627472,3
317,-6.994585991,95.50521088,-24.32930565,3
318,-1.954307079,42.62532806,-6.030043602,3
319,-6.074714184,83.90981293,-20.76206589,3
320,-9.786398888,123.2304993,-32.64971161,3
321,1.927924275,-12.49702644,8.752052307,3
322,1.015753031,3.510781288,5.551383018,3
323,-6.99774313,94.04544067,-23.01125336,3
324,-5.484074593,69.73143768,-16.90516853,3
325,-1.929042578,46.2647438,-8.60634613,3
326,-3.915667295,57.67988968,-13.5397625,3
327,-7.653716564,101.9537582,-25.9653244,3
328,-0.677983344,24.78130722,-2.054726601,3
329,-8.164418221,105.153183,-28.20217705,3
330,-1.765494823,34.42353439,-3.428533792,3
331,-5.600972176,76.4960022,-20.31135178,3
332,-10.69195461,138.3574371,-36.93039322,3
333,8.20166111,-77.51763916,27.16207504,3
334,-10.76039982,138.0872498,-37.16084671,3
335,-3.503890991,56.67243958,-12.24244308,3
336,-8.369750977,109.7191162,-29.63569641,3
337,-2.45480299,46.96884155,-11.80498123,3
338,-3.22658205,56.62545776,-11.86387539,3
339,-1.322724342,28.27410126,-5.303730011,3
340,-0.365672231,19.27162552,-1.378248096,3
341,-16.52610397,192.5983429,-53.87433624,3
342,0.2314502,10.33255577,2.084034204,3
343,-10.2145853,125.0021744,-31.47008514,3
