,ReH,ReE,ReHT,index,replica,set
0,1.4741530929852984,-1.754356423123236,-1.3726502398842637,0,0,85
1,1.4741400530566144,-1.7543393816407034,-1.3726757713281392,1,0,85
2,1.474151250378096,-1.7543540151113866,-1.372653847637383,2,0,85
3,1.4741518947022099,-1.75435485715902,-1.3726525860847325,3,0,85
0,0.1795808476465519,6.672247737041644,1.1570327010225112,0,1,85
1,0.1795841517565733,6.672248358621278,1.1570261912344324,1,1,85
2,0.17958137271679098,6.6722478358035655,1.15703166651073,2,1,85
3,0.17957977087178284,6.672247534180441,1.157034822266847,3,1,85
0,1.6423553772753203,-2.569029301191966,-1.726872245331207,0,2,85
1,1.6423605453009034,-2.56933830908784,-1.7270489345474225,1,2,85
2,1.6423549195767349,-2.569001934202837,-1.7268565970170004,2,2,85
3,1.6423557045137351,-2.5690488673144323,-1.726883433140713,3,2,85
0,1.9751482964939524,-6.065207400892213,1.2776112679281026,0,3,85
1,1.975100420066347,-6.065227773944541,1.277599020178143,1,3,85
2,1.9748089689593775,-6.06535179633409,1.2775244611606957,2,3,85
3,1.975123501805633,-6.065217951879514,1.2776049249457113,3,3,85
0,-3.4207570566450025,6.226870599243963,6.704082421044863,0,4,85
1,-3.4213456729481457,6.233353666118013,6.705321417316927,1,4,85
2,-3.4207997112766773,6.2273404007576945,6.7041722060721085,2,4,85
3,-3.4207110695122296,6.2263640932986295,6.703985621337936,3,4,85
0,1.1849165472355394,-0.7885988248672611,2.6779928413569056,0,5,85
1,1.1849827717549322,-0.7888706390469897,2.677922361617932,1,5,85
2,1.1849257943029659,-0.7886367788253994,2.677983000137197,2,5,85
3,1.184921351941548,-0.7886185454383078,2.677987727945088,3,5,85
0,1.2590423295171131,-1.660580411639559,3.467289626727693,0,6,85
1,1.25903973739268,-1.6605830671987287,3.4672899815242246,1,6,85
2,1.2590392802978503,-1.6605835355811513,3.467290044129708,2,6,85
3,1.2590395072755811,-1.6605833029831771,3.467290013040154,3,6,85
0,0.580416047426181,2.3392214992208373,6.341053099297172,0,7,85
1,0.5804256085536608,2.339194864055636,6.341062152708188,1,7,85
2,0.5804357985699219,2.339166476960043,6.341071801603137,2,7,85
3,0.5802940576454914,2.339561335416251,6.340937587490371,3,7,85
0,0.43188727432392604,4.021166075053173,5.115924964024758,0,8,85
1,0.43190674335491663,4.021147692984984,5.115870366504449,1,8,85
2,0.4318857489802769,4.021167515235538,5.115929241587906,2,8,85
3,0.4318886795060823,4.021164748358379,5.115921023396442,3,8,85
0,0.9905671185155891,0.17258731359450122,3.6292776248345078,0,9,85
1,0.9906693339969728,0.17281276215759847,3.6292439336320252,1,9,85
2,0.9905782691227942,0.17261190759988343,3.6292739494883213,2,9,85
3,0.9905708568252471,0.17259555889770578,3.629276392640441,3,9,85
0,0.8994859113063287,2.6652344385740943,-2.772335015560092,0,10,85
1,0.8994869455513113,2.665234824203373,-2.7723338915568343,1,10,85
2,0.8994933300480504,2.6652372047429136,-2.7723269530776404,2,10,85
3,0.8994864636835176,2.6652346445309574,-2.7723344152471068,3,10,85
0,2.058437894861929,-5.318139486441279,-3.188911612134577,0,11,85
1,2.0584515616740884,-5.318128136736027,-3.18889898005124,1,11,85
2,2.058468326732057,-5.318114214071818,-3.188883484297196,2,11,85
3,2.058250123582884,-5.318295422507229,-3.1890851670599565,3,11,85
0,0.37320846618722114,5.358526268109767,0.9062820965743698,0,12,85
1,0.37319935213047095,5.358563210772257,0.9062748832405301,1,12,85
2,0.3732078015703434,5.35852896203324,0.906281570583434,2,12,85
3,0.3732071933702735,5.358531427295107,0.9062810892233518,3,12,85
0,0.7130074433435225,2.6780825588564543,1.6965034882400003,0,13,85
1,0.7130142655949891,2.6780963485195084,1.696500119665643,1,13,85
2,0.7130279182022843,2.6781239442205385,1.6964933785182648,2,13,85
3,0.71319440325885,2.678460456638135,1.6964111744344934,3,13,85
0,0.8243878703219505,1.9742860312661035,1.4717064810805203,0,14,85
1,0.8243889907688922,1.9742869323455128,1.471705552733027,1,14,85
2,0.8243879250575632,1.9742860751860354,1.4717064358162282,2,14,85
3,0.8243871208831142,1.9742854292840013,1.4717071013841116,3,14,85
0,1.5614342726684938,-2.9093189324403577,0.2905354715943993,0,15,85
1,1.5614453306088345,-2.909314363376101,0.29052341980516905,1,15,85
2,1.561457488898418,-2.9093093396616787,0.2905101687762226,2,15,85
3,1.5616089130092945,-2.909246772345405,0.29034513526699973,3,15,85
0,0.34830800452939553,4.6952256064315545,4.952245694727131,0,16,85
1,0.34850462163867846,4.695007389705165,4.951670604966691,1,16,85
2,0.34852003033771334,4.694990288264295,4.951625535719524,2,16,85
3,0.34853645331893757,4.694972061115938,4.951577499776947,3,16,85
0,1.167414246575384,0.103309129536103,-0.410576391351293,0,17,85
1,1.16740804787687,0.10332015977242437,-0.41059096094447267,1,17,85
2,1.1674072839825054,0.10332151908320489,-0.41059275643020743,2,17,85
3,1.1674075364800194,0.10332106976275154,-0.41059216292415934,3,17,85
0,1.897871972179313,-2.818805221223205,-8.465020526947647,0,18,85
1,1.8978843102838803,-2.818805326462887,-8.465022809684339,1,18,85
2,1.8980992430720462,-2.818807159756142,-8.46506257552403,2,18,85
3,1.897900385252108,-2.8188054635743702,-8.46502578379926,3,18,85
0,1.5211732431908076,-0.7966127342788781,-5.954125606780748,0,19,85
1,1.5211653456222165,-0.7966156944670368,-5.954129250161259,1,19,85
2,1.5211647670951831,-0.7966159112943795,-5.954129517154167,2,19,85
3,1.5211641017119266,-0.7966161606855815,-5.9541298241671425,3,19,85
0,1.1070124663243706,-0.3258689731413632,2.5216331855156247,0,20,85
1,1.1071721671328372,-0.3261371041164456,2.5217606808834923,1,20,85
2,1.1071829619240727,-0.3261552281188589,2.521769298785679,2,20,85
3,1.1071980624647295,-0.3261805813064877,2.5217813541357312,3,20,85
0,1.2614236323671215,1.3005866173494112,-7.343303637823299,0,21,85
1,1.2614779889796313,1.3005132682096923,-7.343303223958692,1,21,85
2,1.2614256084361302,1.3005839508314345,-7.343303622774499,2,21,85
3,1.2614295472106987,1.3005786358267182,-7.343303592785375,3,21,85
0,1.097005600673231,1.7189240236405872,-4.298058159609124,0,22,85
1,1.0971351506275138,1.7190510496513522,-4.297979431759792,1,22,85
2,1.0971259120234982,1.7190419910390986,-4.297985046083005,2,22,85
3,1.097117146495168,1.7190333962849738,-4.297990372915432,3,22,85
0,0.09722632722730218,9.501287552629172,-3.810950689100916,0,23,85
1,0.10002207898225648,9.496963159562295,-3.811557441944208,1,23,85
2,0.09981948221128313,9.497276530758542,-3.8115134730311437,2,23,85
3,0.10024050413673857,9.496625305451616,-3.811604846040902,3,23,85
0,1.8248279743015394,-3.466961849225705,-4.235784149367367,0,24,85
1,1.8248292334891367,-3.46696068200798,-4.235784657266298,1,24,85
2,1.824827616327156,-3.466962181068699,-4.235784004963895,2,24,85
3,1.8248181249858977,-3.466970979263576,-4.235780176603914,3,24,85
0,1.7630685541989881,-4.567843320285613,1.1215289310830205,0,25,85
1,1.7630866307088864,-4.567825417673987,1.1214963314798974,1,25,85
2,1.763314273666544,-4.567599964668927,1.121085794808501,2,25,85
3,1.7630506596488336,-4.567861042689646,1.1215612025387793,3,25,85
0,0.8957248868457559,1.3649910462653714,2.0548079169523827,0,26,85
1,0.89571584837148,1.365005055294744,2.0548214846231767,1,26,85
2,0.8957151203710676,1.3650061837297778,2.0548225775396736,2,26,85
3,0.8957147390075009,1.3650067747990935,2.0548231499815475,3,26,85
0,2.1422768462518738,-5.5389800981453305,-5.2501120696930945,0,27,85
1,2.142313413813345,-5.5390173406348815,-5.250129589674675,1,27,85
2,2.142789375034428,-5.539502086687165,-5.250357628731962,2,27,85
3,2.14223625373105,-5.538938756406877,-5.250092621300517,3,27,85
0,0.8292852388902126,3.140294783746471,-2.880001520986192,0,28,85
1,0.8293216815411104,3.1403389543863636,-2.8800426281978293,1,28,85
2,0.8295464756471114,3.140611418108289,-2.8802961953554007,2,28,85
3,0.8293044108243277,3.140318021257942,-2.880023146876344,3,28,85
0,0.5768007711291161,4.477620377548336,-1.3153707612750396,0,29,85
1,0.5768950751659317,4.477619631161259,-1.3159092304941393,1,29,85
2,0.5768145305675638,4.477620268643747,-1.3154493267177654,2,29,85
3,0.576786269087733,4.477620492323549,-1.3152879557360209,3,29,85
0,1.937732057825646,-4.299594684938068,-3.9826904275979373,0,30,85
1,1.937713493507562,-4.299595144384855,-3.982698054980971,1,30,85
2,1.9376956721826715,-4.299595585438679,-3.982705377098122,2,30,85
3,1.9374812553713832,-4.29960089197121,-3.982793472944805,3,30,85
0,0.8183754514352578,2.7315171168284396,-1.1252127337291506,0,31,85
1,0.8183226339000081,2.7318109013798315,-1.1253687995614299,1,31,85
2,0.8183141676939458,2.731857992582175,-1.125393815607742,2,31,85
3,0.8183184677801827,2.7318340743897185,-1.1253811096549406,3,31,85
0,0.9506097511543441,0.27658368639718667,3.5313057167580135,0,32,85
1,0.9506109668566922,0.27658948123884164,3.5313195833091404,1,32,85
2,0.9506085731965359,0.2765780714600091,3.531292280692522,2,32,85
3,0.950593635194328,0.276506867122334,3.5311218949808945,3,32,85
0,-2.87211156207573,-2.1315270764296255,5.30265391882539,0,33,85
1,-2.8716574414868106,-2.136433144922445,5.31795231896913,1,33,85
2,-2.872185292618492,-2.13073053229904,5.300170086636752,2,33,85
3,-2.872147041391698,-2.1311437774491466,5.301458692711879,3,33,85
0,1.2661135050755046,-0.42421516274043125,-0.9899334257965462,0,34,85
1,1.266117563589181,-0.4242263267222548,-0.9899245352722319,1,34,85
2,1.2661172788698174,-0.424225543564081,-0.989925158962959,2,34,85
3,1.266117002651563,-0.42422478372548605,-0.9899257640538213,3,34,85
0,0.277782210416632,6.841140030510155,9.275764022915677,0,35,85
1,0.27740644124157987,6.841780454123224,9.277739326605058,1,35,85
2,0.2750920066432059,6.845724946302443,9.289905601849117,2,35,85
3,0.2775872622787623,6.841472280730711,9.276788805688538,3,35,85
0,2.045891738196781,-5.0159510720119025,-4.7969633809396655,0,36,85
1,2.0461173466732,-5.016219692532829,-4.797116696744514,1,36,85
2,2.0459070727836783,-5.0159693301211234,-4.796973801802542,2,36,85
3,2.0458729870396444,-5.0159287459636115,-4.796950638293344,3,36,85
0,2.120551883526443,-5.778480520516841,-3.5350178511982717,0,37,85
1,2.1205554665269046,-5.778481438425519,-3.5350186563853643,1,37,85
2,2.1205585880391147,-5.778482238513357,-3.5350193565085757,2,37,85
3,2.1205555028491996,-5.778481447696684,-3.5350186646614103,3,37,85
0,1.0678635860884083,0.3354528064421084,1.1552759703555373,0,38,85
1,1.0675782736116366,0.3354179680831917,1.1550353780200249,1,38,85
2,1.0675999015985522,0.3354206089905738,1.155053616016826,2,38,85
3,1.0675674701811841,0.33541664891952283,1.1550262679319612,3,38,85
0,1.4307158768407224,-3.201969573452141,4.573651190701781,0,39,85
1,1.4306247233740939,-3.2018554142342692,4.573539926469506,1,39,85
2,1.4307090892804437,-3.2019610727976353,4.573642905621153,2,39,85
3,1.4307031639548997,-3.2019536520121896,4.5736356730190035,3,39,85
0,0.402175710704037,5.851657693475534,-1.7807784844916172,0,40,85
1,0.402175721848973,5.851657708215671,-1.7807785396273328,1,40,85
