#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,ReH,ReE,ReHTilde,dvcs
1.00000,0.00000,5.75000,1.82000,0.34300,-0.17200,7.50000,0.12424,0.00576,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,1.00000,5.75000,1.82000,0.34300,-0.17200,22.50000,0.10715,0.00554,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,2.00000,5.75000,1.82000,0.34300,-0.17200,37.50000,0.10739,0.00517,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,3.00000,5.75000,1.82000,0.34300,-0.17200,52.50000,0.08818,0.00472,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,4.00000,5.75000,1.82000,0.34300,-0.17200,67.50000,0.08519,0.00426,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,5.00000,5.75000,1.82000,0.34300,-0.17200,82.50000,0.07637,0.00384,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,6.00000,5.75000,1.82000,0.34300,-0.17200,97.50000,0.06675,0.00348,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,7.00000,5.75000,1.82000,0.34300,-0.17200,112.50000,0.06211,0.00319,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,8.00000,5.75000,1.82000,0.34300,-0.17200,127.50000,0.05625,0.00296,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,9.00000,5.75000,1.82000,0.34300,-0.17200,142.50000,0.06180,0.00280,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,10.00000,5.75000,1.82000,0.34300,-0.17200,157.50000,0.05231,0.00270,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,11.00000,5.75000,1.82000,0.34300,-0.17200,172.50000,0.05741,0.00265,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,12.00000,5.75000,1.82000,0.34300,-0.17200,187.50000,0.05466,0.00265,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,13.00000,5.75000,1.82000,0.34300,-0.17200,202.50000,0.05318,0.00270,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,14.00000,5.75000,1.82000,0.34300,-0.17200,217.50000,0.05455,0.00280,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,15.00000,5.75000,1.82000,0.34300,-0.17200,232.50000,0.05470,0.00296,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,16.00000,5.75000,1.82000,0.34300,-0.17200,247.50000,0.06242,0.00319,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,17.00000,5.75000,1.82000,0.34300,-0.17200,262.50000,0.06799,0.00348,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,18.00000,5.75000,1.82000,0.34300,-0.17200,277.50000,0.07400,0.00384,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,19.00000,5.75000,1.82000,0.34300,-0.17200,292.50000,0.08432,0.00426,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,20.00000,5.75000,1.82000,0.34300,-0.17200,307.50000,0.09148,0.00472,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,21.00000,5.75000,1.82000,0.34300,-0.17200,322.50000,0.10377,0.00517,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,22.00000,5.75000,1.82000,0.34300,-0.17200,337.50000,0.10769,0.00554,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
1.00000,23.00000,5.75000,1.82000,0.34300,-0.17200,352.50000,0.10926,0.00576,0.05000,0.68309,1.09312,-2.56442,2.21195,1.39564,0.03159
2.00000,0.00000,5.75000,1.93300,0.36800,-0.23200,7.50000,0.07686,0.00403,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,1.00000,5.75000,1.93300,0.36800,-0.23200,22.50000,0.07151,0.00382,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,2.00000,5.75000,1.93300,0.36800,-0.23200,37.50000,0.06922,0.00349,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,3.00000,5.75000,1.93300,0.36800,-0.23200,52.50000,0.06194,0.00311,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,4.00000,5.75000,1.93300,0.36800,-0.23200,67.50000,0.05845,0.00275,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,5.00000,5.75000,1.93300,0.36800,-0.23200,82.50000,0.04699,0.00244,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,6.00000,5.75000,1.93300,0.36800,-0.23200,97.50000,0.04644,0.00220,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,7.00000,5.75000,1.93300,0.36800,-0.23200,112.50000,0.03601,0.00201,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,8.00000,5.75000,1.93300,0.36800,-0.23200,127.50000,0.03918,0.00188,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,9.00000,5.75000,1.93300,0.36800,-0.23200,142.50000,0.03695,0.00178,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,10.00000,5.75000,1.93300,0.36800,-0.23200,157.50000,0.03689,0.00172,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,11.00000,5.75000,1.93300,0.36800,-0.23200,172.50000,0.03490,0.00170,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,12.00000,5.75000,1.93300,0.36800,-0.23200,187.50000,0.03046,0.00170,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,13.00000,5.75000,1.93300,0.36800,-0.23200,202.50000,0.03403,0.00172,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,14.00000,5.75000,1.93300,0.36800,-0.23200,217.50000,0.03872,0.00178,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,15.00000,5.75000,1.93300,0.36800,-0.23200,232.50000,0.03879,0.00188,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,16.00000,5.75000,1.93300,0.36800,-0.23200,247.50000,0.03916,0.00201,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,17.00000,5.75000,1.93300,0.36800,-0.23200,262.50000,0.04475,0.00220,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,18.00000,5.75000,1.93300,0.36800,-0.23200,277.50000,0.04959,0.00244,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,19.00000,5.75000,1.93300,0.36800,-0.23200,292.50000,0.05813,0.00275,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,20.00000,5.75000,1.93300,0.36800,-0.23200,307.50000,0.06030,0.00311,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,21.00000,5.75000,1.93300,0.36800,-0.23200,322.50000,0.06880,0.00349,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,22.00000,5.75000,1.93300,0.36800,-0.23200,337.50000,0.07543,0.00382,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
2.00000,23.00000,5.75000,1.93300,0.36800,-0.23200,352.50000,0.08405,0.00403,0.05000,0.61351,0.94474,-2.48378,2.05692,1.17942,0.02271
3.00000,0.00000,5.75000,1.96400,0.37500,-0.27800,7.50000,0.06855,0.00359,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,1.00000,5.75000,1.96400,0.37500,-0.27800,22.50000,0.06110,0.00336,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,2.00000,5.75000,1.96400,0.37500,-0.27800,37.50000,0.06426,0.00298,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,3.00000,5.75000,1.96400,0.37500,-0.27800,52.50000,0.05267,0.00259,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,4.00000,5.75000,1.96400,0.37500,-0.27800,67.50000,0.04515,0.00224,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,5.00000,5.75000,1.96400,0.37500,-0.27800,82.50000,0.03786,0.00197,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,6.00000,5.75000,1.96400,0.37500,-0.27800,97.50000,0.03635,0.00177,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,7.00000,5.75000,1.96400,0.37500,-0.27800,112.50000,0.03314,0.00162,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,8.00000,5.75000,1.96400,0.37500,-0.27800,127.50000,0.02973,0.00151,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,9.00000,5.75000,1.96400,0.37500,-0.27800,142.50000,0.03086,0.00144,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,10.00000,5.75000,1.96400,0.37500,-0.27800,157.50000,0.02655,0.00140,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,11.00000,5.75000,1.96400,0.37500,-0.27800,172.50000,0.02629,0.00138,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,12.00000,5.75000,1.96400,0.37500,-0.27800,187.50000,0.02816,0.00138,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,13.00000,5.75000,1.96400,0.37500,-0.27800,202.50000,0.02621,0.00140,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,14.00000,5.75000,1.96400,0.37500,-0.27800,217.50000,0.02969,0.00144,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,15.00000,5.75000,1.96400,0.37500,-0.27800,232.50000,0.02891,0.00151,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,16.00000,5.75000,1.96400,0.37500,-0.27800,247.50000,0.03240,0.00162,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,17.00000,5.75000,1.96400,0.37500,-0.27800,262.50000,0.03407,0.00177,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,18.00000,5.75000,1.96400,0.37500,-0.27800,277.50000,0.04052,0.00197,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,19.00000,5.75000,1.96400,0.37500,-0.27800,292.50000,0.03949,0.00224,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,20.00000,5.75000,1.96400,0.37500,-0.27800,307.50000,0.05192,0.00259,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,21.00000,5.75000,1.96400,0.37500,-0.27800,322.50000,0.06060,0.00298,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,22.00000,5.75000,1.96400,0.37500,-0.27800,337.50000,0.07147,0.00336,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
3.00000,23.00000,5.75000,1.96400,0.37500,-0.27800,352.50000,0.07779,0.00359,0.05000,0.56833,0.85069,-2.44312,1.94885,1.04808,0.01969
4.00000,0.00000,5.75000,1.98600,0.37900,-0.32300,7.50000,0.06603,0.00331,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,1.00000,5.75000,1.98600,0.37900,-0.32300,22.50000,0.05939,0.00303,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,2.00000,5.75000,1.98600,0.37900,-0.32300,37.50000,0.05693,0.00262,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,3.00000,5.75000,1.98600,0.37900,-0.32300,52.50000,0.04664,0.00222,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,4.00000,5.75000,1.98600,0.37900,-0.32300,67.50000,0.03678,0.00190,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,5.00000,5.75000,1.98600,0.37900,-0.32300,82.50000,0.03204,0.00166,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,6.00000,5.75000,1.98600,0.37900,-0.32300,97.50000,0.03204,0.00148,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,7.00000,5.75000,1.98600,0.37900,-0.32300,112.50000,0.02821,0.00136,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,8.00000,5.75000,1.98600,0.37900,-0.32300,127.50000,0.02465,0.00128,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,9.00000,5.75000,1.98600,0.37900,-0.32300,142.50000,0.02493,0.00122,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,10.00000,5.75000,1.98600,0.37900,-0.32300,157.50000,0.02328,0.00119,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,11.00000,5.75000,1.98600,0.37900,-0.32300,172.50000,0.02274,0.00117,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,12.00000,5.75000,1.98600,0.37900,-0.32300,187.50000,0.02369,0.00117,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,13.00000,5.75000,1.98600,0.37900,-0.32300,202.50000,0.02436,0.00119,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,14.00000,5.75000,1.98600,0.37900,-0.32300,217.50000,0.02493,0.00122,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,15.00000,5.75000,1.98600,0.37900,-0.32300,232.50000,0.02441,0.00128,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,16.00000,5.75000,1.98600,0.37900,-0.32300,247.50000,0.02839,0.00136,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,17.00000,5.75000,1.98600,0.37900,-0.32300,262.50000,0.02948,0.00148,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,18.00000,5.75000,1.98600,0.37900,-0.32300,277.50000,0.03520,0.00166,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,19.00000,5.75000,1.98600,0.37900,-0.32300,292.50000,0.03746,0.00190,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,20.00000,5.75000,1.98600,0.37900,-0.32300,307.50000,0.04474,0.00222,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,21.00000,5.75000,1.98600,0.37900,-0.32300,322.50000,0.04957,0.00262,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,22.00000,5.75000,1.98600,0.37900,-0.32300,337.50000,0.06552,0.00303,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
4.00000,23.00000,5.75000,1.98600,0.37900,-0.32300,352.50000,0.07202,0.00331,0.05000,0.52951,0.77171,-2.40288,1.85115,0.93447,0.01749
5.00000,0.00000,5.75000,1.99900,0.38100,-0.37100,7.50000,0.06576,0.00314,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,1.00000,5.75000,1.99900,0.38100,-0.37100,22.50000,0.05652,0.00281,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,2.00000,5.75000,1.99900,0.38100,-0.37100,37.50000,0.04624,0.00235,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,3.00000,5.75000,1.99900,0.38100,-0.37100,52.50000,0.03937,0.00194,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,4.00000,5.75000,1.99900,0.38100,-0.37100,67.50000,0.03421,0.00163,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,5.00000,5.75000,1.99900,0.38100,-0.37100,82.50000,0.02605,0.00142,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,6.00000,5.75000,1.99900,0.38100,-0.37100,97.50000,0.02633,0.00127,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,7.00000,5.75000,1.99900,0.38100,-0.37100,112.50000,0.02259,0.00117,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,8.00000,5.75000,1.99900,0.38100,-0.37100,127.50000,0.02250,0.00110,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,9.00000,5.75000,1.99900,0.38100,-0.37100,142.50000,0.02167,0.00106,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,10.00000,5.75000,1.99900,0.38100,-0.37100,157.50000,0.02124,0.00103,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,11.00000,5.75000,1.99900,0.38100,-0.37100,172.50000,0.01979,0.00102,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,12.00000,5.75000,1.99900,0.38100,-0.37100,187.50000,0.02330,0.00102,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,13.00000,5.75000,1.99900,0.38100,-0.37100,202.50000,0.01972,0.00103,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,14.00000,5.75000,1.99900,0.38100,-0.37100,217.50000,0.02115,0.00106,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,15.00000,5.75000,1.99900,0.38100,-0.37100,232.50000,0.02285,0.00110,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,16.00000,5.75000,1.99900,0.38100,-0.37100,247.50000,0.02425,0.00117,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
5.00000,17.00000,5.75000,1.99900,0.38100,-0.37100,262.50000,0.02811,0.00127,0.05000,0.49291,0.69902,-2.35988,1.75483,0.82686,0.01577
