#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.112988,0.00564939,0.05,-2.56442,2.21195,1.39564,0.0315868
1,1,5.75,1.82,0.343,-0.172,22.5,0.111653,0.00558267,0.05,-2.56442,2.21195,1.39564,0.0315868
1,2,5.75,1.82,0.343,-0.172,37.5,0.100252,0.0050126,0.05,-2.56442,2.21195,1.39564,0.0315868
1,3,5.75,1.82,0.343,-0.172,52.5,0.0964333,0.00482166,0.05,-2.56442,2.21195,1.39564,0.0315868
1,4,5.75,1.82,0.343,-0.172,67.5,0.0848586,0.00424293,0.05,-2.56442,2.21195,1.39564,0.0315868
1,5,5.75,1.82,0.343,-0.172,82.5,0.0818606,0.00409303,0.05,-2.56442,2.21195,1.39564,0.0315868
1,6,5.75,1.82,0.343,-0.172,97.5,0.0719486,0.00359743,0.05,-2.56442,2.21195,1.39564,0.0315868
1,7,5.75,1.82,0.343,-0.172,112.5,0.0580914,0.00290457,0.05,-2.56442,2.21195,1.39564,0.0315868
1,8,5.75,1.82,0.343,-0.172,127.5,0.0609331,0.00304666,0.05,-2.56442,2.21195,1.39564,0.0315868
1,9,5.75,1.82,0.343,-0.172,142.5,0.0581018,0.00290509,0.05,-2.56442,2.21195,1.39564,0.0315868
1,10,5.75,1.82,0.343,-0.172,157.5,0.0460871,0.00230435,0.05,-2.56442,2.21195,1.39564,0.0315868
1,11,5.75,1.82,0.343,-0.172,172.5,0.0506105,0.00253053,0.05,-2.56442,2.21195,1.39564,0.0315868
1,12,5.75,1.82,0.343,-0.172,187.5,0.0547536,0.00273768,0.05,-2.56442,2.21195,1.39564,0.0315868
1,13,5.75,1.82,0.343,-0.172,202.5,0.0601963,0.00300982,0.05,-2.56442,2.21195,1.39564,0.0315868
1,14,5.75,1.82,0.343,-0.172,217.5,0.0542493,0.00271246,0.05,-2.56442,2.21195,1.39564,0.0315868
1,15,5.75,1.82,0.343,-0.172,232.5,0.055425,0.00277125,0.05,-2.56442,2.21195,1.39564,0.0315868
1,16,5.75,1.82,0.343,-0.172,247.5,0.0623302,0.00311651,0.05,-2.56442,2.21195,1.39564,0.0315868
1,17,5.75,1.82,0.343,-0.172,262.5,0.0719614,0.00359807,0.05,-2.56442,2.21195,1.39564,0.0315868
1,18,5.75,1.82,0.343,-0.172,277.5,0.0685066,0.00342533,0.05,-2.56442,2.21195,1.39564,0.0315868
1,19,5.75,1.82,0.343,-0.172,292.5,0.083123,0.00415615,0.05,-2.56442,2.21195,1.39564,0.0315868
1,20,5.75,1.82,0.343,-0.172,307.5,0.0944508,0.00472254,0.05,-2.56442,2.21195,1.39564,0.0315868
1,21,5.75,1.82,0.343,-0.172,322.5,0.101559,0.00507797,0.05,-2.56442,2.21195,1.39564,0.0315868
1,22,5.75,1.82,0.343,-0.172,337.5,0.115729,0.00578644,0.05,-2.56442,2.21195,1.39564,0.0315868
1,23,5.75,1.82,0.343,-0.172,352.5,0.112375,0.00561874,0.05,-2.56442,2.21195,1.39564,0.0315868
2,0,5.75,1.933,0.368,-0.232,7.5,0.0800217,0.00400108,0.05,-2.48378,2.05692,1.17942,0.0227145
2,1,5.75,1.933,0.368,-0.232,22.5,0.0754982,0.00377491,0.05,-2.48378,2.05692,1.17942,0.0227145
2,2,5.75,1.933,0.368,-0.232,37.5,0.062333,0.00311665,0.05,-2.48378,2.05692,1.17942,0.0227145
2,3,5.75,1.933,0.368,-0.232,52.5,0.0674949,0.00337475,0.05,-2.48378,2.05692,1.17942,0.0227145
2,4,5.75,1.933,0.368,-0.232,67.5,0.0526265,0.00263132,0.05,-2.48378,2.05692,1.17942,0.0227145
2,5,5.75,1.933,0.368,-0.232,82.5,0.048484,0.0024242,0.05,-2.48378,2.05692,1.17942,0.0227145
2,6,5.75,1.933,0.368,-0.232,97.5,0.0431791,0.00215895,0.05,-2.48378,2.05692,1.17942,0.0227145
2,7,5.75,1.933,0.368,-0.232,112.5,0.0403061,0.00201531,0.05,-2.48378,2.05692,1.17942,0.0227145
2,8,5.75,1.933,0.368,-0.232,127.5,0.0363959,0.00181979,0.05,-2.48378,2.05692,1.17942,0.0227145
2,9,5.75,1.933,0.368,-0.232,142.5,0.0365168,0.00182584,0.05,-2.48378,2.05692,1.17942,0.0227145
2,10,5.75,1.933,0.368,-0.232,157.5,0.0361561,0.00180781,0.05,-2.48378,2.05692,1.17942,0.0227145
2,11,5.75,1.933,0.368,-0.232,172.5,0.0326336,0.00163168,0.05,-2.48378,2.05692,1.17942,0.0227145
2,12,5.75,1.933,0.368,-0.232,187.5,0.0320413,0.00160207,0.05,-2.48378,2.05692,1.17942,0.0227145
2,13,5.75,1.933,0.368,-0.232,202.5,0.0343273,0.00171636,0.05,-2.48378,2.05692,1.17942,0.0227145
2,14,5.75,1.933,0.368,-0.232,217.5,0.0328369,0.00164185,0.05,-2.48378,2.05692,1.17942,0.0227145
2,15,5.75,1.933,0.368,-0.232,232.5,0.0404416,0.00202208,0.05,-2.48378,2.05692,1.17942,0.0227145
2,16,5.75,1.933,0.368,-0.232,247.5,0.038321,0.00191605,0.05,-2.48378,2.05692,1.17942,0.0227145
2,17,5.75,1.933,0.368,-0.232,262.5,0.0418984,0.00209492,0.05,-2.48378,2.05692,1.17942,0.0227145
2,18,5.75,1.933,0.368,-0.232,277.5,0.0504403,0.00252201,0.05,-2.48378,2.05692,1.17942,0.0227145
