hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,COMPASS,d,2009
pi+,3.43,0.037,0.36,0.2237,0.43,-0.0107,0.0068,0,0.0068,z,Overall_Uncert,,
pi+,3.37,0.039,0.34,0.2737,0.45,-0.0028,0.008,0,0.008,z,,,
pi+,3.33,0.041,0.32,0.3237,0.48,-0.0132,0.0094,0,0.0094,z,,,
pi+,3.28,0.042,0.3,0.3737,0.49,-0.0114,0.011,0,0.011,z,,,
pi+,3.19,0.044,0.28,0.4448,0.52,-0.0041,0.01,0,0.01,z,,,
pi+,3.03,0.046,0.25,0.5646,0.54,0.0147,0.0117,0,0.0117,z,,,
pi+,2.74,0.046,0.22,0.7164,0.54,0.0065,0.0171,0,0.0171,z,,,
pi+,2.4,0.045,0.19,0.8787,0.47,-0.0152,0.0234,0,0.0234,z,,,
pi+,1.24,0.006469,0.65,0.29,0.53,-0.0117,0.0156,0,0.0156,x,,,
pi+,1.45,0.01059,0.46,0.33,0.52,-0.0136,0.0101,0,0.0101,x,,,
pi+,1.67,0.01643,0.34,0.35,0.49,-0.008,0.0084,0,0.0084,x,,,
pi+,1.99,0.02556,0.26,0.37,0.46,0.0034,0.0074,0,0.0074,x,,,
pi+,2.79,0.03967,0.23,0.39,0.45,-0.0014,0.0083,0,0.0083,x,,,
pi+,4.54,0.06255,0.24,0.38,0.46,-0.0014,0.0104,0,0.0104,x,,,
pi+,7.4,0.1005,0.25,0.37,0.46,-0.018,0.0137,0,0.0137,x,,,
pi+,11.8,0.1609,0.24,0.37,0.47,-0.0317,0.0203,0,0.0203,x,,,
pi+,23.8,0.2781,0.28,0.36,0.51,0.0042,0.0343,0,0.0343,x,,,
pi+,3.18,0.043,0.29,0.35,0.1547,0.0001,0.0104,0,0.0104,phT,,,
pi+,3.14,0.042,0.29,0.35,0.2519,-0.0106,0.0087,0,0.0087,phT,,,
pi+,3.14,0.041,0.3,0.35,0.3496,-0.006,0.0084,0,0.0084,phT,,,
pi+,3.23,0.041,0.31,0.35,0.4482,-0.0028,0.0089,0,0.0089,phT,,,
pi+,3.29,0.041,0.32,0.36,0.5475,0.0014,0.0102,0,0.0102,phT,,,
pi+,3.36,0.04,0.33,0.37,0.6681,-0.0086,0.0102,0,0.0102,phT,,,
pi+,3.46,0.04,0.34,0.39,0.817,0.0079,0.0138,0,0.0138,phT,,,
pi+,3.61,0.039,0.36,0.41,1.042,-0.0329,0.0151,0,0.0151,phT,,,
pi+,4.08,0.038,0.43,0.43,1.549,-0.0116,0.0327,0,0.0327,phT,,,
pi-,3.31,0.036,0.37,0.2236,0.44,-0.0137,0.0071,0,0.0071,z,,,
pi-,3.25,0.038,0.35,0.2736,0.46,-0.0123,0.0084,0,0.0084,z,,,
pi-,3.19,0.039,0.33,0.3236,0.48,-0.0043,0.01,0,0.01,z,,,
pi-,3.13,0.04,0.31,0.3736,0.5,0.0075,0.0118,0,0.0118,z,,,
pi-,3.02,0.041,0.28,0.4446,0.52,-0.0243,0.0109,0,0.0109,z,,,
pi-,2.81,0.042,0.25,0.5643,0.54,0.0024,0.013,0,0.013,z,,,
pi-,2.51,0.042,0.22,0.7171,0.52,-0.0344,0.019,0,0.019,z,,,
pi-,2.21,0.041,0.19,0.8794,0.43,0.0287,0.0247,0,0.0247,z,,,
pi-,1.24,0.006453,0.65,0.29,0.54,0.0032,0.0159,0,0.0159,x,,,
pi-,1.46,0.01057,0.47,0.32,0.52,-0.0027,0.0104,0,0.0104,x,,,
pi-,1.68,0.01641,0.35,0.35,0.49,-0.0225,0.0088,0,0.0088,x,,,
pi-,2.02,0.02552,0.27,0.37,0.46,-0.0077,0.0079,0,0.0079,x,,,
pi-,2.82,0.03964,0.24,0.38,0.45,-0.0055,0.0089,0,0.0089,x,,,
pi-,4.59,0.06247,0.25,0.38,0.45,-0.0097,0.0113,0,0.0113,x,,,
pi-,7.42,0.1004,0.25,0.36,0.46,-0.0166,0.0153,0,0.0153,x,,,
pi-,11.9,0.1607,0.25,0.36,0.47,-0.0026,0.0232,0,0.0232,x,,,
pi-,23.9,0.2781,0.28,0.35,0.51,-0.0339,0.0411,0,0.0411,x,,,
pi-,3.05,0.041,0.29,0.35,0.1545,0.0058,0.0112,0,0.0112,phT,,,
pi-,3,0.04,0.3,0.35,0.252,-0.0098,0.0092,0,0.0092,phT,,,
pi-,3.01,0.039,0.31,0.35,0.3497,-0.0146,0.0089,0,0.0089,phT,,,
pi-,3.08,0.039,0.32,0.35,0.4483,-0.0183,0.0095,0,0.0095,phT,,,
pi-,3.15,0.038,0.33,0.35,0.5475,-0.0021,0.0109,0,0.0109,phT,,,
pi-,3.23,0.038,0.34,0.36,0.668,-0.0184,0.0109,0,0.0109,phT,,,
pi-,3.29,0.037,0.35,0.38,0.8168,-0.0027,0.0149,0,0.0149,phT,,,
pi-,3.42,0.036,0.38,0.4,1.042,-0.0097,0.0159,0,0.0159,phT,,,
pi-,3.83,0.035,0.43,0.42,1.554,-0.0285,0.0349,0,0.0349,phT,,,
k-,3.65,0.51,0.026,0.2248,0.51,-0.0077,0.023,0,0.023,z,,,
k-,3.51,0.46,0.028,0.2743,0.53,-0.0229,0.0242,0,0.0242,z,,,
k-,3.49,0.43,0.03,0.3242,0.54,-0.0234,0.0256,0,0.0256,z,,,
k-,3.35,0.4,0.032,0.3742,0.56,-0.02,0.0297,0,0.0297,z,,,
k-,3.13,0.35,0.034,0.4454,0.56,-0.0326,0.0251,0,0.0251,z,,,
k-,2.85,0.29,0.037,0.5641,0.57,-0.0037,0.0291,0,0.0291,z,,,
k-,2.68,0.25,0.04,0.7111,0.6,-0.135,0.0487,0,0.0487,z,,,
k-,2.45,0.23,0.039,0.8679,0.55,0.0993,0.0868,0,0.0868,z,,,
k-,1.25,0.006431,0.66,0.3,0.57,-0.0274,0.0319,0,0.0319,x,,,
k-,1.51,0.01051,0.48,0.34,0.56,-0.0182,0.0226,0,0.0226,x,,,
k-,1.87,0.01621,0.39,0.37,0.54,-0.014,0.0222,0,0.0222,x,,,
k-,2.53,0.0252,0.34,0.41,0.54,-0.0081,0.0231,0,0.0231,x,,,
k-,3.87,0.03966,0.33,0.42,0.53,-0.1027,0.0282,0,0.0282,x,,,
k-,6.13,0.06254,0.33,0.41,0.53,0.0079,0.0357,0,0.0357,x,,,
k-,9.68,0.09993,0.32,0.41,0.53,0.0184,0.0464,0,0.0464,x,,,
k-,15.8,0.1599,0.33,0.4,0.54,-0.0004,0.0719,0,0.0719,x,,,
k-,31.4,0.2852,0.36,0.37,0.54,0.0473,0.1281,0,0.1281,x,,,
k-,3.27,0.032,0.39,0.38,0.154,-0.0292,0.0331,0,0.0331,phT,,,
k-,3.27,0.032,0.4,0.37,0.2516,-0.0063,0.0276,0,0.0276,phT,,,
k-,3.29,0.031,0.4,0.37,0.3501,-0.0343,0.0272,0,0.0272,phT,,,
k-,3.34,0.032,0.4,0.37,0.4491,0.0132,0.0275,0,0.0275,phT,,,
k-,3.35,0.032,0.4,0.38,0.5485,0.0287,0.0294,0,0.0294,phT,,,
k-,3.3,0.031,0.41,0.38,0.6699,-0.0302,0.0269,0,0.0269,phT,,,
k-,3.3,0.031,0.41,0.39,0.8183,-0.0254,0.0333,0,0.0333,phT,,,
k-,3.34,0.03,0.42,0.4,1.052,-0.0827,0.0322,0,0.0322,phT,,,
k-,3.5,0.028,0.47,0.41,1.57,-0.1345,0.0577,0,0.0577,phT,,,
