Siv_mod,Dependence,x1,x2,xF,QT,QM,Siv,stat,sys,tot_err,COMPASS,DY,2017
sin_phiS,x1,0.1,0.61,0.5,1.22,4.8,-0.029,0.104,0,0.126,Overall_Uncert,1,
sin_phiS,x1,0.16,0.47,0.31,1.25,5.26,0.136,0.099,0,0.12,,x1_is_xN,
sin_phiS,x1,0.25,0.4,0.15,1.23,5.98,0.055,0.096,0,0.117,,x2_is_xPi,
sin_phiS,x2,0.21,0.31,0.1,1.36,4.99,-0.064,0.097,0,0.118,,Q_is_M_mumu,
sin_phiS,x2,0.16,0.48,0.31,1.23,5.35,0.042,0.098,0,0.12,,,
sin_phiS,x2,0.13,0.69,0.56,1.12,5.68,0.192,0.102,0,0.124,,,
sin_phiS,xF,0.23,0.32,0.09,1.33,5.26,-0.076,0.098,0,0.12,,,
sin_phiS,xF,0.16,0.47,0.31,1.26,5.33,0.145,0.098,0,0.12,,,
sin_phiS,xF,0.12,0.68,0.56,1.13,5.43,0.102,0.101,0,0.123,,,
sin_phiS,QT,0.17,0.52,0.35,0.66,5.32,0.085,0.098,0,0.12,,,
sin_phiS,QT,0.17,0.5,0.33,1.13,5.33,0.127,0.102,0,0.124,,,
sin_phiS,QT,0.17,0.46,0.29,1.97,5.37,-0.018,0.097,0,0.118,,,
sin_phiS,QM,0.13,0.44,0.31,1.23,4.51,0.032,0.1,0,0.122,,,
sin_phiS,QM,0.16,0.48,0.32,1.23,5.08,-0.121,0.102,0,0.125,,,
sin_phiS,QM,0.22,0.56,0.34,1.25,6.43,0.228,0.095,0,0.116,,,
