hadron,Q2,y,phT,x,z,Siv,stat,sys,tot_err,1D_dependence,COMPASS,p,2015
pi+,1.24,0.65,0.54,0.0065,0.285,0.0074,0.0117,0,0.0117,x,Overall_Uncert,,
pi+,1.47,0.47,0.52,0.0106,0.321,0.0095,0.0074,0,0.0074,x,,,
pi+,1.72,0.36,0.51,0.0164,0.347,0.0119,0.0061,0,0.0061,x,,,
pi+,2.05,0.27,0.49,0.0257,0.363,0.0171,0.0053,0,0.0053,x,,,
pi+,2.71,0.23,0.48,0.0399,0.37,0.0262,0.0055,0,0.0055,x,,,
pi+,4.22,0.23,0.48,0.0628,0.367,0.0332,0.0063,0,0.0063,x,,,
pi+,6.68,0.22,0.48,0.1009,0.365,0.0246,0.0075,0,0.0075,x,,,
pi+,10.54,0.22,0.48,0.1621,0.362,0.0363,0.0096,0,0.0096,x,,,
pi+,21.02,0.24,0.52,0.2881,0.361,0.0308,0.0126,0,0.0126,x,,,
pi+,3.75,0.33,0.45,0.0467,0.223,0.0213,0.0044,0,0.0044,z,,,
pi+,3.75,0.32,0.47,0.0483,0.274,0.0172,0.0053,0,0.0053,z,,,
pi+,3.72,0.31,0.5,0.0498,0.324,0.0149,0.0063,0,0.0063,z,,,
pi+,3.68,0.29,0.52,0.0511,0.374,0.0123,0.0074,0,0.0074,z,,,
pi+,3.58,0.27,0.54,0.0527,0.445,0.0261,0.0067,0,0.0067,z,,,
pi+,3.4,0.24,0.57,0.0545,0.565,0.0289,0.0077,0,0.0077,z,,,
pi+,3.1,0.21,0.56,0.0548,0.716,0.0444,0.0113,0,0.0113,z,,,
pi+,2.71,0.19,0.47,0.0527,0.878,0.02,0.0152,0,0.0152,z,,,
pi+,3.57,0.28,0.15,0.052,0.346,0.0079,0.0072,0,0.0072,phT,,,
pi+,3.52,0.28,0.25,0.051,0.344,0.02,0.006,0,0.006,phT,,,
pi+,3.48,0.29,0.35,0.0497,0.344,0.0074,0.0056,0,0.0056,phT,,,
pi+,3.55,0.3,0.45,0.0495,0.344,0.0269,0.0059,0,0.0059,phT,,,
pi+,3.62,0.3,0.55,0.0493,0.35,0.0301,0.0066,0,0.0066,phT,,,
pi+,3.71,0.31,0.67,0.0489,0.363,0.0269,0.0066,0,0.0066,phT,,,
pi+,3.84,0.32,0.82,0.0487,0.382,0.0266,0.0087,0,0.0087,phT,,,
pi+,4.06,0.34,1.04,0.0486,0.404,0.0301,0.0091,0,0.0091,phT,,,
pi+,4.77,0.39,1.56,0.0492,0.415,0.0182,0.0186,0,0.0186,phT,,,
pi-,1.24,0.65,0.54,0.0064,0.285,0.0032,0.0115,0,0.0115,x,,,
pi-,1.48,0.48,0.52,0.0106,0.32,-0.0041,0.0075,0,0.0075,x,,,
pi-,1.73,0.36,0.5,0.0164,0.344,-0.0118,0.0063,0,0.0063,x,,,
pi-,2.05,0.27,0.49,0.0257,0.358,-0.0072,0.0054,0,0.0054,x,,,
pi-,2.72,0.23,0.48,0.0398,0.365,-0.0031,0.0057,0,0.0057,x,,,
pi-,4.22,0.23,0.48,0.0627,0.359,-0.0052,0.0068,0,0.0068,x,,,
pi-,6.66,0.22,0.48,0.1007,0.353,-0.0043,0.0083,0,0.0083,x,,,
pi-,10.54,0.22,0.48,0.1619,0.349,-0.0025,0.0109,0,0.0109,x,,,
pi-,20.85,0.24,0.51,0.2873,0.345,0.0453,0.0147,0,0.0147,x,,,
pi-,3.61,0.34,0.45,0.0447,0.223,0.0018,0.0045,0,0.0045,z,,,
pi-,3.58,0.33,0.48,0.0458,0.273,0.0012,0.0054,0,0.0054,z,,,
pi-,3.52,0.31,0.5,0.0468,0.323,-0.019,0.0065,0,0.0065,z,,,
pi-,3.45,0.3,0.52,0.0475,0.373,0.0042,0.0078,0,0.0078,z,,,
pi-,3.34,0.27,0.54,0.0488,0.444,-0.0068,0.0071,0,0.0071,z,,,
pi-,3.11,0.24,0.55,0.0499,0.564,-0.0198,0.0086,0,0.0086,z,,,
pi-,2.77,0.21,0.53,0.0491,0.716,0.0108,0.0127,0,0.0127,z,,,
pi-,2.43,0.19,0.43,0.0473,0.879,-0.0142,0.0168,0,0.0168,z,,,
pi-,3.38,0.28,0.15,0.0487,0.346,-0.0077,0.0075,0,0.0075,phT,,,
pi-,3.32,0.29,0.25,0.0477,0.344,0.0013,0.0062,0,0.0062,phT,,,
pi-,3.29,0.29,0.35,0.0464,0.342,-0.0129,0.0058,0,0.0058,phT,,,
pi-,3.36,0.3,0.45,0.0464,0.34,0.0014,0.0062,0,0.0062,phT,,,
pi-,3.46,0.31,0.55,0.0464,0.342,-0.0034,0.0069,0,0.0069,phT,,,
