hadron,Q2,x,y,z,phT,Siv,stat,sys,tot_err,1D_dependence,HERMES,P,2009
pi+,2.423,0.086,0.592,0.234,0.346,0.0333,0.005,0.0034,0.006046487,z,Overall_Uncert,7.3,
pi+,2.428,0.094,0.551,0.303,0.377,0.0365,0.0057,0.0052,0.007715569,z,,,
pi+,2.425,0.097,0.528,0.373,0.403,0.0348,0.0067,0.007,0.009689685,z,,,
pi+,2.418,0.099,0.514,0.447,0.429,0.0463,0.0075,0.009,0.011715375,z,,,
pi+,2.411,0.1,0.504,0.523,0.453,0.0577,0.0096,0.011,0.0146,z,,,
pi+,2.4,0.101,0.494,0.593,0.465,0.0623,0.0113,0.0128,0.01707425,z,,,
pi+,2.385,0.103,0.478,0.663,0.465,0.0803,0.0132,0.0146,0.01968248,z,,,
pi+,1.281,0.036,0.707,0.336,0.489,0.0385,0.0088,0.001,0.008856636,x,,,
pi+,1.631,0.056,0.569,0.356,0.409,0.0264,0.0071,0.0017,0.007300685,x,,,
pi+,2.017,0.076,0.513,0.367,0.372,0.0542,0.0078,0.0024,0.008160882,x,,,
pi+,2.467,0.098,0.484,0.376,0.356,0.0516,0.007,0.0033,0.007738863,x,,,
pi+,3.203,0.133,0.464,0.379,0.344,0.0361,0.0066,0.0046,0.008044874,x,,,
pi+,4.321,0.186,0.449,0.379,0.339,0.0531,0.0086,0.0064,0.010720075,x,,,
pi+,6.179,0.275,0.434,0.375,0.344,0.0546,0.0118,0.0093,0.015024314,x,,,
pi+,2.533,0.109,0.46,0.341,0.11,0.0039,0.0069,0.0054,0.008761849,phT,,,
pi+,2.53,0.106,0.49,0.35,0.211,0.0233,0.0073,0.0027,0.007783315,phT,,,
pi+,2.486,0.1,0.519,0.355,0.29,0.0334,0.0073,0.0007,0.007333485,phT,,,
pi+,2.415,0.093,0.549,0.355,0.37,0.0594,0.0073,0.0017,0.007495332,phT,,,
pi+,2.342,0.086,0.58,0.36,0.488,0.0602,0.0057,0.0049,0.007516648,phT,,,
pi+,2.303,0.08,0.616,0.388,0.669,0.063,0.0073,0.0097,0.012140016,phT,,,
