,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
0,0,0.697544029,0.603713736,-2.856325092,25.13510827,3.369821719,1.195537084
45,1,1.29812591,1.698419281,0.657151749,47.183618,5.0633231,9.92988351
90,2,2.713632966,5.397300758,-10.53767253,48.67316343,10.42273959,30.1497252
135,3,2.29749413,5.191376504,-8.426028332,56.02784588,6.764769202,16.85241407
180,4,130.7956833,315.9959356,-1845.035554,4526.466206,1016.001972,2483.912065
225,5,1.363691176,1.07739621,-0.276995944,59.01509922,4.246054629,14.95013343
270,6,1.931879562,11.78451115,-9.968872133,251.6053492,7.666777787,82.38218968
315,7,-0.328609182,5.722363323,11.17456771,44.17787012,4.287982327,3.486523717
360,8,1.388963524,1.033580566,-1.459233009,23.80245524,3.936170346,4.184221631
405,9,1.598727996,1.051294843,-3.762696597,23.43963974,3.676095624,3.818131418
450,10,-0.779688681,8.841088466,16.25262488,81.77185264,-0.208602514,21.24320571
495,11,1.710597058,1.925144528,-0.384753251,62.50497448,5.10513392,7.78766212
540,12,1.396143818,1.920701329,-4.584733389,55.03244967,4.659069972,16.01444644
585,13,1.515172883,2.455848807,0.11165969,33.69463379,3.332506891,9.510658834
630,14,1.849059662,2.450457177,-5.828923661,37.76895112,5.006375346,11.4902908
675,15,1.156532604,3.376074375,-0.440849971,37.23366082,3.504831023,9.097855884
720,16,1.073821332,0.687150232,-4.189231935,23.95818315,3.45125446,3.432990293
765,17,2.373969091,11.7100387,-5.078440291,125.3281978,11.12669064,85.31737736
810,18,1.044858516,0.974099139,-3.553085006,28.36663814,4.198156203,5.162808724
855,19,0.27185135,1.686809437,6.887279013,43.40367889,-0.339439423,19.92569547
900,20,1.074493471,1.595105075,0.686519723,21.75816509,4.56152939,3.089726596
945,21,0.748215371,12.81467663,4.299179295,168.2276985,4.846052267,24.32729857
990,22,0.226262231,2.208278362,10.22042644,40.43573277,-0.58505273,20.55472882
1035,23,1.611906252,0.590663376,-2.703161824,19.91714645,3.762809186,0.933442941
1080,24,0.332542337,1.446861417,5.943574997,36.48632077,0.092360054,17.92000695
1125,25,1.132930623,0.79007916,-0.156661992,25.17026928,3.426402588,4.251415808
1170,26,0.801839719,2.428845425,4.745981723,95.24979195,1.747349848,31.40925568
1215,27,0.60877606,0.90093045,-2.475603941,11.70178459,2.946518632,4.375538432
1260,28,0.935977847,0.410398045,-7.776890019,28.02833751,6.427615925,18.74378465
1305,29,1.780386546,4.303262956,-2.286592399,36.37213273,-4.806753717,29.95705037
1350,30,0.769148103,0.736985741,2.63090613,24.34921061,1.282828599,14.20026929
1395,31,1.540730087,1.746309704,-10.0177978,38.96589175,8.742402461,22.85461683
1440,32,1.407753438,1.627142103,-2.065979829,20.26876256,3.730098422,10.39005097
1485,33,0.495106528,0.684445031,0.443116436,10.76421193,2.190648782,5.196792094
1530,34,1.072476684,0.994957807,-2.811033732,27.00808964,4.252615496,17.4577238
1575,35,1.135761932,2.03465371,-1.014088938,15.84357085,1.279541419,6.430777397
1620,36,1.433467111,1.775762533,-9.309483671,17.40602149,4.56015298,4.801604867
1665,37,1.683224079,0.24780756,-1.082540694,37.08094999,4.521815863,5.502804144
1710,38,0.759305255,2.597412048,1.480247098,47.41038328,2.392578253,13.393781
1755,39,0.909211397,9.314148142,0.378227279,56.98947587,4.846351235,11.22781597
1800,40,1.040434666,0.858940646,-3.769368214,18.53774726,2.932655186,12.61098403
1845,41,1.287630173,8.755068139,-1.131487701,64.66254734,4.780599613,18.55544176
1890,42,1.216529217,2.288772773,-0.475188708,18.94448979,2.985239404,9.382151758
1935,43,0.441163326,0.323475615,-4.492717081,9.790797631,3.494300359,4.475715354
1980,44,1.861576875,1.555345237,-4.131557663,26.05554313,4.386589447,4.960041405
2025,45,1.340756358,2.340818891,-1.84580615,19.80411535,3.452486242,8.179022502
2070,46,1.286259875,1.026937815,-5.254846902,18.836242,5.823844354,12.37403448
2115,47,0.277973225,3.876031072,12.54581103,80.30193197,-1.123137922,26.82705561
2160,48,2.016043692,2.286050692,-7.261088316,30.66204211,6.420945715,16.63876778
2205,49,0.540872956,0.681761104,-1.040759272,9.586129194,3.133924502,3.520605161
2250,50,0.557080451,0.998253137,-0.607001731,13.66823257,2.996139076,5.557827455
2295,51,1.248794648,1.781743196,3.488501526,32.35898859,0.41160448,23.55797018
