#Set,k,QQ,x,t,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
1,2.75,1.51576,0.369204,-0.306885,0.577349,0.580915,-3.528175,24.294249,2.991006,1.16693
2,2.75,1.86729,0.527413,-0.437447,1.241015,0.864983,1.500892,22.590145,4.393632,4.661665
3,2.75,1.18899,0.580204,-0.479462,0.261227,6.012,11.749051,54.480871,-5.153826,33.969235
4,2.75,1.44409,0.463857,-0.483145,1.371328,4.031868,1.396357,43.379869,3.542527,12.969677
6,2.75,1.81202,0.384596,-0.443662,1.147567,0.931304,3.210714,56.014944,4.159768,13.656924
8,2.75,1.11798,0.283371,-0.498293,1.006706,4.792675,-0.28869,37.005021,4.49101,2.995501
9,2.75,1.78384,0.492262,-0.461759,1.595755,0.976838,-6.688542,20.94172,4.564049,3.767069
10,2.75,1.66447,0.452008,-0.422538,1.62432,0.801436,-4.496722,18.253027,3.220692,3.118739
11,2.75,1.19147,0.393982,-0.440906,0.213381,8.087494,6.462642,74.633327,2.013536,19.376734
12,2.75,2.03965,0.547977,-0.449074,1.660288,0.912663,-0.204082,28.489672,4.334111,3.589118
13,2.75,1.68691,0.503554,-0.383757,1.292051,1.020521,-1.362914,27.91359,3.340798,8.149092
14,2.75,1.5548,0.47467,-0.469742,2.032638,2.23905,-7.557214,30.136145,4.914934,8.487084
15,2.75,1.60539,0.494002,-0.454349,1.819812,1.616569,-6.474206,24.806428,4.982961,7.503076
16,2.75,1.37086,0.416852,-0.455687,1.652797,2.739513,-6.15537,30.493405,4.581718,7.412002
17,2.75,1.62828,0.433084,-0.354941,0.927421,0.684947,2.39739,23.861166,2.234859,3.39863
18,2.75,1.34921,0.609671,-0.496856,1.891268,9.509868,0.136654,101.793487,6.80546,69.558709
19,2.75,1.66558,0.457363,-0.385021,0.957697,0.780699,-2.038074,21.399175,3.39763,3.902145
20,2.75,1.01484,0.410423,-0.232699,0.501487,0.637374,0.24465,16.521457,2.390615,7.461154
21,2.75,1.5488,0.416308,-0.488016,1.017488,1.561879,1.16142,21.35123,4.171321,3.161912
22,2.75,1.51544,0.313819,-0.448103,0.026652,9.561257,6.692172,126.359035,2.983478,19.077172
