#Set,point,k,QQ,x_b,t,phi,F,F_var(%),ReH_true,ReH_var(%),ReE_true,ReE_var(%),ReHtilde_true,ReHtilde_var(%)
0,0,3.75,1.74013,0.435095,-0.380868,0,0.0593864,4.98965,13.0554,0.434747,-53.0554,0.555682,7.25302,13.5333
0,1,3.75,1.74013,0.435095,-0.380868,10,0.0608562,4.98965,13.0554,0.470963,-53.0554,0.600034,7.25302,14.7697
0,2,3.75,1.74013,0.435095,-0.380868,20,0.0641354,4.98965,13.0554,0.582729,-53.0554,0.735477,7.25302,18.7107
0,3,3.75,1.74013,0.435095,-0.380868,30,0.0668902,4.98965,13.0554,0.780913,-53.0554,0.971133,7.25302,26.2068
0,4,3.75,1.74013,0.435095,-0.380868,40,0.0673802,4.98965,13.0554,1.0902,-53.0554,1.33046,7.25302,39.3951
0,5,3.75,1.74013,0.435095,-0.380868,50,0.0652025,4.98965,13.0554,1.56661,-53.0554,1.87221,7.25302,63.9111
0,6,3.75,1.74013,0.435095,-0.380868,60,0.06098,4.98965,13.0554,2.35274,-53.0554,2.75384,7.25302,117.63
0,7,3.75,1.74013,0.435095,-0.380868,70,0.055773,4.98965,13.0554,3.90072,-53.0554,4.48331,7.25302,281.047
0,8,3.75,1.74013,0.435095,-0.380868,80,0.0506408,4.98965,13.0554,8.53533,-53.0554,9.66933,7.25302,1412.14
0,9,3.75,1.74013,0.435095,-0.380868,90,0.0464122,4.98965,13.0554,100,-53.0554,100,7.25302,1412.14
0,10,3.75,1.74013,0.435095,-0.380868,100,0.0435993,4.98965,13.0554,10.2886,-53.0554,11.8237,7.25302,434.575
0,11,3.75,1.74013,0.435095,-0.380868,110,0.0423919,4.98965,13.0554,5.83872,-53.0554,6.79597,7.25302,155.014
0,12,3.75,1.74013,0.435095,-0.380868,120,0.0426973,4.98965,13.0554,4.51775,-53.0554,5.38357,7.25302,84.1368
0,13,3.75,1.74013,0.435095,-0.380868,130,0.0442027,4.98965,13.0554,3.99774,-53.0554,4.91152,7.25302,57.0611
0,14,3.75,1.74013,0.435095,-0.380868,140,0.0464516,4.98965,13.0554,3.7959,-53.0554,4.82389,7.25302,44.4026
0,15,3.75,1.74013,0.435095,-0.380868,150,0.0489247,4.98965,13.0554,3.7377,-53.0554,4.90854,7.25302,37.8218
0,16,3.75,1.74013,0.435095,-0.380868,160,0.0511191,4.98965,13.0554,3.73954,-53.0554,5.04793,7.25302,34.2795
0,17,3.75,1.74013,0.435095,-0.380868,170,0.0526189,4.98965,13.0554,3.75616,-53.0554,5.16403,7.25302,32.5065
0,18,3.75,1.74013,0.435095,-0.380868,180,0.0531505,4.98965,13.0554,3.76414,-53.0554,5.20833,7.25302,31.9657
0,19,3.75,1.74013,0.435095,-0.380868,190,0.0526189,4.98965,13.0554,3.75616,-53.0554,5.16403,7.25302,32.5065
0,20,3.75,1.74013,0.435095,-0.380868,200,0.0511191,4.98965,13.0554,3.73954,-53.0554,5.04793,7.25302,34.2795
0,21,3.75,1.74013,0.435095,-0.380868,210,0.0489247,4.98965,13.0554,3.7377,-53.0554,4.90854,7.25302,37.8218
0,22,3.75,1.74013,0.435095,-0.380868,220,0.0464516,4.98965,13.0554,3.7959,-53.0554,4.82389,7.25302,44.4026
0,23,3.75,1.74013,0.435095,-0.380868,230,0.0442027,4.98965,13.0554,3.99774,-53.0554,4.91152,7.25302,57.0611
0,24,3.75,1.74013,0.435095,-0.380868,240,0.0426973,4.98965,13.0554,4.51775,-53.0554,5.38357,7.25302,84.1368
0,25,3.75,1.74013,0.435095,-0.380868,250,0.0423919,4.98965,13.0554,5.83872,-53.0554,6.79597,7.25302,155.014
0,26,3.75,1.74013,0.435095,-0.380868,260,0.0435993,4.98965,13.0554,10.2886,-53.0554,11.8237,7.25302,434.575
0,27,3.75,1.74013,0.435095,-0.380868,270,0.0464122,4.98965,13.0554,100,-53.0554,100,7.25302,434.575
0,28,3.75,1.74013,0.435095,-0.380868,280,0.0506408,4.98965,13.0554,8.53533,-53.0554,9.66933,7.25302,1412.14
0,29,3.75,1.74013,0.435095,-0.380868,290,0.055773,4.98965,13.0554,3.90072,-53.0554,4.48331,7.25302,281.047
0,30,3.75,1.74013,0.435095,-0.380868,300,0.06098,4.98965,13.0554,2.35274,-53.0554,2.75384,7.25302,117.63
0,31,3.75,1.74013,0.435095,-0.380868,310,0.0652025,4.98965,13.0554,1.56661,-53.0554,1.87221,7.25302,63.9111
0,32,3.75,1.74013,0.435095,-0.380868,320,0.0673802,4.98965,13.0554,1.0902,-53.0554,1.33046,7.25302,39.3951
0,33,3.75,1.74013,0.435095,-0.380868,330,0.0668902,4.98965,13.0554,0.780913,-53.0554,0.971133,7.25302,26.2068
0,34,3.75,1.74013,0.435095,-0.380868,340,0.0641354,4.98965,13.0554,0.582729,-53.0554,0.735477,7.25302,18.7107
0,35,3.75,1.74013,0.435095,-0.380868,350,0.0608562,4.98965,13.0554,0.470963,-53.0554,0.600034,7.25302,14.7697
1,0,3.75,2.03646,0.415563,-0.373495,0,0.230077,4.51942,12.5549,1.92519,-52.5549,2.3711,6.97494,32.5549
1,1,3.75,2.03646,0.415563,-0.373495,10,0.221719,4.90454,12.5549,1.97248,-52.5549,2.42282,6.97494,33.8242
1,2,3.75,2.03646,0.415563,-0.373495,20,0.197909,4.99118,12.5549,2.11906,-52.5549,2.58287,6.97494,37.953
1,3,3.75,2.03646,0.415563,-0.373495,30,0.168386,4.99118,12.5549,2.38157,-52.5549,2.86918,6.97494,46.1204
1,4,3.75,2.03646,0.415563,-0.373495,40,0.13999,4.99118,12.5549,2.79864,-52.5549,3.32504,6.97494,61.2988
1,5,3.75,2.03646,0.415563,-0.373495,50,0.115651,4.99118,12.5549,3.45895,-52.5549,4.05231,6.97494,91.4445
1,6,3.75,2.03646,0.415563,-0.373495,60,0.0959951,4.99118,12.5549,4.58731,-52.5549,5.31102,6.97494,162.877
1,7,3.75,2.03646,0.415563,-0.373495,70,0.0807621,4.99118,12.5549,6.88887,-52.5549,7.91426,6.97494,407.163
1,8,3.75,2.03646,0.415563,-0.373495,80,0.0694735,4.99118,12.5549,13.9594,-52.5549,15.8916,6.97494,5147.97
1,9,3.75,2.03646,0.415563,-0.373495,90,0.0616397,4.99118,12.5549,100,-52.5549,100,6.97494,5147.97
1,10,3.75,2.03646,0.415563,-0.373495,100,0.0567813,4.99118,12.5549,15.0054,-52.5549,17.7823,6.97494,436.203
1,11,3.75,2.03646,0.415563,-0.373495,110,0.0544047,4.99118,12.5549,8.14292,-52.5549,9.9294,6.97494,167.598
1,12,3.75,2.03646,0.415563,-0.373495,120,0.0539838,4.99118,12.5549,6.03192,-52.5549,7.56527,6.97494,94.6473
1,13,3.75,2.03646,0.415563,-0.373495,130,0.0549604,4.99118,12.5549,5.11709,-52.5549,6.62653,6.97494,65.5423
1,14,3.75,2.03646,0.415563,-0.373495,140,0.0567645,4.99118,12.5549,4.67434,-52.5549,6.25241,6.97494,51.4982
1,15,3.75,2.03646,0.415563,-0.373495,150,0.058848,4.99118,12.5549,4.45506,-52.5549,6.13747,6.97494,44.0173
1,16,3.75,2.03646,0.415563,-0.373495,160,0.0607256,4.99118,12.5549,4.34959,-52.5549,6.13518,6.97494,39.9158
1,17,3.75,2.03646,0.415563,-0.373495,170,0.0620156,4.99118,12.5549,4.30358,-52.5549,6.16344,6.97494,37.8372
1,18,3.75,2.03646,0.415563,-0.373495,180,0.0624735,4.99118,12.5549,4.29087,-52.5549,6.17766,6.97494,37.1991
1,19,3.75,2.03646,0.415563,-0.373495,190,0.0620156,4.99118,12.5549,4.30358,-52.5549,6.16344,6.97494,37.8372
1,20,3.75,2.03646,0.415563,-0.373495,200,0.0607256,4.99118,12.5549,4.34959,-52.5549,6.13518,6.97494,39.9158
1,21,3.75,2.03646,0.415563,-0.373495,210,0.058848,4.99118,12.5549,4.45506,-52.5549,6.13747,6.97494,44.0173
1,22,3.75,2.03646,0.415563,-0.373495,220,0.0567645,4.99118,12.5549,4.67434,-52.5549,6.25241,6.97494,51.4982
1,23,3.75,2.03646,0.415563,-0.373495,230,0.0549604,4.99118,12.5549,5.11709,-52.5549,6.62653,6.97494,65.5423
1,24,3.75,2.03646,0.415563,-0.373495,240,0.0539838,4.99118,12.5549,6.03192,-52.5549,7.56527,6.97494,94.6473
1,25,3.75,2.03646,0.415563,-0.373495,250,0.0544047,4.99118,12.5549,8.14292,-52.5549,9.9294,6.97494,167.598
1,26,3.75,2.03646,0.415563,-0.373495,260,0.0567813,4.99118,12.5549,15.0054,-52.5549,17.7823,6.97494,436.203
1,27,3.75,2.03646,0.415563,-0.373495,270,0.0616397,4.99118,12.5549,100,-52.5549,100,6.97494,436.203
1,28,3.75,2.03646,0.415563,-0.373495,280,0.0694735,4.99118,12.5549,13.9594,-52.5549,15.8916,6.97494,5147.97
1,29,3.75,2.03646,0.415563,-0.373495,290,0.0807621,4.99118,12.5549,6.88887,-52.5549,7.91426,6.97494,407.163
1,30,3.75,2.03646,0.415563,-0.373495,300,0.0959951,4.99118,12.5549,4.58731,-52.5549,5.31102,6.97494,162.877
1,31,3.75,2.03646,0.415563,-0.373495,310,0.115651,4.99118,12.5549,3.45895,-52.5549,4.05231,6.97494,91.4445
1,32,3.75,2.03646,0.415563,-0.373495,320,0.13999,4.99118,12.5549,2.79864,-52.5549,3.32504,6.97494,61.2988
1,33,3.75,2.03646,0.415563,-0.373495,330,0.168386,4.99118,12.5549,2.38157,-52.5549,2.86918,6.97494,46.1204
1,34,3.75,2.03646,0.415563,-0.373495,340,0.197909,4.99118,12.5549,2.11906,-52.5549,2.58287,6.97494,37.953
1,35,3.75,2.03646,0.415563,-0.373495,350,0.221719,4.90454,12.5549,1.97248,-52.5549,2.42282,6.97494,33.8242
2,0,4.75,2.17955,0.385579,-0.283318,0,0.189655,4.99121,7.22424,4.3741,-47.2242,3.86592,4.01347,110.162
2,1,4.75,2.17955,0.385579,-0.283318,10,0.185214,4.99121,7.22424,4.44475,-47.2242,3.91869,4.01347,113.039
2,2,4.75,2.17955,0.385579,-0.283318,20,0.172904,4.99121,7.22424,4.66447,-47.2242,4.08318,4.01347,122.309
2,3,4.75,2.17955,0.385579,-0.283318,30,0.155232,4.99121,7.22424,5.06037,-47.2242,4.38109,4.01347,140.254
