#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
1,0,2.75,1.51576,0.369204,-0.306885,8,4.19397,0.209699,0.05,0.542867,0.798677
1,1,2.75,1.51576,0.369204,-0.306885,16,2.9509,0.147545,0.05,0.542867,0.798677
1,2,2.75,1.51576,0.369204,-0.306885,24,1.86568,0.0932839,0.05,0.542867,0.798677
1,3,2.75,1.51576,0.369204,-0.306885,32,1.139,0.05695,0.05,0.542867,0.798677
1,4,2.75,1.51576,0.369204,-0.306885,40,0.871079,0.0435539,0.05,0.542867,0.798677
1,5,2.75,1.51576,0.369204,-0.306885,48,0.64075,0.0320375,0.05,0.542867,0.798677
1,6,2.75,1.51576,0.369204,-0.306885,56,0.474527,0.0237263,0.05,0.542867,0.798677
1,7,2.75,1.51576,0.369204,-0.306885,64,0.391808,0.0195904,0.05,0.542867,0.798677
1,8,2.75,1.51576,0.369204,-0.306885,72,0.293337,0.0146668,0.05,0.542867,0.798677
1,9,2.75,1.51576,0.369204,-0.306885,80,0.256715,0.0128357,0.05,0.542867,0.798677
1,10,2.75,1.51576,0.369204,-0.306885,88,0.204206,0.0102103,0.05,0.542867,0.798677
1,11,2.75,1.51576,0.369204,-0.306885,96,0.182541,0.00912705,0.05,0.542867,0.798677
1,12,2.75,1.51576,0.369204,-0.306885,104,0.160291,0.00801457,0.05,0.542867,0.798677
1,13,2.75,1.51576,0.369204,-0.306885,112,0.130988,0.00654942,0.05,0.542867,0.798677
1,14,2.75,1.51576,0.369204,-0.306885,120,0.13458,0.00672899,0.05,0.542867,0.798677
1,15,2.75,1.51576,0.369204,-0.306885,128,0.114819,0.00574094,0.05,0.542867,0.798677
1,16,2.75,1.51576,0.369204,-0.306885,136,0.10708,0.00535401,0.05,0.542867,0.798677
1,17,2.75,1.51576,0.369204,-0.306885,144,0.101558,0.00507788,0.05,0.542867,0.798677
1,18,2.75,1.51576,0.369204,-0.306885,152,0.0939396,0.00469698,0.05,0.542867,0.798677
1,19,2.75,1.51576,0.369204,-0.306885,160,0.0919023,0.00459512,0.05,0.542867,0.798677
1,20,2.75,1.51576,0.369204,-0.306885,168,0.0942419,0.00471209,0.05,0.542867,0.798677
1,21,2.75,1.51576,0.369204,-0.306885,176,0.0933304,0.00466652,0.05,0.542867,0.798677
1,22,2.75,1.51576,0.369204,-0.306885,184,0.0908497,0.00454248,0.05,0.542867,0.798677
1,23,2.75,1.51576,0.369204,-0.306885,192,0.0860714,0.00430357,0.05,0.542867,0.798677
1,24,2.75,1.51576,0.369204,-0.306885,200,0.102205,0.00511025,0.05,0.542867,0.798677
1,25,2.75,1.51576,0.369204,-0.306885,208,0.105005,0.00525027,0.05,0.542867,0.798677
1,26,2.75,1.51576,0.369204,-0.306885,216,0.0960897,0.00480449,0.05,0.542867,0.798677
1,27,2.75,1.51576,0.369204,-0.306885,224,0.105889,0.00529445,0.05,0.542867,0.798677
1,28,2.75,1.51576,0.369204,-0.306885,232,0.118959,0.00594793,0.05,0.542867,0.798677
1,29,2.75,1.51576,0.369204,-0.306885,240,0.119264,0.00596321,0.05,0.542867,0.798677
1,30,2.75,1.51576,0.369204,-0.306885,248,0.131332,0.00656659,0.05,0.542867,0.798677
1,31,2.75,1.51576,0.369204,-0.306885,256,0.154156,0.0077078,0.05,0.542867,0.798677
1,32,2.75,1.51576,0.369204,-0.306885,264,0.176926,0.00884632,0.05,0.542867,0.798677
1,33,2.75,1.51576,0.369204,-0.306885,272,0.201732,0.0100866,0.05,0.542867,0.798677
1,34,2.75,1.51576,0.369204,-0.306885,280,0.244551,0.0122275,0.05,0.542867,0.798677
1,35,2.75,1.51576,0.369204,-0.306885,288,0.313552,0.0156776,0.05,0.542867,0.798677
