,#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,Formalism
0,1.0,0.0,5.8,1.82,0.34,-0.17,4.0,0.16450634016653207,0.008070012973890255,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1,1.0,1.0,5.8,1.82,0.34,-0.17,12.0,0.15124553376518546,0.00795433148556037,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
2,1.0,2.0,5.8,1.82,0.34,-0.17,20.0,0.1577943617000815,0.007732542548490357,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
3,1.0,3.0,5.8,1.82,0.34,-0.17,28.0,0.16066782979330302,0.00742205243503756,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
4,1.0,4.0,5.8,1.82,0.34,-0.17,36.0,0.13406770279069005,0.007045164468021749,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
5,1.0,5.0,5.8,1.82,0.34,-0.17,44.0,0.12413285023189305,0.0066257881234758126,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
6,1.0,6.0,5.8,1.82,0.34,-0.17,52.0,0.11472940647785503,0.00618656887385632,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
7,1.0,7.0,5.8,1.82,0.34,-0.17,60.0,0.11368607290241034,0.0057469082917949105,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
8,1.0,8.0,5.8,1.82,0.34,-0.17,68.0,0.1082784015607973,0.00532198303902395,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
9,1.0,9.0,5.8,1.82,0.34,-0.17,76.0,0.09938484320041469,0.004922605864922883,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
10,1.0,10.0,5.8,1.82,0.34,-0.17,84.0,0.08741536734983191,0.004555652477270039,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
