,#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,Formalism
0,1.0,0.0,4.800000000000001,1.82,0.34,-0.17,4.0,0.24928502170964423,0.012461183374812605,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1,1.0,1.0,4.800000000000001,1.82,0.34,-0.17,12.0,0.27276949814345675,0.012257642457747703,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
2,1.0,2.0,4.800000000000001,1.82,0.34,-0.17,20.0,0.22632828329218366,0.01186901854600489,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
3,1.0,3.0,4.800000000000001,1.82,0.34,-0.17,28.0,0.23496156246829486,0.011328481094135033,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
4,1.0,4.0,4.800000000000001,1.82,0.34,-0.17,36.0,0.19895226465309607,0.01067774244674392,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
5,1.0,5.0,4.800000000000001,1.82,0.34,-0.17,44.0,0.2128018782972674,0.009960412544068075,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
6,1.0,6.0,4.800000000000001,1.82,0.34,-0.17,52.0,0.20403646150000052,0.009216548142919742,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
7,1.0,7.0,4.800000000000001,1.82,0.34,-0.17,60.0,0.165233985543967,0.008479250656832513,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
8,1.0,8.0,4.800000000000001,1.82,0.34,-0.17,68.0,0.1548883907949259,0.007773332874245902,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
9,1.0,9.0,4.800000000000001,1.82,0.34,-0.17,76.0,0.14412024239992283,0.007115558025558588,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
10,1.0,10.0,4.800000000000001,1.82,0.34,-0.17,84.0,0.13508777445613318,0.006515803035237442,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
11,1.0,11.0,4.800000000000001,1.82,0.34,-0.17,92.0,0.11590763373822648,0.0059785883757069724,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
12,1.0,12.0,4.800000000000001,1.82,0.34,-0.17,100.0,0.10776077076485435,0.005504600313474586,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
13,1.0,13.0,4.800000000000001,1.82,0.34,-0.17,108.0,0.10244300017800012,0.005092007555977992,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
14,1.0,14.0,4.800000000000001,1.82,0.34,-0.17,116.0,0.08417609347930277,0.004737501851065147,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
15,1.0,15.0,4.800000000000001,1.82,0.34,-0.17,124.0,0.09395295208082127,0.004437067388301194,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
16,1.0,16.0,4.800000000000001,1.82,0.34,-0.17,132.0,0.08798404363977012,0.004186519335518545,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
17,1.0,17.0,4.800000000000001,1.82,0.34,-0.17,140.0,0.06981657542865763,0.003981862438579547,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
18,1.0,18.0,4.800000000000001,1.82,0.34,-0.17,148.0,0.07460533389447213,0.0038195181180434787,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
19,1.0,19.0,4.800000000000001,1.82,0.34,-0.17,156.0,0.07383061080611797,0.0036964605370913128,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
20,1.0,20.0,4.800000000000001,1.82,0.34,-0.17,164.0,0.07275887150108724,0.003610292917291335,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
21,1.0,21.0,4.800000000000001,1.82,0.34,-0.17,172.0,0.0696114370924797,0.0035592869196831678,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
22,1.0,22.0,4.800000000000001,1.82,0.34,-0.17,180.0,0.07735423238692325,0.0035424008628424904,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
23,1.0,23.0,4.800000000000001,1.82,0.34,-0.17,188.0,0.07153312829999746,0.0035592869196831678,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
24,1.0,24.0,4.800000000000001,1.82,0.34,-0.17,196.0,0.06886338725088939,0.003610292917291335,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
25,1.0,25.0,4.800000000000001,1.82,0.34,-0.17,204.0,0.07887962222267283,0.0036964605370913128,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
26,1.0,26.0,4.800000000000001,1.82,0.34,-0.17,212.0,0.0785009391793191,0.0038195181180434787,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
27,1.0,27.0,4.800000000000001,1.82,0.34,-0.17,220.0,0.07378153456566425,0.003981862438579547,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
28,1.0,28.0,4.800000000000001,1.82,0.34,-0.17,228.0,0.08336711643612188,0.004186519335518545,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
