,#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,Formalism
0,1.0,0.0,5.8,1.82,0.34,-0.17,4.0,0.17309895668454597,0.008070012973890255,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
1,1.0,1.0,5.8,1.82,0.34,-0.17,12.0,0.15406501568036363,0.00795433148556037,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
2,1.0,2.0,5.8,1.82,0.34,-0.17,20.0,0.1570299959193432,0.007732542548490357,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
3,1.0,3.0,5.8,1.82,0.34,-0.17,28.0,0.146791894415195,0.00742205243503756,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
4,1.0,4.0,5.8,1.82,0.34,-0.17,36.0,0.14557694786286507,0.007045164468021749,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
5,1.0,5.0,5.8,1.82,0.34,-0.17,44.0,0.14167854042393357,0.0066257881234758126,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
6,1.0,6.0,5.8,1.82,0.34,-0.17,52.0,0.12483272472619511,0.00618656887385632,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
7,1.0,7.0,5.8,1.82,0.34,-0.17,60.0,0.10502717685090741,0.0057469082917949105,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
8,1.0,8.0,5.8,1.82,0.34,-0.17,68.0,0.11226380938815889,0.00532198303902395,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
9,1.0,9.0,5.8,1.82,0.34,-0.17,76.0,0.09567556223852178,0.004922605864922883,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
10,1.0,10.0,5.8,1.82,0.34,-0.17,84.0,0.09506896132019832,0.004555652477270039,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
11,1.0,11.0,5.8,1.82,0.34,-0.17,92.0,0.08079333322007207,0.004224778289765782,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
12,1.0,12.0,5.8,1.82,0.34,-0.17,100.0,0.08146014824755976,0.003931212974792786,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
13,1.0,13.0,5.8,1.82,0.34,-0.17,108.0,0.07629595989578114,0.0036745003903546833,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
14,1.0,14.0,5.8,1.82,0.34,-0.17,116.0,0.06234577470528806,0.0034531193327844117,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
15,1.0,15.0,5.8,1.82,0.34,-0.17,124.0,0.068386637173365,0.00326496731885767,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
16,1.0,16.0,5.8,1.82,0.34,-0.17,132.0,0.06506383154088509,0.003107716418921515,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
17,1.0,17.0,5.8,1.82,0.34,-0.17,140.0,0.05826816179841093,0.0029790623074092758,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
18,1.0,18.0,5.8,1.82,0.34,-0.17,148.0,0.05347974680962435,0.002876890713513922,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
19,1.0,19.0,5.8,1.82,0.34,-0.17,156.0,0.053462949967530635,0.0027993836408011855,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
20,1.0,20.0,5.8,1.82,0.34,-0.17,164.0,0.058409446993368926,0.0027450838804541095,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
21,1.0,21.0,5.8,1.82,0.34,-0.17,172.0,0.05353716095491629,0.0027129320482215157,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
22,1.0,22.0,5.8,1.82,0.34,-0.17,180.0,0.05407069536264216,0.0027022863777857106,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
23,1.0,23.0,5.8,1.82,0.34,-0.17,188.0,0.05084048830074127,0.0027129320482215157,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,BKM10
