#Set,index,k,QQ,x_b,t,phi_x,F,errF,varF,F1,F2,gReH,gReE,gReHTilde,ReH,e_ReH,ReE,e_ReE,ReHtilde,e_ReHtilde,gdvcs,dvcs,e_dvcs
1,0,2.75,1.20485,0.571359,-0.537906,8,0.607496,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,1,2.75,1.20485,0.571359,-0.537906,16,0.542289,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,2,2.75,1.20485,0.571359,-0.537906,24,0.456229,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,3,2.75,1.20485,0.571359,-0.537906,32,0.368314,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,4,2.75,1.20485,0.571359,-0.537906,40,0.290248,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,5,2.75,1.20485,0.571359,-0.537906,48,0.22651,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,6,2.75,1.20485,0.571359,-0.537906,56,0.177088,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,7,2.75,1.20485,0.571359,-0.537906,64,0.139983,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,8,2.75,1.20485,0.571359,-0.537906,72,0.112689,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,9,2.75,1.20485,0.571359,-0.537906,80,0.0928789,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,10,2.75,1.20485,0.571359,-0.537906,88,0.0786326,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,11,2.75,1.20485,0.571359,-0.537906,96,0.0684596,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,12,2.75,1.20485,0.571359,-0.537906,104,0.0612393,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,13,2.75,1.20485,0.571359,-0.537906,112,0.0561459,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,14,2.75,1.20485,0.571359,-0.537906,120,0.052577,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,15,2.75,1.20485,0.571359,-0.537906,128,0.0500964,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,16,2.75,1.20485,0.571359,-0.537906,136,0.0483898,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,17,2.75,1.20485,0.571359,-0.537906,144,0.0472317,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,18,2.75,1.20485,0.571359,-0.537906,152,0.0464623,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,19,2.75,1.20485,0.571359,-0.537906,160,0.0459699,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,20,2.75,1.20485,0.571359,-0.537906,168,0.0456796,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,21,2.75,1.20485,0.571359,-0.537906,176,0.0455454,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,22,2.75,1.20485,0.571359,-0.537906,184,0.0455454,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,23,2.75,1.20485,0.571359,-0.537906,192,0.0456796,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,24,2.75,1.20485,0.571359,-0.537906,200,0.0459699,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,25,2.75,1.20485,0.571359,-0.537906,208,0.0464623,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,26,2.75,1.20485,0.571359,-0.537906,216,0.0472317,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,27,2.75,1.20485,0.571359,-0.537906,224,0.0483898,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,28,2.75,1.20485,0.571359,-0.537906,232,0.0500964,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,29,2.75,1.20485,0.571359,-0.537906,240,0.052577,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,30,2.75,1.20485,0.571359,-0.537906,248,0.0561459,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,31,2.75,1.20485,0.571359,-0.537906,256,0.0612393,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,32,2.75,1.20485,0.571359,-0.537906,264,0.0684596,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,33,2.75,1.20485,0.571359,-0.537906,272,0.0786326,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,34,2.75,1.20485,0.571359,-0.537906,280,0.0928789,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,35,2.75,1.20485,0.571359,-0.537906,288,0.112689,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,36,2.75,1.20485,0.571359,-0.537906,296,0.139983,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,37,2.75,1.20485,0.571359,-0.537906,304,0.177088,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,38,2.75,1.20485,0.571359,-0.537906,312,0.22651,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,39,2.75,1.20485,0.571359,-0.537906,320,0.290248,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,40,2.75,1.20485,0.571359,-0.537906,328,0.368314,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,41,2.75,1.20485,0.571359,-0.537906,336,0.456229,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,42,2.75,1.20485,0.571359,-0.537906,344,0.542289,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,43,2.75,1.20485,0.571359,-0.537906,352,0.607496,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
1,44,2.75,1.20485,0.571359,-0.537906,360,0.632129,0,0,0.393633,0.51237,2.09962,-2.91025,5.5296,1.98852,2.42443e-12,-3.32486,9.13593e-12,5.73984,6.90195e-12,0.0906293,0.0906293,7.32016e-14
2,0,2.75,1.84791,0.552388,-0.538479,8,0.224411,0,0,0.39335,0.511863,2.06006,-2.88085,5.44738,1.97228,8.58466e-09,-3.30972,4.97605e-08,5.64452,2.25256e-08,0.0228407,0.0228407,9.03657e-11
2,1,2.75,1.84791,0.552388,-0.538479,16,0.206414,0,0,0.39335,0.511863,2.06006,-2.88085,5.44738,1.97228,8.58466e-09,-3.30972,4.97605e-08,5.64452,2.25256e-08,0.0228407,0.0228407,9.03657e-11
2,2,2.75,1.84791,0.552388,-0.538479,24,0.181456,0,0,0.39335,0.511863,2.06006,-2.88085,5.44738,1.97228,8.58466e-09,-3.30972,4.97605e-08,5.64452,2.25256e-08,0.0228407,0.0228407,9.03657e-11
