,epoch,batch,rms
0,5700,31,0.021075848711013805
20,8000,31,0.015453191243033933
40,10400,21,0.001248928682117462
60,9800,11,0.0015665820018651755
80,2200,11,0.00025812240953561994
100,9800,21,0.00022439623420405393
120,9200,1,0.0004282140077085758
140,11200,31,0.005826888096321957
160,1500,21,0.00017764512574696542
180,2200,6,0.00010300644837321174
200,4000,26,0.0017114626986747322
220,2700,16,0.00016989540977488618
240,5000,1,3.672701035204529e-05
260,4900,16,0.00019812848718436557
280,5900,36,0.0008442701538875373
300,7800,31,4.371284111457798e-05
320,2500,11,8.820455546607571e-05
340,13900,6,6.38239712365793e-05
