,epoch,batch,rms
0,7800,26,0.11664120521545396
20,9200,36,0.14051340934753398
40,9500,21,0.0035406908873081185
60,8500,16,0.004878708682489394
80,5800,16,0.0008478520631170269
100,9100,41,0.0006096652512884142
120,5300,21,0.001842921595740319
140,4300,16,0.013884220680236814
160,13200,31,0.00048671416785478656
180,5200,46,0.000394143820961714
200,11900,26,0.006326273607921595
220,12400,41,0.0005637797116470333
240,11700,1,9.932950030049688e-05
260,13900,16,0.0005175942922067637
280,1600,16,0.0023731538423538284
300,4000,41,0.00011782074108612533
320,9700,6,0.00027009607969462855
340,8200,6,0.00026421356798887264
