,epoch,batch,rms
0,2700,46,0.05565224391561881
20,13400,46,0.10802834190629479
40,10400,21,0.04514942876311939
60,8900,6,0.0627474714753772
80,6700,31,0.05299106212569822
100,10700,1,0.047234849512680394
120,9200,1,0.0629127339731186
140,5400,26,0.04695490472740515
160,1500,21,0.04647614266409848
180,2200,6,0.05954845090123183
200,4000,26,0.04553273231817808
220,8800,21,0.049231371602354024
240,5000,1,0.06316468270803077
260,8400,26,0.06269287641023627
280,6200,16,0.039729930500744526
300,9000,31,0.06128278495113909
320,13000,6,0.051466110500842405
340,6100,6,0.06073016565293216
