,Epoch,Batch,Set,Calculated Points,Calculated CFFs,MAE,Max Residual,NRMSE
0,10,1,0,"[0.7588358  0.68119454 0.5770594  0.46845162 0.36972088 0.28702927
 0.22111513 0.17009868 0.1312707  0.10197844 0.07996392 0.06343193
 0.05100675 0.04165556 0.034612   0.0293113  0.0253392  0.0223936
 0.02025625 0.0187726  0.01783744 0.01738548 0.01738548 0.01783744
 0.0187726  0.02025625 0.02239359 0.0253392  0.02931129 0.034612
 0.04165553 0.05100673 0.06343193 0.07996386 0.10197841 0.1312707
 0.1700986  0.22111504 0.28702927 0.3697207  0.46845162 0.5770594
 0.68119454 0.7588357  0.7879033 ]",[ 2.3030798  -1.3257962   0.7757948   0.02262686],0.02212342759128359,0.0864443881607056,0.13928435093901945
1,10,1,20,"[ 6.9321722e-01  5.7709086e-01  4.4575331e-01  3.3154240e-01
  2.4307233e-01  1.7777477e-01  1.3036101e-01  9.5983319e-02
  7.0929408e-02  5.2528102e-02  3.8897961e-02  2.8718878e-02
  2.1061260e-02  1.5266319e-02  1.0863760e-02  7.5156512e-03
  4.9780728e-03  3.0747904e-03  1.6791243e-03  7.0150476e-04
  8.1025995e-05 -2.2015534e-04 -2.2015721e-04  8.1025995e-05
  7.0150476e-04  1.6791224e-03  3.0747885e-03  4.9780710e-03
  7.5156493e-03  1.0863760e-02  1.5266311e-02  2.1061253e-02
  2.8718878e-02  3.8897939e-02  5.2528098e-02  7.0929408e-02
  9.5983312e-02  1.3036089e-01  1.7777477e-01  2.4307208e-01
  3.3154240e-01  4.4575396e-01  5.7709187e-01  6.9321716e-01
  7.4160862e-01]",[ 1.7078526  -0.64603764  0.24863064 -0.00531181],0.008862181156277975,0.039730619689941404,0.08199639026537267
2,10,1,40,"[0.7265967  0.5858462  0.4389015  0.3210727  0.23609659 0.17709821
 0.13647482 0.10838103 0.08876579 0.07491314 0.06501497 0.05786258
 0.05264121 0.04879602 0.04594531 0.04382391 0.0422463  0.04108205
 0.04023967 0.03965579 0.03928801 0.03911031 0.03911031 0.03928801
 0.03965579 0.04023967 0.04108204 0.04224629 0.04382391 0.04594531
 0.04879601 0.05264119 0.05786258 0.06501495 0.07491313 0.08876579
 0.10838098 0.13647473 0.17709821 0.23609641 0.32107267 0.4389015
 0.58584607 0.7265967  0.78846025]",[ 1.4452403  -0.6616423  -0.1301174   0.03637467],0.02338901504738489,0.054341066474914546,0.17810434894942015
3,10,1,60,"[0.82444775 0.6835583  0.5235196  0.3843561  0.2772666  0.19925939
 0.14365868 0.10423976 0.07621677 0.05616225 0.04168958 0.03115234
 0.02341491 0.01769066 0.0134314  0.01025262 0.00788315 0.00613128
 0.00486192 0.00398114 0.00342591 0.00315752 0.00315752 0.00342591
 0.00398114 0.00486192 0.00613128 0.00788314 0.01025261 0.0134314
 0.01769064 0.0234149  0.03115234 0.04168954 0.0561622  0.07621677
 0.10423961 0.14365847 0.19925939 0.27726635 0.3843556  0.52351964
 0.6835577  0.82444686 0.88290995]",[ 6.7623639e-01 -1.6809134e-01  3.3581465e-01 -3.5732146e-04],0.014903771598864659,0.12847324895477286,0.1347537991623306
4,10,1,80,"[0.3638792  0.35514808 0.34148258 0.32402703 0.30407897 0.28290054
 0.26158267 0.2409744  0.22166917 0.20402995 0.1882337  0.17432123
 0.16224128 0.15188798 0.14312816 0.13582072 0.1298297  0.125032
 0.12132224 0.11861499 0.11684591 0.11597208 0.11597208 0.11684591
 0.11861499 0.12132224 0.12503198 0.1298297  0.13582072 0.14312816
 0.15188798 0.16224125 0.17432123 0.1882337  0.20402992 0.22166917
 0.2409744  0.26158267 0.28290054 0.30407897 0.32402703 0.34148258
 0.35514808 0.3638792  0.36688402]",[ 2.8321898  -4.2965956   2.8303163   0.06841084],0.01621991236589008,0.04144542029190068,0.09108369185699629
5,10,1,100,"[0.0656708  0.05728129 0.04677392 0.03662199 0.02802147 0.02122443
 0.01604296 0.0121624  0.00927828 0.00713933 0.00555182 0.00437102
 0.00349044 0.00283222 0.00233957 0.0019711  0.00169665 0.0014943
 0.00134826 0.00124735 0.00118398 0.00115342 0.00115342 0.00118398
 0.00124735 0.00134825 0.00149429 0.00169665 0.0019711  0.00233957
 0.00283221 0.00349044 0.00437102 0.00555182 0.00713933 0.00927828
 0.01216239 0.01604296 0.02122443 0.02802147 0.03662199 0.04677393
 0.05728134 0.06567082 0.06894484]",[ 3.6986156e+00  1.1140747e+00 -6.5756565e-01  2.1718480e-03],0.003210807237439705,0.014471903189277643,0.29688182809190405
6,10,1,120,"[0.19753115 0.17486647 0.14564215 0.11645918 0.09093808 0.07018748
 0.05396773 0.04154331 0.03211259 0.02497368 0.01956491 0.01545582
 0.01232358 0.0099286  0.008094   0.00668945 0.00561909 0.00481271
 0.00421927 0.00380245 0.00353737 0.00340855 0.00340855 0.00353737
 0.00380245 0.00421927 0.00481271 0.00561909 0.00668945 0.008094
 0.00992859 0.01232357 0.01545582 0.0195649  0.02497366 0.03211259
 0.0415433  0.05396768 0.07018748 0.09093808 0.11645893 0.14564215
 0.17486642 0.19753112 0.20622198]",[1.2492911e+00 7.1875107e-01 1.9440436e-01 6.2080345e-04],0.003334427452089045,0.02413042301082613,0.13593090022086912
7,10,1,140,"[0.11795628 0.11550266 0.11168804 0.10686371 0.1014216  0.09573443
 0.09011389 0.084791   0.07991531 0.07556568 0.0717668  0.06850585
 0.06574699 0.0634426  0.06154118 0.05999249 0.05875067 0.05777588
 0.057035   0.05650184 0.05615701 0.05598776 0.05598776 0.05615701
 0.05650184 0.057035   0.05777588 0.05875067 0.05999249 0.06154118
 0.0634426  0.06574698 0.06850585 0.07176679 0.07556568 0.07991531
 0.08479099 0.09011387 0.09573443 0.1014216  0.10686369 0.11168802
 0.11550261 0.11795626 0.11880357]",[ 2.1576743  -2.7735112   5.451713    0.06069013],0.005775214788045885,0.010424804657745368,0.08713297734625891
8,10,1,160,"[0.05748679 0.0534283  0.04754676 0.04078579 0.03396635 0.02764565
 0.022113   0.01745612 0.0136397  0.01056783 0.0081246  0.00619653
 0.00468296 0.00349941 0.00257745 0.00186289 0.00131358 0.00089727
 0.00058971 0.00037315 0.00023525 0.00016819 0.00016819 0.00023525
 0.00037315 0.00058971 0.00089727 0.00131358 0.00186289 0.00257745
 0.00349941 0.00468295 0.00619653 0.0081246  0.01056783 0.0136397
 0.01745611 0.02211298 0.02764565 0.03396634 0.04078577 0.04754674
 0.05342828 0.05748676 0.05894163]",[9.1224617e-01 1.0944207e+00 2.0334194e+00 6.0924888e-04],0.0022270279346830843,0.006003474941349035,0.13053295892561098
9,10,1,180,"[0.01752926 0.01811525 0.0187926  0.01935206 0.01970774 0.01986662
 0.01987538 0.01978569 0.01963986 0.01946802 0.01928982 0.01911722
 0.01895702 0.01881267 0.01868566 0.01857628 0.01848422 0.0184089
 0.01834964 0.0183058  0.01827688 0.01826251 0.01826251 0.01827688
 0.0183058  0.01834964 0.0184089  0.01848422 0.01857628 0.01868566
 0.01881267 0.01895702 0.01911722 0.01928982 0.01946802 0.01963986
 0.01978569 0.01987538 0.01986662 0.01970774 0.01935208 0.01879263
 0.01811529 0.01752931 0.01729305]",[-4.008752   -1.4351175   1.0510736   0.01575478],0.012825667924226448,0.016125384961519242,1.9358361061085074
