"attempts	indexes/attempt	ReH mean	ReH stddev	ReE mean	ReE stddev	ReHtilde mean	ReHtilde stddev"
"100	5	3.071076	19.565997	-18.044017	343.423640	1.799203	42.749095"
"100	10	0.205249	3.800972	10.078554	103.787315	2.239254	8.197350"
"100	15	0.323152	2.059279	2.447079	70.401363	2.425486	3.933791"
"100	20	0.561468	1.261220	1.016477	55.662893	2.905526	2.547642"
"100	25	0.632811	1.053333	0.483449	44.997209	3.387669	2.174439"
"100	30	0.448840	1.154333	1.320857	48.115769	2.647696	2.264223"
"100	35	0.559188	1.019723	-1.232858	39.472230	2.888628	1.986058"
"100	40	0.485374	0.837039	3.342511	37.667010	2.747098	1.618692"
"100	45	0.540044	0.813450	2.411087	33.226410	2.898989	1.653148"
"100	50	0.684552	0.781190	-2.698729	32.600717	3.406984	1.628277"
"100	55	0.519001	0.632260	-0.851223	29.693372	2.911948	1.332650"
"100	60	0.568933	0.677016	1.311398	29.066235	3.088300	1.323042"
"100	65	0.597861	0.687680	-3.724335	27.621657	2.861851	1.419579"
"100	70	0.590519	0.670301	-2.078048	23.900852	3.004677	1.355760"
"100	75	0.505828	0.591377	2.311099	24.012354	2.865108	1.235311"
"100	80	0.532864	0.705960	1.729449	25.956497	3.065406	1.347591"
"100	85	0.453674	0.568281	1.779487	23.118305	2.713603	1.117631"
"100	90	0.540949	0.535354	2.441309	21.176988	2.890816	1.171243"
"100	95	0.508552	0.615438	2.558287	25.432905	2.741594	1.146344"
"100	100	0.547494	0.499138	0.263707	20.753653	2.869685	1.044203"
"100	1000	0.573232	0.189879	-1.254300	6.780518	2.921729	0.392823"

"10	100	0.414755	0.527925	5.004899	18.177845	2.723251	1.305664"
"10	200	0.663208	0.424674	-5.235325	17.435322	3.149519	1.013536"
"10	300	0.527418	0.294494	-2.149325	9.294398	2.926476	0.588422"
"10	400	0.530339	0.217384	-3.097101	12.840418	2.903994	0.439086"
"10	500	0.681177	0.165537	-2.879998	5.563254	2.917926	0.370360"
"10	600	0.512729	0.213823	-0.579549	8.300764	2.755622	0.498762"
"10	700	0.576647	0.161848	-0.757549	8.749360	2.870142	0.311120"
"10	800	0.647618	0.191412	-4.396998	8.003137	3.165260	0.414846"
"10	900	0.543788	0.227986	1.374675	7.955635	2.962032	0.371086"
"10	1000	0.572583	0.091203	-0.642325	5.916552	2.789724	0.182169"

"1	1000	0.642487	NaN	-1.022222	NaN	3.064941	NaN"
"1	10000	0.531379	NaN	1.777778	NaN	2.839255	NaN"

"1000	100	0.565825	0.545691	-0.806220	22.408550	2.969766	1.113144"
"1000	5	1.323942	27.050495	-13.917844	459.015347	2.444696	57.463477"
"1000	10	0.607368	4.019110	-0.218458	101.137026	2.899856	8.401084"

"100	100	0.547494	0.499138	0.263707	20.753653	2.869685	1.044203"
"200	100	0.604124	0.534664	-0.674194	22.937833	3.034175	1.149660"
"300	100	0.535384	0.556725	-0.478513	23.596001	2.871577	1.153308"
"400	100	0.538873	0.530738	-0.169178	22.036714	2.871304	1.075036"
"500	100	0.528561	0.529597	1.609914	21.103827	2.897440	1.116167"
"600	100	0.566041	0.549583	-0.945807	22.821489	2.918298	1.102139"
"700	100	0.530940	0.531972	-0.332697	22.729669	2.916825	1.072572"
"800	100	0.602067	0.532433	-1.672848	22.543301	2.991317	1.100930"
"900	100	0.545996	0.530920	-0.150834	22.385584	2.890787	1.062938"
"1000	100	0.565825	0.545691	-0.806220	22.408550	2.969766	1.113144"














Set,NumAttempts,NumIndexesPerAttempt,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev

1,100,100,0.59311,0.525518,-3.214186,25.017588,2.991239,1.140054
2,100,100,1.21295,0.710155,1.568258,19.658482,4.492794,4.02676
3,100,100,1.81313,5.716045,-2.555292,51.738662,4.30537,31.38252
4,100,100,1.604739,4.142535,-1.02842,44.529999,4.170588,13.457222
5,100,100,1.854854,0.152149,1.214051,1.368546,0.615383,2.34738
6,100,100,0.951089,0.850342,-4.997441,53.723361,1.566896,13.845625
7,100,100,1.378343,0.196319,1.731926,1.627939,1.571642,2.147356
8,100,100,0.629339,4.994348,2.684994,38.388127,4.411276,3.028471
9,100,100,1.477561,0.885111,-4.178327,20.904094,3.852145,3.842918
10,100,100,1.514962,0.737887,-2.763718,16.906408,3.03284,2.94176
11,100,100,0.833531,8.851681,0.910537,81.514105,3.313282,21.151302
12,100,100,1.606523,0.541895,1.273634,15.769901,4.1104,2.350712
13,100,100,1.156544,0.680563,1.868469,18.995984,2.489674,5.469315
14,100,100,2.041161,2.185038,-7.682056,29.487578,5.207582,8.134894
15,100,100,1.825678,1.961528,-6.245675,30.041506,4.744264,9.053557
16,100,100,1.826776,2.707988,-8.023918,30.295357,4.880817,7.419465
17,100,100,0.960369,0.484998,-1.001825,17.020907,2.574284,2.402309
18,100,100,1.210852,6.11388,7.356461,65.274248,1.631243,44.801742
19,100,100,0.946363,0.62822,-0.963891,18.996829,3.4051,3.465933
20,100,100,0.521179,0.619547,-0.038191,16.102432,2.453222,7.396448
21,100,100,1.163263,1.388218,-0.37323,17.53439,4.316678,2.566252
22,100,100,2.008277,10.506246,-17.102826,140.255606,0.325558,21.359224
23,100,100,0.60584,0.873687,3.116222,15.672159,2.648275,7.818385
24,100,100,1.555204,0.448194,-4.631317,15.179431,3.473238,0.835957
25,100,100,0.615776,0.651373,-1.996328,16.195423,3.440565,7.987736
26,100,100,1.085711,0.66351,-1.484563,20.80849,3.183617,3.472647
27,100,100,0.845963,0.324597,2.448536,12.282484,2.021092,3.999791
28,100,100,0.496975,0.765438,-1.363448,9.914001,2.42063,3.656074
29,100,100,0.894236,0.244208,-6.524717,15.41765,5.207859,10.516041
30,100,100,1.200924,5.183003,2.339638,42.843849,-10.154452,33.737096

1,100,200,0.534467,0.357052,1.630344,15.730454,2.896829,0.692495
2,100,200,1.244537,0.465646,1.433032,12.863733,4.232917,2.701618
3,100,200,2.05678,3.101185,-4.791786,28.279867,5.51289,17.617072
4,100,200,1.965027,2.646971,-5.05108,28.662738,5.309185,8.796094
5,100,200,1.924827,0.094863,0.98563,0.828866,0.596926,1.516161
6,100,200,0.933424,0.759247,1.914115,36.312945,3.33937,9.387045
7,100,200,1.367461,0.145362,1.725746,1.319784,1.759371,1.624637
8,100,200,0.672298,3.536767,2.662709,27.625246,4.41771,1.946972
9,100,200,1.413466,0.491439,-3.000682,11.777666,3.767545,2.159323
10,100,200,1.498013,0.459887,-1.674902,10.668455,2.877463,1.908278
11,100,200,-0.489885,4.894591,13.236024,45.156017,0.208638,11.740903
12,100,200,1.606803,0.333539,1.702067,10.15856,4.1621,1.398137
13,100,200,1.250187,0.398238,-0.358298,10.533547,2.957386,2.928827
14,100,200,2.228291,1.273385,-10.249787,17.178416,5.808113,4.817072
15,100,200,1.783873,1.075025,-5.54496,16.432669,4.489117,5.032248
16,100,200,1.908011,2.081711,-9.032382,23.06981,5.277258,5.669181
17,100,200,0.956232,0.375683,-0.252251,13.063255,2.570403,1.858171
18,100,200,1.784888,4.249215,1.398425,45.519539,5.690785,31.15478
19,100,200,0.931171,0.328832,-0.289631,9.217058,3.203377,1.672421
