Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev,time
1,2.750000,1.515760,0.369204,-0.306885,0.641681,0.579763,-2.166089,26.726849,2.975371,1.199251,32.143
2,2.750000,1.867290,0.527413,-0.437447,1.439265,1.147689,-3.650478,30.931217,5.358363,6.575453,90.672
3,2.750000,1.188990,0.580204,-0.479462,0.425070,5.420384,9.905038,48.594767,-3.265385,29.480737,51.444
4,2.750000,1.444090,0.463857,-0.483145,1.106715,4.036497,4.494101,43.468303,2.494857,12.973456,49.595
5,2.750000,1.615250,0.599496,-0.491783,1.880995,0.199739,1.317562,1.456556,0.421574,2.563238,12.626
6,2.750000,1.812020,0.384596,-0.443662,0.879190,0.875967,10.992659,66.211859,5.123372,16.318240,64.997
7,2.750000,1.855370,0.572306,-0.461333,1.347915,0.223205,1.945713,1.658665,1.900652,2.436989,13.118
8,2.750000,1.117980,0.283371,-0.498293,1.099647,4.918880,-1.115268,37.498683,4.679103,2.986342,48.138
9,2.750000,1.783840,0.492262,-0.461759,1.481220,0.875005,-4.511973,19.511109,3.889610,3.507358,33.572
10,2.750000,1.664470,0.452008,-0.422538,1.562477,0.885985,-3.851570,19.555054,3.232473,3.218356,33.682
11,2.750000,1.191470,0.393982,-0.440906,-0.352420,9.980270,11.666643,92.149926,0.805032,23.828418,87.367
12,2.750000,2.039650,0.547977,-0.449074,1.815917,1.742447,-5.529550,56.216348,4.952455,7.271794,180.630
13,2.750000,1.686910,0.503554,-0.383757,1.106879,1.036823,2.068139,29.182535,2.470652,8.344110,125.794
14,2.750000,1.554800,0.474670,-0.469742,2.277216,2.468845,-11.096607,33.189394,6.055090,9.409439,43.758
15,2.750000,1.605390,0.494002,-0.454349,1.698949,1.634257,-3.978062,25.065874,3.972319,7.558916,40.084
16,2.750000,1.370860,0.416852,-0.455687,2.465856,3.168500,-15.308419,35.207934,6.743405,8.636715,46.323
17,2.750000,1.628280,0.433084,-0.354941,0.817239,0.613822,3.717566,21.386286,1.979441,3.068408,32.889
18,2.750000,1.349210,0.609671,-0.496856,1.875531,8.788689,0.410973,94.511894,6.430497,64.273591,91.920
19,2.750000,1.665580,0.457363,-0.385021,0.861876,0.872446,0.967007,24.885680,3.070948,4.556784,46.046
20,2.750000,1.014840,0.410423,-0.232699,0.586200,1.184693,-1.885097,30.683042,3.473147,14.012376,187.399
21,2.750000,1.548800,0.416308,-0.488016,1.499359,1.494014,-6.525815,20.357863,5.235245,2.895312,31.216
22,2.750000,1.515440,0.313819,-0.448103,1.105765,12.034163,-7.345856,158.208321,1.165122,23.141287,133.267
23,2.750000,1.075250,0.456711,-0.290708,0.888114,1.631722,-2.036409,30.204860,5.204748,15.326638,168.976
24,2.750000,1.805680,0.447482,-0.454667,1.580448,0.608879,-1.868671,21.066130,3.460247,0.959927,28.015
25,2.750000,1.013320,0.423223,-0.238837,0.531823,0.783492,0.172067,19.879130,2.402121,9.700436,105.617
26,2.750000,1.731350,0.470845,-0.390857,1.049108,0.749419,2.768821,24.579457,2.564784,4.121907,42.771
27,2.750000,1.472720,0.455851,-0.296889,0.915186,1.024794,-0.109158,39.809262,3.054014,13.189815,193.097
28,5.750000,1.399600,0.332528,-0.261921,0.491781,0.795712,-1.169115,10.291344,2.392254,3.879063,40.471
29,5.750000,2.059420,0.433327,-0.272603,0.862098,0.371036,-3.818991,25.039129,3.335878,16.821881,139.594
30,5.750000,1.135280,0.589380,-0.463738,0.843025,4.121058,5.341330,34.636615,-11.722323,27.890967,45.880
31,5.750000,2.350680,0.434603,-0.316798,0.788319,0.604590,1.940231,19.449938,1.459310,11.479931,116.295
32,5.750000,2.755140,0.475665,-0.414944,1.310246,1.027565,-5.493350,23.467757,5.591655,13.853126,115.290
33,5.750000,2.358660,0.439937,-0.420810,1.348765,1.570544,-2.111205,19.244296,3.547585,9.871075,35.489
34,5.750000,1.578050,0.378430,-0.276353,0.531778,0.698397,-0.848695,10.910841,2.618235,5.127255,57.870
35,5.750000,2.362160,0.460838,-0.354374,1.056225,0.643155,-2.475620,16.903910,3.524634,10.897722,107.191
36,5.750000,1.337010,0.423396,-0.410395,1.246564,2.129417,-1.770332,16.579563,0.981947,6.953517,26.857
37,5.750000,1.401820,0.299700,-0.309792,1.032050,1.941021,-5.805789,18.809217,3.499200,5.232168,26.856
38,5.750000,4.107270,0.487991,-0.469317,1.733710,0.257493,-3.545505,34.723411,4.588654,5.310433,40.682
39,5.750000,2.927420,0.393049,-0.393098,1.271203,2.357942,-8.685576,43.514932,4.939355,12.219032,142.446
40,5.750000,1.594060,0.283371,-0.498307,0.280801,7.929166,4.068970,48.525054,3.738887,9.806377,69.363
41,5.750000,1.772960,0.460297,-0.325598,1.129163,0.731326,-6.014924,15.351586,4.117542,10.712740,85.868
42,5.750000,2.191590,0.351107,-0.496568,2.169691,8.763963,-7.783330,64.935507,6.218463,18.729604,76.173
43,5.750000,2.183050,0.451306,-0.497989,1.072765,2.869968,0.597603,23.921697,1.873396,11.764112,32.811
44,5.750000,1.133980,0.324754,-0.165836,0.377976,0.311695,-3.350317,9.585030,2.734593,4.312963,71.167
