ReH,ReE,ReHtilde,Fitness
0.866053,7.083766,-12.922196,0.718491
0.685643,5.702125,-3.258689,0.719996
-0.548436,17.242840,-21.100918,0.724595
0.901407,8.089092,-18.821479,0.740981
-0.390613,11.632837,-10.149820,0.711204
0.530755,9.584703,-14.508261,0.734859
0.162544,7.356696,-5.583587,0.730769
0.314761,9.308620,-20.483928,0.728038
0.678820,2.050242,-6.531248,0.722519
1.334140,-1.893573,-1.689650,0.721514
1.109808,3.115135,-3.606967,0.728737
0.846372,5.291422,-7.644683,0.719571
1.640758,-3.008409,-7.792270,0.715587
0.918649,5.801006,-13.638543,0.724734
-0.013248,11.223452,-18.045186,0.736445
-0.311278,13.607782,-20.586179,0.723238
0.452167,7.018926,-4.687171,0.749887
-0.473783,16.590233,-22.562697,0.718741
3.135077,-9.251732,-20.067482,0.719517
1.900058,-0.276186,-6.074484,0.733628
0.788374,7.393084,-16.718597,0.716349
1.014827,1.185476,-5.131422,0.732816
-0.306371,9.147321,-6.064687,0.735781
0.893470,4.328092,-5.162169,0.750107
2.485902,-9.228017,-2.258828,0.717195
-1.241433,27.210841,-39.340188,0.729166
0.704084,1.599132,-10.865041,0.702559
2.114200,-1.575820,-11.633869,0.716859
0.166120,13.434503,-23.463803,0.695284
2.171255,-8.140069,-3.262894,0.736410
2.133192,-6.386438,-7.571833,0.721930
0.686087,4.112430,-10.741428,0.694176
0.180856,9.308126,-12.405210,0.716980
-0.343788,15.675305,-14.343994,0.731412
0.082502,13.036754,-14.455492,0.717675
-0.618942,20.469914,-21.559862,0.730660
0.216400,14.466125,-18.454816,0.719974
2.709907,-12.062481,0.569013,0.718891
1.099993,3.373684,-15.289058,0.726583
3.875364,-17.535410,0.657679,0.717905
-0.372727,16.499760,-19.910763,0.722323
-0.025347,12.702079,-20.951663,0.698243
-0.326544,15.297118,-5.078949,0.729700
1.468667,0.615418,-14.387864,0.722609
0.532866,9.141952,-17.750459,0.738209
2.227438,-2.781000,-13.527324,0.735311
1.606064,1.757086,-14.628273,0.731841
2.103394,-1.224519,-27.112537,0.727777
1.036955,4.359161,-16.955157,0.732944
0.687129,10.319763,-18.171210,0.708439
0.871949,4.578764,-18.176749,0.700565
-0.298633,13.032612,-8.076724,0.734259
1.373193,2.310007,-18.633226,0.723168
-0.204862,9.391801,-11.643179,0.723634
-0.799166,19.867985,-26.444259,0.733732
1.610659,-0.433213,-8.311554,0.728824
3.342198,-13.045905,-9.058706,0.719237
-2.333112,32.613569,-36.799930,0.722885
-1.664989,25.251958,-25.109533,0.732421
1.143671,-0.388094,-3.348747,0.717962
1.729972,-2.057766,-6.344245,0.711699
2.739517,-14.781266,-7.710154,0.732399
-0.659999,15.017808,-11.638632,0.730352
0.647122,8.834457,-14.249530,0.742839
0.666496,2.628649,-1.850722,0.747575
-0.540970,17.521698,-8.220816,0.735170
0.015052,9.715659,-9.477390,0.699532
0.868656,3.168215,-1.840058,0.730034
1.833369,-4.826686,2.699792,0.736301
0.284208,9.018215,-10.473352,0.725644
0.312291,11.773639,-16.740809,0.714527
2.378984,-3.331700,1.211810,0.737003
0.946222,4.801084,-12.572364,0.710657
0.272361,13.041457,-33.164196,0.735521
-0.072913,9.221326,-17.870363,0.706135
-0.542914,18.900380,-23.239914,0.718852
-0.321786,17.131405,-15.364987,0.736341
-0.946060,19.441143,-20.886339,0.727361
2.365130,-11.916582,8.111987,0.708752
0.048200,11.829741,-11.869079,0.732484
2.374998,-9.102835,-1.950971,0.709658
1.644782,-0.383102,-8.449690,0.722847
-0.203919,11.217707,-17.320206,0.715633
1.012535,0.457355,0.227832,0.717169
0.291977,11.393352,-9.431924,0.724403
1.724697,-3.960991,3.154612,0.711108
2.509125,-9.867558,2.999363,0.734775
0.168493,11.051387,-15.124988,0.704720
1.166690,6.869423,-13.619467,0.723465
-1.537310,25.717404,-25.972752,0.727697
-0.015627,10.387562,-16.561266,0.717940
-0.403710,11.738336,-15.657662,0.714452
0.400038,8.262800,-5.726327,0.740496
0.168360,11.405039,-16.037577,0.722593
1.298443,-1.330782,0.757554,0.738348
2.520820,-8.124603,-4.735859,0.703103
1.798504,-0.620029,-5.360114,0.717730
2.985507,-13.114439,2.242075,0.725924
-1.857211,28.000380,-24.438414,0.706470
-0.254583,14.761757,-20.220633,0.737056
