set,ReH,ReE,ReHtilde
,,,
1,1.152923,56.278919,7.790371
1,6.310087,-64.983909,17.588485
1,2.085489,-18.660574,11.1278
1,-5.471907,258.004202,-5.771551
1,-0.79641,-10.39924,6.268839
1,3.691635,-13.366606,8.422112
1,5.96446,85.124369,17.85222
1,1.475524,-52.354234,5.963818
1,-3.13109,-61.564008,-8.765098
1,6.891107,-97.388814,18.271851
1,-6.979133,185.94977,-7.732435
1,7.396788,-101.687105,17.635871
1,5.877733,-134.452263,17.213737
1,-4.410386,159.926765,3.610166
1,-5.787958,-19.401185,-11.192131
1,8.872735,-122.958304,18.916768
1,5.359978,-261.994441,16.704755
1,4.637102,106.325773,-7.823688
1,-5.197135,226.097946,-6.271815
1,-0.187323,60.277088,1.201519
1,-4.949219,86.834916,-6.151744
1,-1.438558,8.685918,-4.072192
1,5.160677,-61.429945,7.344301
1,-1.43202,225.000617,-6.032975
1,-5.152447,27.634954,-1.74046
1,-6.025276,413.312819,-15.451045
1,11.280615,-247.987239,25.827608
1,-18.019103,53.62963,-22.109753
1,-5.422661,129.61479,-2.490611
1,8.925592,26.675756,20.56396
1,-0.852981,-97.526938,-2.231385
1,4.168576,-330.55381,3.609624
1,-1.28035,-89.726252,-2.213104
1,2.305921,35.363519,7.470166
1,4.319369,-0.552024,6.879537
1,2.161277,-69.155207,7.205086
1,1.152407,-61.716646,20.92123
1,9.568466,-281.600599,11.964903
1,7.01583,-9.825498,21.020874
1,2.276456,300.141682,5.598875
1,4.782378,99.173825,6.672716
1,-1.145545,-147.134127,-5.986052
1,-3.470688,67.084578,-18.949236
1,-0.218171,57.333314,-4.881737
1,11.560103,-248.184391,36.490621
1,-5.481408,5.079113,-8.496694
1,-4.920605,-3.553825,1.476724
1,1.350273,-163.716373,-4.62863
1,0.931257,-98.220552,16.836203
1,3.867758,-317.763781,8.897556
1,-4.284846,105.231343,-4.524684
1,4.964743,36.613237,25.12687
1,6.947856,-25.47762,9.104461
1,-4.476531,361.397558,6.133758
1,4.967254,-63.715794,15.273998
1,-0.765649,86.005528,2.810592
1,5.733743,-203.42586,-4.223293
1,-9.501257,238.506921,-18.440681
1,0.231267,381.078726,11.070109
1,-5.080259,-172.186849,5.101963
1,4.720854,-36.406178,9.462485
1,-0.632662,-17.315694,7.725945
1,-0.344391,140.268795,-1.694461
1,4.413235,-125.56308,11.06666
1,-2.67419,309.196482,-10.135476
1,-1.668649,141.082708,8.300008
1,1.514074,150.686255,7.627684
1,0.058727,-112.445897,3.70293
1,-7.467689,319.708838,-2.001638
1,-1.173824,381.580415,-8.667126
1,-2.754384,64.516594,-7.031434
1,-3.440546,232.267753,-10.793381
1,1.545113,154.945664,-6.75861
1,8.788579,24.094176,22.015612
1,8.741514,-88.819106,9.538131
1,10.962909,-160.984719,35.911391
1,4.884276,-135.117209,1.802317
1,8.336541,53.585547,14.959634
1,9.110329,-165.910909,12.520749
1,0.226537,-76.718522,5.038362
1,-1.700089,-24.858388,4.010189
1,5.764177,-218.789361,13.146092
1,-10.975373,322.872542,-27.842097
1,-4.133814,97.554568,-4.70211
1,-7.129492,125.420053,-8.568959
1,2.378016,-178.68191,2.38918
1,6.661519,-161.212621,11.778253
1,1.334446,136.458809,9.894126
1,-5.734068,-139.860575,-13.907853
1,4.51861,-191.350492,39.008401
1,3.530321,-26.782968,-3.361671
1,0.078507,-329.825065,-1.081307
1,-6.747877,2.421881,-11.494476
1,-3.74841,323.985546,6.938809
1,-2.432758,-92.656977,-4.932103
1,-0.314204,202.903438,1.860438
1,2.587271,-257.748167,7.267674
1,1.461025,-54.066507,0.519143
1,-0.486334,266.001727,3.97115
1,1.939354,242.375192,1.717413
,,,
mean,0.77505643,13.26532201,4.00989127
stddev,5.391731759,173.7241807,12.18885106
