Set,ReH,ReE,ReHtilde
1,0.743515,-1.58545,3.34929
2,1.51313,-2.38576,4.77932
3,1.82269,-2.66254,5.24796
4,1.59747,-2.4969,4.74465
5,1.92804,-2.75212,5.40254
6,1.28001,-2.21835,4.17082
7,1.71921,-2.5673,5.11271
8,1.40208,-2.36277,4.01578
9,1.55075,-2.4414,4.75485
10,1.30131,-2.20789,4.35799
11,1.28243,-2.21691,4.1979
12,1.6089,-2.47125,4.93581
13,1.24348,-2.10726,4.37666
14,1.55391,-2.45181,4.71959
15,1.52024,-2.41063,4.72193
16,1.38579,-2.31124,4.38212
17,1.00504,-1.87858,3.90105
18,1.97773,-2.7934,5.47623
19,1.15957,-2.04637,4.17575
20,0.60764,-1.29982,3.12675
21,1.53742,-2.45604,4.55748
22,1.20095,-2.16419,3.87675
23,0.839727,-1.62106,3.6541
24,1.43409,-2.34636,4.51434
25,0.643451,-1.34344,3.21811
26,1.20724,-2.0914,4.26852
27,0.856316,-1.6477,3.68422
28,0.564163,-1.34451,2.93694
29,0.747107,-1.50837,3.44929
30,1.77,-2.60787,5.20277
31,0.879564,-1.70891,3.6981
32,1.31341,-2.20664,4.42269
33,1.27249,-2.18396,4.29417
34,0.668273,-1.4584,3.22288
35,1.05265,-1.91324,4.02283
36,1.20065,-2.11567,4.16245
37,0.659495,-1.52879,3.0525
38,1.57756,-2.46913,4.7772
39,1.08161,-2.00067,3.93076
40,1.40215,-2.36283,4.01586
41,0.953816,-1.783,3.86212
42,1.47945,-2.41947,4.3111
43,1.64732,-2.54647,4.76982
44,0.348438,-0.904458,2.37349
45,1.5481,-2.46626,4.56568
46,1.36956,-2.2997,4.33367
47,1.27257,-2.16025,4.37221
48,1.09573,-2.00582,3.98935
49,1.57624,-2.47309,4.74561
50,0.480636,-1.19622,2.74507
51,0.651113,-1.46481,3.14466
52,1.64221,-2.51801,4.91961
53,1.34767,-2.28421,4.26525
54,1.13638,-1.99075,4.1968
55,1.57208,-2.45858,4.79746
56,1.43695,-2.34509,4.53938
57,1.1751,-2.04381,4.24407
58,0.882392,-1.85436,3.18856
59,0.782378,-1.61171,3.46795
60,1.30256,-2.177,4.45557
61,1.24402,-2.16024,4.22978
62,0.910821,-1.72485,3.78543
63,0.69313,-1.51902,3.24197
64,0.948677,-1.84825,3.71716
65,1.21503,-2.16635,3.99375
66,1.60126,-2.49202,4.80317
67,0.934106,-1.78471,3.78984
68,1.2807,-2.20932,4.22838
69,1.75126,-2.625,5.00994
70,1.4228,-2.34844,4.41963
71,1.49288,-2.43112,4.33273
72,1.45188,-2.34894,4.60921
73,1.58119,-2.44581,4.8938
74,0.465494,-1.25423,2.59163
75,1.33697,-2.28573,4.15461
76,0.941549,-1.86199,3.63296
77,1.14504,-2.04797,4.10469
78,0.783646,-1.56728,3.52128
79,0.972367,-1.86833,3.77904
80,1.2704,-2.16679,4.34328
81,0.914458,-1.75764,3.75766
82,1.13975,-2.08451,3.91857
83,1.36509,-2.30869,4.22539
84,1.29402,-2.20684,4.32213
85,1.61733,-2.51833,4.74368
86,1.21345,-2.12965,4.17954
87,0.275149,-0.786869,2.10924
88,1.90942,-2.74329,5.34107
89,1.5182,-2.40865,4.71926
90,1.7672,-2.63168,5.08041
91,0.938786,-1.85897,3.62768
92,1.6001,-2.5039,4.71302
93,1.03824,-1.91315,3.96679
94,0.820275,-1.64277,3.569
95,0.620757,-1.43179,3.06154
96,0.315288,-0.801155,2.25483
97,1.52583,-2.44556,4.54226
98,0.387541,-1.20254,2.161
99,0.962692,-1.87925,3.69421
100,1.2696,-2.24603,3.76981
101,1.31986,-2.21219,4.43569
102,0.902116,-1.88405,3.138
103,1.45499,-2.38238,4.43395
104,1.59014,-2.48623,4.76167
105,0.914052,-1.84873,3.5101
106,1.04458,-2.01235,3.58962
107,1.26385,-2.20484,4.13206
108,1.2068,-2.09838,4.24865
109,1.35361,-2.29005,4.27239
110,1.21027,-2.08004,4.30593
111,0.615538,-1.41068,3.0697
112,0.49293,-1.2198,2.77438
113,0.669003,-1.47864,3.20038
114,1.09872,-1.95146,4.12687
115,1.43637,-2.37693,4.29908
116,0.327675,-0.998683,2.2336
117,0.380589,-1.09946,2.38678
118,0.921992,-1.89748,3.25705
119,1.2621,-2.17956,4.25339
120,1.38939,-2.31614,4.37781
121,1.46928,-2.4088,4.31811
122,0.335337,-0.947187,2.31143
123,0.61513,-1.3142,3.14434
124,0.962503,-1.79723,3.87389
125,1.62961,-2.52666,4.78073
126,0.927659,-1.90363,3.26624
127,0.605449,-1.38831,3.05625
128,0.631579,-1.53085,2.85517
129,0.950896,-1.82965,3.77416
130,0.670214,-1.57147,2.9772
131,0.337867,-0.848077,2.33611
132,0.347503,-0.981665,2.34447
133,1.61702,-2.5069,4.82136
134,1.29168,-2.22062,4.2422
135,0.466565,-1.24224,2.62095
136,0.38002,-1.04054,2.44625
137,1.00263,-1.93528,3.71665
138,0.591834,-1.34716,3.04614
139,1.49299,-2.43122,4.33285
140,0.404887,-1.03199,2.54954
141,1.39828,-2.31306,4.45816
142,1.57986,-2.48709,4.6752
143,0.743689,-1.67,3.09492
144,0.981829,-1.90439,3.7138
145,0.787096,-1.66244,3.39345
146,1.46237,-2.40123,4.32531
147,0.740051,-1.62405,3.24499
148,1.05377,-1.89792,4.05046
149,0.948041,-1.86981,3.64252
150,0.810754,-1.60929,3.57263
151,1.36097,-2.32111,4.03585
152,0.191719,-0.658429,1.75837
153,0.938365,-1.79012,3.79736
154,0.500105,-1.26344,2.75636
155,0.470825,-1.27255,2.58284
156,1.14437,-2.08945,3.9246
157,0.234077,-0.64871,1.93797
158,0.637087,-1.42272,3.14262
159,1.30854,-2.22213,4.34082
160,1.13277,-2.01192,4.14344
161,1.31884,-2.25517,4.23337
162,1.69031,-2.58017,4.86193
163,0.893613,-1.80791,3.54423
164,0.461504,-1.2297,2.61569
165,1.38248,-2.3124,4.34919
166,1.61354,-2.49612,4.85857
167,1.52793,-2.44751,4.54464
168,0.96956,-1.88751,3.7043
169,1.14429,-2.0579,4.06816
170,1.59913,-2.49469,4.77201
171,0.917812,-1.85322,3.51559
172,1.26251,-2.23555,3.82095
173,1.26883,-2.2099,4.13824
174,1.23153,-2.12629,4.28277
175,1.48993,-2.41949,4.43388
176,0.193053,-0.678936,1.76005
177,0.848794,-1.76232,3.43753
178,0.678605,-1.49374,3.21883
179,1.20957,-2.14604,4.07942
180,1.67526,-2.5479,4.96591
181,1.43736,-2.37785,4.30021
182,0.621627,-1.47406,2.98035
183,0.330221,-0.865891,2.3111
184,0.922719,-1.89829,3.25804
185,1.27505,-2.19327,4.27015
186,1.46973,-2.40921,4.31861
187,0.826366,-1.6894,3.51891
188,0.998261,-1.8453,3.93264
189,1.20462,-2.1871,3.6442
190,0.295551,-0.935415,2.13059
191,1.18774,-2.1683,3.66185
192,0.753334,-1.63992,3.2741
193,0.750632,-1.65447,3.21076
194,1.51435,-2.41182,4.68182
195,0.341954,-0.860134,2.35085
196,1.47086,-2.37853,4.58077
197,1.62925,-2.51839,4.8354
198,1.15859,-2.13419,3.69566
199,1.41628,-2.35297,4.32649
200,1.01217,-1.94567,3.73278
201,1.13966,-2.12359,3.56572
202,0.793215,-1.73072,3.18283
203,1.46714,-2.39945,4.39715
204,1.00803,-1.94152,3.72426
205,1.36044,-2.31074,4.15684
206,1.25697,-2.13917,4.36007
207,0.602182,-1.36528,3.06829
208,1.63349,-2.51923,4.85928
209,0.781708,-1.73815,3.02516
210,1.01008,-1.86336,3.9478
211,0.421553,-1.10273,2.57691
212,0.988323,-1.91207,3.72319
213,0.778873,-1.72995,3.05607
214,1.58881,-2.49215,4.71063
215,0.950863,-1.8732,3.64667
216,0.884214,-1.84801,3.26247
217,1.50865,-2.44016,4.41658
218,0.488662,-1.33368,2.52491
219,0.821758,-1.62597,3.59302
220,0.947636,-1.80253,3.81253
221,0.501755,-1.26642,2.76
222,1.39247,-2.29049,4.52518
223,0.936734,-1.90946,3.31861
224,0.733921,-1.49076,3.41983
225,1.27593,-2.25255,3.76718
226,1.38718,-2.3528,3.93026
227,1.09851,-1.9808,4.0708
228,0.849229,-1.80168,3.25005
229,0.896226,-1.81115,3.54819
230,1.65827,-2.54316,4.8831
231,1.28851,-2.22131,4.21611
232,1.38452,-2.3144,4.35164
233,1.52873,-2.44825,4.54554
234,1.32465,-2.23208,4.39014
235,0.972189,-1.89066,3.70816
236,1.1484,-2.06252,4.07381
237,0.913073,-1.82056,3.61271
238,1.60251,-2.49786,4.77589
239,0.805781,-1.76393,3.08637
240,1.27091,-2.21201,4.14082
241,1.24068,-2.1365,4.29525
242,1.19751,-2.1287,4.08739
243,0.193312,-0.679809,1.76112
244,1.65867,-2.54431,4.87853
245,0.509768,-1.4146,2.27369
246,0.861097,-1.80928,3.3081
247,0.53968,-1.27712,2.90943
248,1.1033,-2.09834,3.3392
249,1.22535,-2.10286,4.31624
250,0.693189,-1.62771,2.88336
251,0.682531,-1.49986,3.22631
252,0.68051,-1.45274,3.2731
253,1.21191,-2.14849,4.08241
254,0.623254,-1.47652,2.98335
255,0.3322,-0.871495,2.31795
256,0.923034,-1.89865,3.25847
257,1.0122,-1.86363,3.95505
258,0.296182,-0.936924,2.13243
259,1.18795,-2.16851,3.66211
260,0.755579,-1.64299,3.27785
261,0.751936,-1.65621,3.21288
262,0.633904,-1.56585,2.67287
263,1.63436,-2.52317,4.84124
264,1.0006,-1.87184,3.89632
265,1.41715,-2.35379,4.3275
266,1.13984,-2.12378,3.56594
267,1.46753,-2.39982,4.3976
268,1.01018,-1.94398,3.72728
269,1.30841,-2.23724,4.26589
270,1.36091,-2.31119,4.15738
271,0.606563,-1.37288,3.07757
272,1.59106,-2.48321,4.78626
273,1.64019,-2.52553,4.86698
274,1.07175,-2.07065,3.22293
275,1.02298,-1.88011,3.96827
276,0.684722,-1.52624,3.19122
277,0.990849,-1.91505,3.72682
278,0.779218,-1.73038,3.05659
279,0.952997,-1.87576,3.64979
280,1.80218,-2.66308,5.12169
281,0.488937,-1.33412,2.52545
282,0.829784,-1.638,3.60773
283,1.6803,-2.56474,4.89984
284,0.954249,-1.81132,3.82327
285,0.502945,-1.26856,2.76261
286,1.05014,-2.0133,3.63654
287,0.990677,-1.98818,3.12045
288,1.39971,-2.298,4.53435
289,0.936998,-1.90975,3.31897
290,1.14878,-2.07123,4.04278
291,1.38718,-2.3528,3.93026
292,1.33789,-2.26922,4.28895
293,1.38168,-2.30605,4.38411
294,0.849732,-1.80228,3.25079
295,1.20131,-2.13172,4.0974
296,0.898175,-1.81356,3.55115
297,1.29026,-2.22309,4.21828
298,1.39166,-2.32337,4.34585
299,0.972869,-1.89269,3.70469
300,1.38598,-2.31583,4.35338
301,1.5293,-2.44877,4.54618
302,0.772958,-1.6335,3.39015
303,1.15125,-2.06573,4.07772
304,0.487032,-1.24767,2.71638
305,1.60489,-2.50009,4.77861
306,0.806047,-1.76425,3.08677
307,1.27245,-2.21357,4.14273
308,1.24706,-2.1436,4.30392
309,1.19963,-2.13096,4.09015
310,1.66146,-2.54689,4.88168
311,0.541528,-1.28054,2.9136
312,0.685404,-1.50432,3.23177
313,1.21357,-2.15023,4.08454
314,1.53882,-2.45462,4.58303
315,0.624565,-1.47849,2.98577
316,0.333854,-0.876146,2.32363
317,1.02216,-1.87661,3.97091
318,1.18811,-2.16866,3.6623
319,0.757273,-1.6453,3.28067
320,1.50973,-2.44191,4.40858
321,0.690345,-1.55761,3.14958
322,1.57601,-2.48587,4.65151
323,0.634036,-1.56602,2.67308
324,1.22442,-2.17591,4.00544
325,1.63814,-2.5267,4.84556
326,1.00883,-1.8823,3.90911
327,1.41777,-2.35438,4.32822
328,0.665394,-1.58359,2.88147
329,1.74792,-2.62282,5.00006
330,1.36203,-2.31978,4.06921
331,1.01172,-1.94576,3.72945
332,1.30963,-2.23848,4.26741
333,0.383577,-1.10041,2.40149
334,0.609829,-1.3785,3.08445
335,1.5948,-2.48676,4.7906
336,1.56163,-2.45852,4.73252
337,1.44728,-2.39352,4.23058
338,1.64501,-2.53004,4.8725
339,1.08559,-2.06727,3.52245
340,1.03218,-1.89194,3.98273
341,0.992653,-1.91717,3.72942
342,1.24512,-2.14931,4.27622
