Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev
1,2.750000,1.515760,0.369204,-0.306885,0.577349,0.580915,-3.528175,24.294249,2.991006,1.166930
2,2.750000,1.867290,0.527413,-0.437447,1.241015,0.864983,1.500892,22.590145,4.393632,4.661665
3,2.750000,1.188990,0.580204,-0.479462,0.261227,6.012000,11.749051,54.480871,-5.153826,33.969235
4,2.750000,1.444090,0.463857,-0.483145,1.371328,4.031868,1.396357,43.379869,3.542527,12.969677
6,2.750000,1.812020,0.384596,-0.443662,1.147567,0.931304,3.210714,56.014944,4.159768,13.656924
8,2.750000,1.117980,0.283371,-0.498293,1.006706,4.792675,-0.288690,37.005021,4.491010,2.995501
9,2.750000,1.783840,0.492262,-0.461759,1.595755,0.976838,-6.688542,20.941720,4.564049,3.767069
10,2.750000,1.664470,0.452008,-0.422538,1.624320,0.801436,-4.496722,18.253027,3.220692,3.118739
11,2.750000,1.191470,0.393982,-0.440906,0.213381,8.087494,6.462642,74.633327,2.013536,19.376734
12,2.750000,2.039650,0.547977,-0.449074,1.660288,0.912663,-0.204082,28.489672,4.334111,3.589118
13,2.750000,1.686910,0.503554,-0.383757,1.292051,1.020521,-1.362914,27.913590,3.340798,8.149092
14,2.750000,1.554800,0.474670,-0.469742,2.032638,2.239050,-7.557214,30.136145,4.914934,8.487084
15,2.750000,1.605390,0.494002,-0.454349,1.819812,1.616569,-6.474206,24.806428,4.982961,7.503076
16,2.750000,1.370860,0.416852,-0.455687,1.652797,2.739513,-6.155370,30.493405,4.581718,7.412002
17,2.750000,1.628280,0.433084,-0.354941,0.927421,0.684947,2.397390,23.861166,2.234859,3.398630
18,2.750000,1.349210,0.609671,-0.496856,1.891268,9.509868,0.136654,101.793487,6.805460,69.558709
19,2.750000,1.665580,0.457363,-0.385021,0.957697,0.780699,-2.038074,21.399175,3.397630,3.902145
20,2.750000,1.014840,0.410423,-0.232699,0.501487,0.637374,0.244650,16.521457,2.390615,7.461154
21,2.750000,1.548800,0.416308,-0.488016,1.017488,1.561879,1.161420,21.351230,4.171321,3.161912
22,2.750000,1.515440,0.313819,-0.448103,0.026652,9.561257,6.692172,126.359035,2.983478,19.077172
23,2.750000,1.075250,0.456711,-0.290708,0.590039,1.127538,3.774750,20.364879,2.189224,10.217564
24,2.750000,1.805680,0.447482,-0.454667,1.678598,0.648865,-5.929922,22.530746,3.570749,1.220927
25,2.750000,1.013320,0.423223,-0.238837,0.494970,0.859724,1.312820,21.685422,1.926705,10.651070
26,2.750000,1.731350,0.470845,-0.390857,1.110175,0.538153,-1.168718,16.066401,3.112049,2.797298
27,2.750000,1.472720,0.455851,-0.296889,0.962636,0.631990,-1.971010,24.880448,3.515960,8.178634
28,5.750000,1.399600,0.332528,-0.261921,0.477461,0.755257,-1.221168,10.030718,2.365559,3.703539
29,5.750000,2.059420,0.433327,-0.272603,0.911457,0.293695,-6.991736,19.373444,5.669574,13.035467
30,5.750000,1.135280,0.589380,-0.463738,0.716980,4.528645,6.743933,38.096810,-13.883175,30.827599
