set,ReH_actual,ReH_mean,ReH_stddev,ReE_actual,ReE_mean,ReE_stddev,ReHtilde_actual,ReHtilde_mean,ReHtilde_stddev
0,13.055400,13.616920,1.199106,-53.055400,-56.148030,5.822480,7.253020,7.127040,3.031871
1,12.554900,10.806470,3.658524,-52.554900,-43.126430,18.195200,6.974940,6.893660,2.877653
2,7.224240,5.349050,3.209766,-47.224200,-36.242090,19.105942,4.013470,5.416300,5.864091
3,7.652720,6.303140,7.562601,-47.652700,-41.069610,38.525588,4.251510,4.716600,3.586598
4,12.554900,11.283210,1.948693,-52.554900,-45.874550,9.694283,6.974940,6.890120,3.146680
5,7.224240,6.175310,1.843863,-47.224200,-41.112580,10.800343,4.013470,4.648690,4.032128
6,11.741100,9.794540,5.876889,-51.741100,-40.882120,32.455509,6.522830,7.963880,3.009279
7,7.652720,8.618020,5.216185,-47.652700,-52.837490,26.477442,4.251510,4.127470,1.982893
8,12.554900,11.529000,1.160620,-52.554900,-47.256960,5.760056,6.974940,6.587670,3.213870
9,6.990140,8.277620,1.689927,-46.990100,-54.838930,10.586447,3.883410,3.510330,2.719696
10,7.224240,6.224320,1.536547,-47.224200,-41.386850,8.937962,4.013470,4.875850,4.103297
11,11.741100,10.747640,3.380367,-51.741100,-46.440690,18.421687,6.522830,6.752310,3.595639
12,6.990140,8.182600,1.593141,-46.990100,-54.286270,10.012139,3.883410,3.796000,2.809502
13,7.224240,7.160660,0.912208,-47.224200,-46.746550,5.326050,4.013470,4.700240,3.937148
14,11.741100,11.035230,2.784487,-51.741100,-47.933050,15.182534,6.522830,6.596290,4.041143
