#Set,k,QQ,x_b,t,phi_x,F,errF
0,5.75,1.82,0.343,-0.172,7.5,111.6,4.1
0,5.75,1.82,0.343,-0.172,22.5,117.6,3.9
0,5.75,1.82,0.343,-0.172,37.5,99.8,3.5
0,5.75,1.82,0.343,-0.172,52.5,94.1,3.3
0,5.75,1.82,0.343,-0.172,67.5,88.2,3
0,5.75,1.82,0.343,-0.172,82.5,78.7,2.8
0,5.75,1.82,0.343,-0.172,97.5,67.2,2.6
0,5.75,1.82,0.343,-0.172,112.5,60.8,2.4
0,5.75,1.82,0.343,-0.172,127.5,57.5,2.3
0,5.75,1.82,0.343,-0.172,142.5,50.1,2.1
0,5.75,1.82,0.343,-0.172,157.5,49.9,2.1
0,5.75,1.82,0.343,-0.172,172.5,48.1,2
0,5.75,1.82,0.343,-0.172,187.5,48.3,2
0,5.75,1.82,0.343,-0.172,202.5,53.2,2.1
0,5.75,1.82,0.343,-0.172,217.5,52.7,2.2
0,5.75,1.82,0.343,-0.172,232.5,55.2,2.2
0,5.75,1.82,0.343,-0.172,247.5,58.5,2.3
0,5.75,1.82,0.343,-0.172,262.5,63.1,2.4
0,5.75,1.82,0.343,-0.172,277.5,74.2,2.7
0,5.75,1.82,0.343,-0.172,292.5,81.8,2.9
0,5.75,1.82,0.343,-0.172,307.5,96.7,3.2
0,5.75,1.82,0.343,-0.172,322.5,105.6,3.5
0,5.75,1.82,0.343,-0.172,337.5,108.6,3.8
0,5.75,1.82,0.343,-0.172,352.5,113.6,4
1,5.75,1.933,0.368,-0.232,7.5,76.9,4.2
1,5.75,1.933,0.368,-0.232,22.5,68.6,3.7
1,5.75,1.933,0.368,-0.232,37.5,61.7,3.2
1,5.75,1.933,0.368,-0.232,52.5,66.9,3
1,5.75,1.933,0.368,-0.232,67.5,55.5,2.7
1,5.75,1.933,0.368,-0.232,82.5,46.1,2.4
1,5.75,1.933,0.368,-0.232,97.5,40.1,2.1
1,5.75,1.933,0.368,-0.232,112.5,37.7,2
1,5.75,1.933,0.368,-0.232,127.5,34,1.8
1,5.75,1.933,0.368,-0.232,142.5,33.9,1.7
1,5.75,1.933,0.368,-0.232,157.5,34.6,1.7
1,5.75,1.933,0.368,-0.232,172.5,30.7,1.6
1,5.75,1.933,0.368,-0.232,187.5,31.5,1.6
1,5.75,1.933,0.368,-0.232,202.5,35.7,1.7
1,5.75,1.933,0.368,-0.232,217.5,33.3,1.7
1,5.75,1.933,0.368,-0.232,232.5,33.7,1.8
1,5.75,1.933,0.368,-0.232,247.5,37.7,2
1,5.75,1.933,0.368,-0.232,262.5,40.4,2.1
1,5.75,1.933,0.368,-0.232,277.5,42.9,2.3
1,5.75,1.933,0.368,-0.232,292.5,52.8,2.6
1,5.75,1.933,0.368,-0.232,307.5,59.3,2.8
1,5.75,1.933,0.368,-0.232,322.5,62,3.2
1,5.75,1.933,0.368,-0.232,337.5,73.3,3.8
1,5.75,1.933,0.368,-0.232,352.5,76.8,4.2
2,5.75,1.964,0.375,-0.278,7.5,75.2,5.6
2,5.75,1.964,0.375,-0.278,22.5,59.7,4.5
2,5.75,1.964,0.375,-0.278,37.5,57.9,3.8
2,5.75,1.964,0.375,-0.278,52.5,50.4,3.2
2,5.75,1.964,0.375,-0.278,67.5,40,2.8
2,5.75,1.964,0.375,-0.278,82.5,36.1,2.5
2,5.75,1.964,0.375,-0.278,97.5,35.2,2.2
2,5.75,1.964,0.375,-0.278,112.5,33,2.1
2,5.75,1.964,0.375,-0.278,127.5,29.3,1.8
2,5.75,1.964,0.375,-0.278,142.5,28,1.7
2,5.75,1.964,0.375,-0.278,157.5,26.3,1.7
2,5.75,1.964,0.375,-0.278,172.5,26.8,1.7
2,5.75,1.964,0.375,-0.278,187.5,26.6,1.7
2,5.75,1.964,0.375,-0.278,202.5,24.7,1.6
2,5.75,1.964,0.375,-0.278,217.5,28.4,1.8
2,5.75,1.964,0.375,-0.278,232.5,28.4,1.9
2,5.75,1.964,0.375,-0.278,247.5,37.3,2.2
2,5.75,1.964,0.375,-0.278,262.5,37.8,2.3
2,5.75,1.964,0.375,-0.278,277.5,40.2,2.4
2,5.75,1.964,0.375,-0.278,292.5,42.6,2.7
2,5.75,1.964,0.375,-0.278,307.5,46.8,3.1
2,5.75,1.964,0.375,-0.278,322.5,48,3.5
2,5.75,1.964,0.375,-0.278,337.5,60.3,4.5
2,5.75,1.964,0.375,-0.278,352.5,60.7,5.3
3,5.75,1.986,0.379,-0.323,7.5,66.2,7.7
3,5.75,1.986,0.379,-0.323,22.5,64.1,6.3
3,5.75,1.986,0.379,-0.323,37.5,43.9,4.5
3,5.75,1.986,0.379,-0.323,52.5,42.5,3.8
3,5.75,1.986,0.379,-0.323,67.5,35.3,3.1
3,5.75,1.986,0.379,-0.323,82.5,29.4,2.8
3,5.75,1.986,0.379,-0.323,97.5,27.4,2.4
3,5.75,1.986,0.379,-0.323,112.5,24,2.1
3,5.75,1.986,0.379,-0.323,127.5,25.5,2
3,5.75,1.986,0.379,-0.323,142.5,22.4,1.9
3,5.75,1.986,0.379,-0.323,157.5,21.3,2.1
3,5.75,1.986,0.379,-0.323,172.5,17.4,2
3,5.75,1.986,0.379,-0.323,187.5,21.4,2.1
3,5.75,1.986,0.379,-0.323,202.5,22.5,2.1
3,5.75,1.986,0.379,-0.323,217.5,25.1,2.1
3,5.75,1.986,0.379,-0.323,232.5,26,2.1
3,5.75,1.986,0.379,-0.323,247.5,30.5,2.4
3,5.75,1.986,0.379,-0.323,262.5,28.2,2.5
3,5.75,1.986,0.379,-0.323,277.5,32.6,2.7
3,5.75,1.986,0.379,-0.323,292.5,36.4,3.1
3,5.75,1.986,0.379,-0.323,307.5,47.4,3.8
3,5.75,1.986,0.379,-0.323,322.5,46,4.7
3,5.75,1.986,0.379,-0.323,337.5,52.6,6.3
3,5.75,1.986,0.379,-0.323,352.5,50,7.3
4,5.75,1.999,0.381,-0.371,7.5,70.6,11.8
4,5.75,1.999,0.381,-0.371,22.5,66.3,8.7
4,5.75,1.999,0.381,-0.371,37.5,45.1,5.7
4,5.75,1.999,0.381,-0.371,52.5,39,4.5
4,5.75,1.999,0.381,-0.371,67.5,41,3.7
4,5.75,1.999,0.381,-0.371,82.5,26.7,2.9
4,5.75,1.999,0.381,-0.371,97.5,29.2,2.8
4,5.75,1.999,0.381,-0.371,112.5,25.9,2.6
4,5.75,1.999,0.381,-0.371,127.5,21.4,2.4
4,5.75,1.999,0.381,-0.371,142.5,16.1,2.4
4,5.75,1.999,0.381,-0.371,157.5,13.5,2.7
4,5.75,1.999,0.381,-0.371,172.5,17.5,3.2
