#Set,index,k,QQ,x_b,t,F1,F2,phi_x,F,sigmaF
0,0,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,0,0.255773,0.0127886
0,1,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,10,0.218956,0.0109478
0,2,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,20,0.216597,0.0108298
0,3,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,30,0.184421,0.00922106
0,4,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,40,0.142393,0.00711964
0,5,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,50,0.130007,0.00650034
0,6,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,60,0.0897336,0.00448668
0,7,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,70,0.0905682,0.00452841
0,8,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,80,0.062168,0.0031084
0,9,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,90,0.0514334,0.00257167
0,10,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,100,0.0413687,0.00206843
0,11,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,110,0.0295342,0.00147671
0,12,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,120,0.0211586,0.00105793
0,13,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,130,0.0147118,0.000735591
0,14,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,140,0.00905642,0.000452821
0,15,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,150,0.00476657,0.000238328
0,16,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,160,0.00242995,0.000121498
0,17,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,170,0.000740855,3.70428e-05
0,18,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,180,0.00018366,9.183e-06
0,19,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,190,0.000776163,3.88082e-05
0,20,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,200,0.00244918,0.000122459
0,21,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,210,0.00552513,0.000276257
0,22,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,220,0.00916581,0.000458291
0,23,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,230,0.0140055,0.000700277
0,24,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,240,0.0203196,0.00101598
0,25,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,250,0.0261813,0.00130906
0,26,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,260,0.0385285,0.00192642
0,27,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,270,0.05009,0.0025045
0,28,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,280,0.0707161,0.00353581
0,29,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,290,0.0817099,0.00408549
0,30,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,300,0.103998,0.00519992
0,31,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,310,0.113357,0.00566784
0,32,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,320,0.151769,0.00758845
0,33,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,330,0.172583,0.00862917
0,34,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,340,0.200879,0.010044
0,35,3.75,2.03646,0.415563,-0.355936,0.503922,0.720684,350,0.223241,0.011162
1,0,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,0,0.231071,0.0115535
1,1,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,10,0.240942,0.0120471
1,2,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,20,0.214696,0.0107348
1,3,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,30,0.173165,0.00865823
1,4,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,40,0.137804,0.00689021
1,5,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,50,0.111307,0.00556533
1,6,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,60,0.0935957,0.00467979
1,7,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,70,0.0747301,0.00373651
1,8,3.75,2.03646,0.415563,-0.387255,0.481489,0.676714,80,0.0569753,0.00284876
