,#Set,index,k,QQ,t,phi_x,F1,F2,ReH_true,ReE_true,ReHTilde_true,c0_true,F,sigmaF
0,1.0,0.0,5.8,1.82,-0.17,4.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1616018954539187,0.008070012973890255
1,1.0,1.0,5.8,1.82,-0.17,12.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1680768126238373,0.00795433148556037
2,1.0,2.0,5.8,1.82,-0.17,20.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15689668955546218,0.007732542548490357
3,1.0,3.0,5.8,1.82,-0.17,28.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.13745167388261817,0.00742205243503756
4,1.0,4.0,5.8,1.82,-0.17,36.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.13288036559986235,0.007045164468021749
5,1.0,5.0,5.8,1.82,-0.17,44.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1277563727533833,0.0066257881234758126
6,1.0,6.0,5.8,1.82,-0.17,52.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11955129682655162,0.00618656887385632
7,1.0,7.0,5.8,1.82,-0.17,60.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11857081643398908,0.0057469082917949105
8,1.0,8.0,5.8,1.82,-0.17,68.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11526771200004823,0.00532198303902395
9,1.0,9.0,5.8,1.82,-0.17,76.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.09685870104458146,0.004922605864922883
10,1.0,10.0,5.8,1.82,-0.17,84.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.0954375931780603,0.004555652477270039
11,1.0,11.0,5.8,1.82,-0.17,92.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08992048954029931,0.004224778289765782
12,1.0,12.0,5.8,1.82,-0.17,100.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08672846877273016,0.003931212974792786
13,1.0,13.0,5.8,1.82,-0.17,108.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07573280049853662,0.0036745003903546833
14,1.0,14.0,5.8,1.82,-0.17,116.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07596280662034362,0.0034531193327844117
15,1.0,15.0,5.8,1.82,-0.17,124.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06777948558921647,0.00326496731885767
16,1.0,16.0,5.8,1.82,-0.17,132.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06099856851756744,0.0031077164189215155
17,1.0,17.0,5.8,1.82,-0.17,140.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05471887372866777,0.0029790623074092758
18,1.0,18.0,5.8,1.82,-0.17,148.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.056986265754206934,0.002876890713513922
19,1.0,19.0,5.8,1.82,-0.17,156.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05651150554213896,0.0027993836408011855
20,1.0,20.0,5.8,1.82,-0.17,164.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05347180322277172,0.0027450838804541095
21,1.0,21.0,5.8,1.82,-0.17,172.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.052015618888070686,0.0027129320482215157
22,1.0,22.0,5.8,1.82,-0.17,180.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05771196229988929,0.0027022863777857106
23,1.0,23.0,5.8,1.82,-0.17,188.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05211811090627235,0.0027129320482215157
24,1.0,24.0,5.8,1.82,-0.17,196.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.055026906057112364,0.0027450838804541095
25,1.0,25.0,5.8,1.82,-0.17,204.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.05765600670899196,0.0027993836408011855
26,1.0,26.0,5.8,1.82,-0.17,212.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06607922471090108,0.002876890713513922
27,1.0,27.0,5.8,1.82,-0.17,220.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.055996784313620776,0.0029790623074092758
28,1.0,28.0,5.8,1.82,-0.17,228.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06026417295259082,0.0031077164189215155
29,1.0,29.0,5.8,1.82,-0.17,236.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.06494191959162925,0.00326496731885767
30,1.0,30.0,5.8,1.82,-0.17,244.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07067002126320883,0.0034531193327844117
31,1.0,31.0,5.8,1.82,-0.17,252.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.0764460024239994,0.003674500390354684
32,1.0,32.0,5.8,1.82,-0.17,260.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.07589064726017204,0.003931212974792786
33,1.0,33.0,5.8,1.82,-0.17,268.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.08227286857546964,0.004224778289765782
34,1.0,34.0,5.8,1.82,-0.17,276.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.09556262602944263,0.004555652477270039
35,1.0,35.0,5.8,1.82,-0.17,284.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.10530289061941873,0.004922605864922883
36,1.0,36.0,5.8,1.82,-0.17,292.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11628154895441666,0.00532198303902395
37,1.0,37.0,5.8,1.82,-0.17,300.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.12428021453210562,0.0057469082917949105
38,1.0,38.0,5.8,1.82,-0.17,308.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.11216776197215644,0.00618656887385632
39,1.0,39.0,5.8,1.82,-0.17,316.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.12512666819794846,0.0066257881234758126
40,1.0,40.0,5.8,1.82,-0.17,324.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.13969143102590756,0.007045164468021752
41,1.0,41.0,5.8,1.82,-0.17,332.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.14829969867952741,0.00742205243503756
42,1.0,42.0,5.8,1.82,-0.17,340.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15868357321682286,0.007732542548490357
43,1.0,43.0,5.8,1.82,-0.17,348.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.1464700075434798,0.00795433148556037
44,1.0,44.0,5.8,1.82,-0.17,356.0,0.6856563620804861,1.0986689027952043,0.37570000000000003,-0.9384,2.465,0.034,0.15142712966317287,0.008070012973890255
45,2.0,0.0,5.8,1.93,-0.23,4.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.13417448201541107,0.006943637552682707
46,2.0,1.0,5.8,1.93,-0.23,12.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.1532478112375132,0.006800537276178919
47,2.0,2.0,5.8,1.93,-0.23,20.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.13115686997589876,0.00653193340987937
48,2.0,3.0,5.8,1.93,-0.23,28.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.12635150928401875,0.006168285311160131
49,2.0,4.0,5.8,1.93,-0.23,36.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.11891989255502292,0.005745611338376193
50,2.0,5.0,5.8,1.93,-0.23,44.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.1033618543351122,0.005298488398582122
51,2.0,6.0,5.8,1.93,-0.23,52.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.09430025842362376,0.004855337036959709
52,2.0,7.0,5.8,1.93,-0.23,60.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.08772219922292682,0.004436480164634282
53,2.0,8.0,5.8,1.93,-0.23,68.0,0.615619309144978,0.949181395069385,0.5237,-1.2294,2.885,0.036,0.08275517865164654,0.004054369810705044
