#k,QQ,x_b,t,phi_x,F,sigmaF,F1,F2
5.75000,1.11000,0.12600,-0.11000,7.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,22.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,37.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,55.82000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,68.33000,8.93540,0.54180,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,82.35000,5.70240,0.28230,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,97.13000,3.59730,0.20400,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,112.20000,2.95450,0.21220,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,127.27000,2.60400,0.18030,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,142.33000,2.16740,0.14020,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,157.40000,2.18330,0.14640,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,172.47000,1.96590,0.17250,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,187.53000,2.36940,0.16730,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,202.60000,2.14430,0.13770,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,217.67000,2.48370,0.16290,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,232.73000,2.47090,0.19040,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,247.80000,3.08390,0.17760,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,262.87000,3.42950,0.18930,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,277.65000,5.39070,0.29220,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,291.67000,9.07390,0.56550,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,304.18000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,322.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,337.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.11000,352.50000,0.00000,0.00000,0.77206,1.28727
5.75000,1.11000,0.12600,-0.15000,7.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,22.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,37.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,56.12000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,68.12000,5.06170,0.40330,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,82.03000,3.13580,0.19950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,97.11000,2.49800,0.15210,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,112.18000,1.78950,0.13400,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,127.26000,1.34500,0.11370,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,142.33000,1.35650,0.09310,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,157.40000,1.32420,0.09230,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,172.47000,1.21560,0.10560,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,187.53000,1.21640,0.09950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,202.60000,1.22840,0.08790,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,217.67000,1.21960,0.08920,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,232.74000,1.39160,0.12020,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,247.82000,1.68520,0.12320,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,262.89000,2.16740,0.13790,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,277.97000,3.62780,0.21950,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,291.88000,4.80630,0.37260,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,303.88000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,322.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,337.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.15000,352.50000,0.00000,0.00000,0.71236,1.15655
5.75000,1.11000,0.12600,-0.20000,7.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,22.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,37.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,56.19000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,67.53000,3.16880,0.32980,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,82.00000,2.48840,0.19350,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,97.09000,1.66220,0.12870,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,112.17000,1.23730,0.10920,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,127.25000,0.82380,0.09040,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,142.32000,0.78330,0.07050,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,157.39000,0.89140,0.07360,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,172.46000,0.74000,0.07860,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,187.54000,0.79660,0.08600,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,202.61000,0.61930,0.05980,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,217.68000,0.74810,0.06580,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,232.75000,0.93110,0.09310,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,247.83000,0.99900,0.09670,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,262.91000,1.53600,0.12140,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,278.00000,1.83400,0.15510,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,292.47000,2.82450,0.28510,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,303.81000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,322.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,337.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.20000,352.50000,0.00000,0.00000,0.64892,1.01978
5.75000,1.11000,0.12600,-0.26000,7.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,22.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,37.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,55.41000,2.22810,0.28640,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,66.94000,2.25910,0.21040,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,81.98000,1.22450,0.10870,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,97.08000,0.78810,0.07070,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,112.16000,0.78750,0.06630,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,127.24000,0.53340,0.05980,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,142.32000,0.48500,0.04710,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,157.39000,0.51230,0.04630,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,172.46000,0.52620,0.05190,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,187.54000,0.38190,0.04850,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,202.61000,0.40600,0.04090,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,217.68000,0.46200,0.04350,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,232.76000,0.59330,0.05780,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,247.84000,0.55890,0.06210,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,262.92000,0.85580,0.07490,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,278.02000,1.20990,0.10000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,293.06000,1.70660,0.16660,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,304.59000,2.44840,0.31940,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,322.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,337.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.26000,352.50000,0.00000,0.00000,0.58528,0.88573
5.75000,1.11000,0.12600,-0.34000,7.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,22.50000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,43.80000,0.00000,0.00000,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,53.26000,1.57480,0.13580,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,66.86000,1.02150,0.10560,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,81.98000,0.79740,0.07520,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,97.07000,0.51450,0.04680,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,112.16000,0.39870,0.03780,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,127.24000,0.41660,0.04670,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,142.31000,0.33270,0.03450,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,157.39000,0.27540,0.02880,0.51603,0.74472
5.75000,1.11000,0.12600,-0.34000,172.46000,0.29300,0.03300,0.51603,0.74472
