#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,gReH,gReE,gReHTilde,gc0fit,gc1fit
1,0,5.75,2.218,0.345,-0.176,7.5,0.144828,0.00499887,0.0345158,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,1,5.75,2.218,0.345,-0.176,22.5,0.139437,0.00462222,0.0331492,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,2,5.75,2.218,0.345,-0.176,37.5,0.122385,0.00414864,0.0338983,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,3,5.75,2.218,0.345,-0.176,52.5,0.109968,0.00385852,0.0350877,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,4,5.75,2.218,0.345,-0.176,67.5,0.0912384,0.0034452,0.0377604,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,5,5.75,2.218,0.345,-0.176,82.5,0.0801955,0.00307599,0.0383562,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,6,5.75,2.218,0.345,-0.176,97.5,0.0654767,0.0028972,0.0442478,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,7,5.75,2.218,0.345,-0.176,112.5,0.0495197,0.0020448,0.0412926,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,8,5.75,2.218,0.345,-0.176,127.5,0.0469649,0.00210863,0.044898,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,9,5.75,2.218,0.345,-0.176,142.5,0.0417448,0.00186519,0.0446809,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,10,5.75,2.218,0.345,-0.176,157.5,0.0317354,0.0015443,0.0486618,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,11,5.75,2.218,0.345,-0.176,172.5,0.0338316,0.00162652,0.0480769,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,12,5.75,2.218,0.345,-0.176,187.5,0.0365193,0.00180225,0.0493506,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,13,5.75,2.218,0.345,-0.176,202.5,0.0409416,0.00189268,0.0462287,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,14,5.75,2.218,0.345,-0.176,217.5,0.0392177,0.00181804,0.0463576,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,15,5.75,2.218,0.345,-0.176,232.5,0.0432626,0.00185532,0.042885,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,16,5.75,2.218,0.345,-0.176,247.5,0.0524096,0.00226158,0.043152,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,17,5.75,2.218,0.345,-0.176,262.5,0.0653101,0.002625,0.0401929,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,18,5.75,2.218,0.345,-0.176,277.5,0.0699772,0.00269912,0.0385714,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,19,5.75,2.218,0.345,-0.176,292.5,0.0899014,0.00325486,0.0362047,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,20,5.75,2.218,0.345,-0.176,307.5,0.108371,0.00384384,0.0354691,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,21,5.75,2.218,0.345,-0.176,322.5,0.123457,0.00418282,0.0338809,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,22,5.75,2.218,0.345,-0.176,337.5,0.143078,0.00504811,0.0352823,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,23,5.75,2.218,0.345,-0.176,352.5,0.14415,0.00526308,0.0365112,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
2,0,5.75,2.318,0.363,-0.232,7.5,0.146274,0.00637557,0.0435866,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,1,5.75,2.318,0.363,-0.232,22.5,0.13419,0.00549413,0.0409429,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,2,5.75,2.318,0.363,-0.232,37.5,0.106291,0.00452302,0.0425532,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,3,5.75,2.318,0.363,-0.232,52.5,0.103581,0.00463027,0.044702,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,4,5.75,2.318,0.363,-0.232,67.5,0.0741973,0.00347122,0.0467836,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,5,5.75,2.318,0.363,-0.232,82.5,0.0613608,0.00291563,0.0475162,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,6,5.75,2.318,0.363,-0.232,97.5,0.0491443,0.00230724,0.0469484,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,7,5.75,2.318,0.363,-0.232,112.5,0.0414492,0.00211356,0.0509915,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,8,5.75,2.318,0.363,-0.232,127.5,0.0343373,0.0016774,0.0488506,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
