#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,gReH,gReE,gReHTilde
1,0,5.75,1.11,0.126,-0.11,7.5,0,0,0,0,0,0,0,0
1,1,5.75,1.11,0.126,-0.11,22.5,0,0,0,0,0,0,0,0
1,2,5.75,1.11,0.126,-0.11,37.5,0,0,0,0,0,0,0,0
1,3,5.75,1.11,0.126,-0.11,55.82,0,0,0,0,0,0,0,0
1,4,5.75,1.11,0.126,-0.11,68.33,7.06648,0.428478,0.0606352,0.772056,1.28727,0.092252,-0.518814,1.172
1,5,5.75,1.11,0.126,-0.11,82.35,5.26691,0.260741,0.0495055,0.772056,1.28727,0.092252,-0.518814,1.172
1,6,5.75,1.11,0.126,-0.11,97.13,3.72066,0.210996,0.0567092,0.772056,1.28727,0.092252,-0.518814,1.172
1,7,5.75,1.11,0.126,-0.11,112.2,2.38307,0.171158,0.0718226,0.772056,1.28727,0.092252,-0.518814,1.172
1,8,5.75,1.11,0.126,-0.11,127.27,2.28466,0.158189,0.0692396,0.772056,1.28727,0.092252,-0.518814,1.172
1,9,5.75,1.11,0.126,-0.11,142.33,1.95732,0.126611,0.0646858,0.772056,1.28727,0.092252,-0.518814,1.172
1,10,5.75,1.11,0.126,-0.11,157.4,1.34701,0.0903228,0.0670545,0.772056,1.28727,0.092252,-0.518814,1.172
1,11,5.75,1.11,0.126,-0.11,172.47,1.46196,0.128281,0.0877461,0.772056,1.28727,0.092252,-0.518814,1.172
1,12,5.75,1.11,0.126,-0.11,187.53,1.66191,0.117345,0.0706086,0.772056,1.28727,0.092252,-0.518814,1.172
1,13,5.75,1.11,0.126,-0.11,202.6,1.92367,0.123532,0.0642168,0.772056,1.28727,0.092252,-0.518814,1.172
1,14,5.75,1.11,0.126,-0.11,217.67,1.79001,0.117402,0.0655876,0.772056,1.28727,0.092252,-0.518814,1.172
1,15,5.75,1.11,0.126,-0.11,232.73,1.97913,0.152506,0.0770569,0.772056,1.28727,0.092252,-0.518814,1.172
1,16,5.75,1.11,0.126,-0.11,247.8,2.66134,0.153265,0.0575894,0.772056,1.28727,0.092252,-0.518814,1.172
1,17,5.75,1.11,0.126,-0.11,262.87,3.71769,0.205207,0.0551976,0.772056,1.28727,0.092252,-0.518814,1.172
1,18,5.75,1.11,0.126,-0.11,277.65,4.36561,0.236636,0.0542045,0.772056,1.28727,0.092252,-0.518814,1.172
1,19,5.75,1.11,0.126,-0.11,291.67,6.8851,0.42909,0.0623216,0.772056,1.28727,0.092252,-0.518814,1.172
1,20,5.75,1.11,0.126,-0.11,304.18,0,0,0,0,0,0,0,0
1,21,5.75,1.11,0.126,-0.11,322.5,0,0,0,0,0,0,0,0
1,22,5.75,1.11,0.126,-0.11,337.5,0,0,0,0,0,0,0,0
1,23,5.75,1.11,0.126,-0.11,352.5,0,0,0,0,0,0,0,0
2,0,5.75,1.11,0.126,-0.15,7.5,0,0,0,0,0,0,0,0
2,1,5.75,1.11,0.126,-0.15,22.5,0,0,0,0,0,0,0,0
