#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,gReH,gReE,gReHTilde,gc0fit,gc1fit
1,0,5.75,2.218,0.345,-0.176,7.5,0.146697,0.00506337,0.0345158,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,1,5.75,2.218,0.345,-0.176,22.5,0.138798,0.00460103,0.0331492,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,2,5.75,2.218,0.345,-0.176,37.5,0.125029,0.00423827,0.0338983,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,3,5.75,2.218,0.345,-0.176,52.5,0.108376,0.00380267,0.0350877,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,4,5.75,2.218,0.345,-0.176,67.5,0.0915465,0.00345683,0.0377604,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,5,5.75,2.218,0.345,-0.176,82.5,0.0763239,0.00292749,0.0383562,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,6,5.75,2.218,0.345,-0.176,97.5,0.0635565,0.00281223,0.0442478,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,7,5.75,2.218,0.345,-0.176,112.5,0.0534407,0.00220671,0.0412926,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,8,5.75,2.218,0.345,-0.176,127.5,0.0458285,0.00205761,0.044898,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,9,5.75,2.218,0.345,-0.176,142.5,0.0404474,0.00180723,0.0446809,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,10,5.75,2.218,0.345,-0.176,157.5,0.037029,0.0018019,0.0486618,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,11,5.75,2.218,0.345,-0.176,172.5,0.0353724,0.0017006,0.0480769,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,12,5.75,2.218,0.345,-0.176,187.5,0.0353724,0.00174565,0.0493506,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,13,5.75,2.218,0.345,-0.176,202.5,0.037029,0.0017118,0.0462287,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,14,5.75,2.218,0.345,-0.176,217.5,0.0404474,0.00187505,0.0463576,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,15,5.75,2.218,0.345,-0.176,232.5,0.0458285,0.00196535,0.042885,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,16,5.75,2.218,0.345,-0.176,247.5,0.0534407,0.00230607,0.043152,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,17,5.75,2.218,0.345,-0.176,262.5,0.0635565,0.00255452,0.0401929,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,18,5.75,2.218,0.345,-0.176,277.5,0.0763239,0.00294392,0.0385714,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,19,5.75,2.218,0.345,-0.176,292.5,0.0915465,0.00331442,0.0362047,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,20,5.75,2.218,0.345,-0.176,307.5,0.108376,0.00384401,0.0354691,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,21,5.75,2.218,0.345,-0.176,322.5,0.125029,0.00423609,0.0338809,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,22,5.75,2.218,0.345,-0.176,337.5,0.138798,0.0048971,0.0352823,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
1,23,5.75,2.218,0.345,-0.176,352.5,0.146697,0.00535608,0.0365112,0.678006,1.08216,3.33565,-12.6945,2.5205,0.00784768,0
2,0,5.75,2.318,0.363,-0.232,7.5,0.147037,0.00640885,0.0435866,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,1,5.75,2.318,0.363,-0.232,22.5,0.135576,0.00555089,0.0409429,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
