#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.194757,0.00973784,0.05,3.56541,-20.0821,7.69726,0.0271794
1,1,5.75,1.82,0.343,-0.172,22.5,0.188075,0.00940377,0.05,3.56541,-20.0821,7.69726,0.0271794
1,2,5.75,1.82,0.343,-0.172,37.5,0.16146,0.008073,0.05,3.56541,-20.0821,7.69726,0.0271794
1,3,5.75,1.82,0.343,-0.172,52.5,0.145639,0.00728194,0.05,3.56541,-20.0821,7.69726,0.0271794
1,4,5.75,1.82,0.343,-0.172,67.5,0.118306,0.00591529,0.05,3.56541,-20.0821,7.69726,0.0271794
1,5,5.75,1.82,0.343,-0.172,82.5,0.104232,0.00521161,0.05,3.56541,-20.0821,7.69726,0.0271794
1,6,5.75,1.82,0.343,-0.172,97.5,0.0832864,0.00416432,0.05,3.56541,-20.0821,7.69726,0.0271794
1,7,5.75,1.82,0.343,-0.172,112.5,0.06127,0.0030635,0.05,3.56541,-20.0821,7.69726,0.0271794
1,8,5.75,1.82,0.343,-0.172,127.5,0.0590897,0.00295448,0.05,3.56541,-20.0821,7.69726,0.0271794
1,9,5.75,1.82,0.343,-0.172,142.5,0.0526011,0.00263005,0.05,3.56541,-20.0821,7.69726,0.0271794
1,10,5.75,1.82,0.343,-0.172,157.5,0.0397459,0.00198729,0.05,3.56541,-20.0821,7.69726,0.0271794
1,11,5.75,1.82,0.343,-0.172,172.5,0.0425652,0.00212826,0.05,3.56541,-20.0821,7.69726,0.0271794
1,12,5.75,1.82,0.343,-0.172,187.5,0.0460497,0.00230248,0.05,3.56541,-20.0821,7.69726,0.0271794
1,13,5.75,1.82,0.343,-0.172,202.5,0.0519138,0.00259569,0.05,3.56541,-20.0821,7.69726,0.0271794
1,14,5.75,1.82,0.343,-0.172,217.5,0.0491133,0.00245567,0.05,3.56541,-20.0821,7.69726,0.0271794
