#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
-1.70201,0.156575,1.28883,1.34893,-0.28468,0.290911,0.0253839,0.000876
-1.67634,0.152393,-0.0477054,0.919199,0.0101257,0.218537,0.0189774,0.0005026
-1.97829,0.149782,-0.962505,0.751023,0.224113,0.194843,0.0170927,0.000391282
-1.87014,0.150459,-1.52472,0.636907,0.355626,0.183324,0.0151344,0.000321323
-2.52824,0.537295,8.41249,7.06903,-1.89454,1.5859,0.0138494,0.000275338
-1.99962,0.214883,1.51247,1.66679,-0.332129,0.340204,0.0137811,0.000697021
-1.3867,0.223685,-0.0193038,1.1038,0.00686425,0.252781,0.0108822,0.000417906
-1.76023,0.220691,-0.601266,0.864926,0.135011,0.222273,0.00954945,0.000323891
-1.61577,0.221005,-1.00317,0.704464,0.2329,0.212002,0.00855717,0.000267289
-1.47413,0.21876,-1.19009,0.592327,0.270716,0.2074,0.00771487,0.000227235
-1.59783,0.128346,4.50393,1.38331,-1.16133,0.384609,0.0180359,0.000833234
-1.50661,0.133373,1.20097,0.977597,-0.319778,0.255303,0.0155103,0.000493178
-1.50358,0.138057,-0.0470031,0.754888,0.0103563,0.199205,0.0139993,0.000346736
-1.77378,0.137119,-0.904082,0.630684,0.233577,0.178645,0.0128711,0.000280004
-1.8215,0.138392,-1.53277,0.5593,0.376056,0.174257,0.0124905,0.000245154
-1.48733,0.236022,0.727386,1.6546,-0.153208,0.336937,0.014857,0.000739285
-2.04909,0.248325,-0.80087,1.11784,0.171444,0.263579,0.0133017,0.000502099
-1.96064,0.366704,-0.932012,0.940932,0.181915,0.261347,0.0114942,0.000456974
-2.19395,0.380843,-1.70075,0.786928,0.3415,0.287564,0.0106416,0.00042857
-1.59795,0.404336,-1.459,0.676236,0.272332,0.3123,0.010435,0.000412538
-1.84276,0.258552,1.01082,1.63731,-0.231865,0.33884,0.00440332,0.000264373
-1.63134,0.282585,-0.753885,0.953602,0.16949,0.270396,0.00371849,0.000173852
-1.75138,0.263338,-1.57786,0.660221,0.323377,0.266433,0.00337713,0.000130367
-1.51512,0.245098,-1.82752,0.49573,0.365699,0.26774,0.00295721,0.000103627
-1.60446,0.218927,-2.32351,0.391132,0.390151,0.262518,0.00248665,8.03852e-05
-1.4509,0.257578,1.42072,1.89171,-0.33409,0.39221,0.00305353,0.000202461
-1.5276,0.276009,-0.141977,1.15837,0.0301122,0.273809,0.00237956,0.000131546
-1.60407,0.275034,-0.885286,0.858932,0.19265,0.268358,0.00241772,0.000105347
-1.69954,0.258967,-1.53727,0.662578,0.332889,0.271013,0.00222508,8.62643e-05
-1.63033,0.231827,-1.972,0.486887,0.40159,0.26294,0.00185265,6.65429e-05
-1.1328,0.275238,1.14843,1.97458,-0.273129,0.394916,0.00137422,0.000112474
-2.01161,0.29079,-0.0686787,1.29973,0.0142262,0.30277,0.00141707,7.97633e-05
-1.4612,0.290363,-0.754565,0.910222,0.169419,0.286765,0.00124533,6.04999e-05
-1.31392,0.275164,-1.17563,0.684024,0.266467,0.292424,0.00119323,4.93532e-05
