#ReH,ReH_err,ReE,ReE_err,ReHtilde,ReHtilde_err,dvcs,dvcs_err
-1.37841,0.131752,1.26695,1.2491,-0.280476,0.265843,0.0228078,0.000808602
-2.02471,0.177408,-0.109864,1.07805,0.0270861,0.257486,0.0172928,0.000589684
-2.33574,0.242552,-0.931572,1.12921,0.213996,0.287894,0.0161326,0.000577053
-2.10347,0.355693,-1.23975,1.35024,0.271383,0.365009,0.0137595,0.000652811
-1.81386,0.515047,-1.40549,1.72835,0.293569,0.489032,0.0133519,0.000786898
-1.22642,0.190472,1.2545,1.74417,-0.308221,0.342903,0.0121512,0.000724555
-1.94117,0.227891,0.101608,1.36863,-0.0272205,0.30758,0.0109943,0.000518502
-2.79967,0.285296,-1.22694,1.29738,0.266455,0.333884,0.00942075,0.000483897
-2.75118,0.375611,-1.87974,1.31778,0.405221,0.38775,0.00872749,0.000482156
-2.11346,0.515224,-1.47131,1.39634,0.299334,0.449281,0.00691613,0.000509492
-1.09853,0.314377,3.45066,3.65578,-0.883109,0.992205,0.0163947,0.00217965
-1.14481,0.220607,1.09867,1.80393,-0.290309,0.463295,0.01384,0.000906458
-1.9978,0.264337,-0.0671644,1.64559,0.0386381,0.434688,0.0140021,0.000763596
-1.93666,0.361351,-1.17085,1.85387,0.28923,0.521067,0.0129009,0.000822211
-1.80686,0.494439,-1.84225,2.23885,0.393506,0.654186,0.0124132,0.000935554
-1.18622,0.229031,1.00622,2.05325,-0.214802,0.390117,0.0132686,0.00089991
-2.88193,0.379422,-1.13483,1.98536,0.217467,0.457893,0.0124414,0.000882902
-3.99544,0.722527,-2.0046,2.11443,0.37455,0.558439,0.00887088,0.000965654
-3.97209,1.12873,-2.65951,2.29934,0.480569,0.797055,0.00867846,0.00123689
-3.54408,1.89716,-2.95976,2.44883,0.507445,1.32405,0.0058135,0.00181769
-0.564268,0.27132,0.356684,1.8995,-0.0807744,0.389014,0.00653566,0.000307539
-0.428613,0.329245,-0.15621,1.31056,0.0218216,0.339727,0.00494429,0.000226966
-1.31034,0.395231,-1.27139,1.08586,0.248672,0.421074,0.00426026,0.000205695
-10.1842,3.31226,71.8986,27.9766,-13.6666,5.30432,0.00348969,0.000230001
-2.28206,0.873996,-3.42779,1.21311,0.759009,0.942845,0.00282067,0.00028888
-1.66661,0.242536,2.11253,2.02146,-0.501979,0.400033,0.00293243,0.000214502
-1.88597,0.285223,-0.200981,1.38554,0.0435088,0.326596,0.00193619,0.000156991
-1.89211,0.346478,-1.11727,1.15647,0.238029,0.354577,0.00199934,0.000137818
-1.90737,0.46003,-1.46883,1.06193,0.311112,0.41534,0.00159578,0.00013541
-2.21546,0.576323,-1.84713,0.828807,0.31935,0.462676,0.00152813,0.000128202
-1.92464,0.289104,2.74851,2.53266,-0.651362,0.479751,0.00166691,0.000142833
-2.29855,0.345969,-0.143822,1.69718,0.0364401,0.398805,0.00115282,0.000103144
-1.93189,0.431342,-0.908955,1.38527,0.191126,0.418975,0.000904305,8.93456e-05
-1.15624,0.606236,-0.691006,1.40511,0.100979,0.509568,0.00107667,9.48085e-05
-1.5111,0.712521,-1.39811,0.96096,0.282944,0.635642,0.000817116,9.08996e-05
-2.97718,0.34817,7.77309,2.81784,-2.73988,0.922805,0.00983158,0.000916173
-2.60733,0.399235,1.96576,2.05948,-0.682826,0.635196,0.0069199,0.000590141
-2.77105,0.544388,0.334412,2.01089,-0.165332,0.648875,0.00718174,0.000545011
-3.70196,0.780213,-0.173391,2.08665,0.150965,0.689624,0.00710806,0.000524312
-5.22411,1.03181,-0.958744,1.77889,0.307143,0.601127,0.00695462,0.000413419
-1.57632,0.181081,3.5916,1.26822,-1.37043,0.462002,0.00147013,8.26992e-05
-1.95607,0.225238,1.12732,0.988086,-0.423268,0.333915,0.00118583,5.35405e-05
-2.56226,0.29665,0.126687,0.912414,-0.0429348,0.357928,0.00109225,4.72837e-05
-3.20524,0.388353,-0.588377,0.989513,0.222747,0.36858,0.00111967,4.5977e-05
0.52137,1.35278,-51.3001,15.5068,16.8374,5.0833,0.0009639,3.42101e-05
-0.759695,0.309607,1.22978,1.90545,-0.434087,0.587581,0.000494391,8.04173e-05
-0.897699,0.3551,0.404897,1.41601,-0.134271,0.416671,0.000434264,5.48561e-05
-1.44202,0.457769,0.126251,1.32775,-0.0419539,0.419104,0.000507398,4.93122e-05
-1.78511,0.629062,-0.209334,1.33638,0.0672923,0.466044,0.000539667,4.81031e-05
-1.42321,0.751825,-0.205726,1.04024,0.046553,0.393781,0.00043551,3.92191e-05
-1.37239,0.272677,1.50707,1.38217,-0.552748,0.404089,0.000108308,2.49397e-05
-0.928423,0.383613,0.19074,1.06434,-0.0646465,0.327656,0.000169726,1.7964e-05
-1.46516,0.527285,-0.0699699,0.973205,0.0261009,0.341683,0.000127863,1.63823e-05
-1.13587,0.735881,-0.123279,1.02873,0.0281869,0.392137,0.000151863,1.76154e-05
-1.28061,0.715099,-0.425252,0.630994,0.10469,0.395817,0.000134722,1.33145e-05
-0.783074,0.116129,1.05323,0.494874,-0.578826,0.244109,0.00030385,1.43582e-05
0.35878,0.483484,29.4557,8.34579,-14.8906,4.21384,0.000272313,1.01353e-05
-1.8204,0.18626,-0.168058,0.422494,0.0688407,0.208467,0.000276865,9.03065e-06
-1.68531,0.282837,-0.516007,0.479957,0.247026,0.256138,0.000242597,9.10777e-06
-2.25551,0.359677,-0.834927,0.451792,0.336995,0.2454,0.000232643,7.35638e-06
-0.806276,0.163275,1.01437,0.693096,-0.535628,0.269733,8.81052e-05,6.13842e-06
-0.868775,0.208077,0.463281,0.642197,-0.231568,0.223763,7.67272e-05,4.956e-06
-1.12301,0.258802,0.103706,0.407849,-0.0491542,0.17144,5.87062e-05,3.06462e-06
-1.48239,0.351891,-0.0591764,0.409501,0.0198415,0.193873,5.66123e-05,2.91552e-06
-1.17876,0.391625,-0.173873,0.401609,0.0547101,0.208463,5.75174e-05,2.56999e-06
-0.854473,0.891744,-14.4903,15.0525,-3.2392,3.35684,0.186257,0.0617982
-0.73248,0.712951,-9.48231,9.21296,-2.70488,2.61869,0.120934,0.0379593
-0.985604,0.761911,-9.94329,7.71538,-3.50687,2.71969,0.1179,0.0304545
-0.901662,0.601957,-7.37179,4.91623,-3.13517,2.08994,0.0829753,0.0180199
-1.11505,0.578426,-7.39111,3.82763,-3.80148,1.96114,0.0755748,0.0126855
-1.01506,0.429575,-5.45872,2.31026,-3.40233,1.44573,0.0486765,0.00678004
-1.65631,1.04019,-25.7457,16.1539,-4.69471,2.99345,0.00974141,0.143292
1.14642,0.765802,13.7691,9.21223,3.2036,2.13801,0.212903,0.192563
-0.914152,0.742299,-8.70971,7.08914,-2.49974,2.03562,0.0661895,0.0177739
-1.05197,0.687232,-8.19252,5.34433,-2.83258,1.85005,0.0597473,0.012708
-2.59262,0.533106,-16.4925,3.39225,-6.90319,1.42023,-0.0424691,0.0639751
-1.57017,0.468503,-8.22303,2.45461,-4.19898,1.26073,0.00287152,0.0279689
-0.973246,1.18727,-15.6953,19.118,-3.00633,3.66824,0.116226,0.0461156
-0.891625,0.961658,-11.1081,11.9605,-2.67398,2.90302,0.0824236,0.0291504
-0.881012,0.84357,-8.62964,8.28244,-2.62244,2.51119,0.0626945,0.0198166
-0.710829,0.687013,-5.66544,5.47844,-2.08812,2.01493,0.0395526,0.0124712
-1.08167,0.599719,-7.01799,3.89206,-3.12221,1.73502,0.0446929,0.00810253
-0.994706,0.509401,-5.2488,2.69157,-2.81933,1.46212,0.0291533,0.00494357
-0.347418,0.841425,-5.1393,12.643,-0.863117,2.17141,0.0637711,0.033969
0.5124,0.723085,5.74964,8.0978,1.13615,1.66797,0.115322,0.034021
1.69653,0.840712,15.0585,7.46695,3.61807,1.81903,0.15082,0.0463321
1.30758,0.675842,9.57009,4.92907,2.76174,1.44664,0.110695,0.0623743
-0.758643,0.634562,-4.56974,3.82926,-1.62603,1.34737,0.0209677,0.00568497
-3.49517,0.60244,-17.8793,3.08551,-7.68673,1.32584,-0.0358305,0.0360851
2.87933,1.11381,42.507,16.4625,7.08389,2.7598,0.303838,0.0921668
1.32124,0.949744,15.3903,11.0611,3.23497,2.34004,0.1565,0.0844376
4.27981,0.783637,39.7788,7.27842,10.3613,1.90505,0.253061,0.0987108
9.40916,0.744277,71.6413,5.66619,22.5096,1.78273,0.399834,0.132344
-0.916282,0.560212,-5.66326,3.4867,-2.17658,1.33063,0.0233557,0.00474096
-3.58408,0.521492,-18.2694,2.65954,-8.4426,1.23115,-0.0318904,0.0295768
-1.06959,1.92224,-3.50942,12.2583,0.465248,3.7612,0.0287184,0.0164058
-0.955911,1.88491,-3.77817,8.49809,-0.0329559,3.34554,0.0195426,0.00946701
0.437249,0.6925,3.71992,5.92634,0.815224,1.37256,0.0465344,0.012949
0.45069,0.662671,3.08907,4.53372,0.785072,1.20149,0.0409924,0.0135782
-0.0539018,0.727199,-0.280462,4.12299,-0.115861,1.31123,0.0341616,0.0157522
4.20199,1.78924,52.9127,28.1547,-18.93,13.141,0.0437559,0.0227959
1.14952,1.29204,15.7817,17.9929,2.41064,2.78283,0.0955876,0.0310935
1.80397,0.965945,19.4537,10.4445,3.69429,1.99801,0.10018,0.0338614
2.54968,0.917505,22.2713,8.01265,5.18564,1.88032,0.112635,0.0409947
4.47821,0.881473,32.262,6.34804,8.91818,1.76591,0.14098,0.0390643
12.7804,5.62051,135.587,58.0515,-75.6816,30.8248,0.0120224,0.00365481
-5.24108,0.601339,-25.6801,2.95088,-10.4917,1.20357,-0.0447316,0.0341557
-1.78082,1.76279,-4.02306,22.7694,0.561822,4.40661,0.00880174,0.0186273
0.688502,1.54432,1.68337,10.2607,-0.18332,2.78088,0.0277179,0.00959583
-0.0104991,0.676205,-0.106196,6.06576,-0.0132194,1.28119,0.01536,0.00714822
0.0357822,0.680373,0.27749,5.00733,0.0389102,1.27492,0.0267127,0.0058269
0.297001,0.825986,1.6645,4.67205,0.421399,1.32579,0.0224785,0.00567573
0.248034,0.905759,1.16472,4.18876,0.315297,1.25863,0.0215572,0.00792362
2.93917,3.09371,2.48539,26.1737,-0.337003,4.62648,-0.0180307,0.0146609
5.36556,3.3839,11.8144,13.3333,-1.44693,5.18758,0.0511215,0.0117863
6.54365,4.62181,19.0403,7.36691,-2.32065,7.79835,0.0521108,0.0136153
6.78975,4.80853,23.3326,6.51522,-2.44539,9.42291,0.0613548,0.0133558
10.0511,3.32835,61.0202,21.4007,-14.0223,12.1553,0.063848,0.0134738
4.79495,1.65727,101.664,42.6767,-38.2913,18.1381,0.0260901,0.0168035
-0.0903334,1.00424,-2.72849,34.7862,-0.378889,4.38176,0.0356346,0.0326401
-1.2108,1.39499,-3.96278,14.8793,0.57653,3.88677,0.0121664,0.0116158
-0.0166253,0.717812,-0.245556,8.66201,0.0166212,1.62745,0.00316664,0.00600191
-0.446237,1.11485,-1.65185,5.66293,0.0712724,2.51896,0.0121563,0.00524878
0.0260785,0.740031,0.169554,4.73384,0.0352271,1.48476,0.0120532,0.00397609
0.670581,1.16598,2.70304,5.19994,-0.457296,2.51626,0.0165609,0.00332709
0.707987,1.40993,19.7171,40.932,2.4668,5.01494,-0.0398929,0.0392965
2.60296,2.63902,4.07473,22.722,-0.58575,5.08345,0.0060963,0.0104799
2.83936,2.70851,5.37012,8.90819,-0.83998,3.90869,0.0159605,0.00606163
4.88493,3.11855,10.8728,5.74304,-1.43052,4.54585,0.0305215,0.00558611
